Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
6174,2025/01/01 00:00,68.3,58.4,80.9
6174,2025/01/02 00:00,81.2,77.0,84.8
6174,2025/01/03 00:00,72.1,38.8,84.8
6174,2025/01/04 00:00,82.9,75.1,91.3
6174,2025/01/05 00:00,83.8,73.8,91.1
6174,2025/01/06 00:00,93.3,91.1,95.7
6174,2025/01/07 00:00,92.4,87.9,96.3
6174,2025/01/08 00:00,92.0,90.1,95.3
6174,2025/01/09 00:00,94.4,91.5,96.0
6174,2025/01/10 00:00,79.5,56.7,96.0
6174,2025/01/11 00:00,64.6,53.2,74.9
6174,2025/01/12 00:00,57.7,30.9,75.3
6174,2025/01/13 00:00,59.5,50.0,69.1
6174,2025/01/14 00:00,59.5,46.5,68.6
6174,2025/01/15 00:00,68.0,51.3,80.0
6174,2025/01/16 00:00,62.5,44.9,72.2
6174,2025/01/17 00:00,66.3,53.4,76.2
6174,2025/01/18 00:00,64.8,49.4,77.5
6174,2025/01/19 00:00,68.9,52.2,78.1
6174,2025/01/20 00:00,86.5,79.2,93.5
6174,2025/01/21 00:00,91.8,87.7,95.4
6174,2025/01/22 00:00,92.5,90.9,95.9
6174,2025/01/23 00:00,92.8,84.2,96.4
6174,2025/01/24 00:00,92.5,74.7,98.1
6174,2025/01/25 00:00,94.9,93.7,97.5
6174,2025/01/26 00:00,97.1,94.0,99.7
6174,2025/01/27 00:00,96.8,94.9,97.6
6174,2025/01/28 00:00,94.8,85.4,98.9
6174,2025/01/29 00:00,79.0,62.6,89.2
6174,2025/01/30 00:00,79.0,65.3,92.3
6174,2025/01/31 00:00,89.5,77.3,93.6
6174,2025/02/01 00:00,93.1,90.5,95.4
6174,2025/02/02 00:00,78.1,56.0,91.5
6174,2025/02/03 00:00,79.4,59.0,90.1
6174,2025/02/04 00:00,74.2,57.7,85.7
6174,2025/02/05 00:00,78.7,60.0,88.7
6174,2025/02/06 00:00,73.0,48.3,86.6
6174,2025/02/07 00:00,63.5,53.3,76.1
6174,2025/02/08 00:00,81.9,60.6,92.6
6174,2025/02/09 00:00,93.2,91.6,95.5
6174,2025/02/10 00:00,92.7,86.4,96.7
6174,2025/02/11 00:00,92.2,88.2,96.1
6174,2025/02/12 00:00,96.4,92.8,98.7
6174,2025/02/13 00:00,92.1,86.3,96.1
6174,2025/02/14 00:00,78.3,27.2,94.4
6174,2025/02/15 00:00,69.6,49.8,86.6
6174,2025/02/16 00:00,71.3,63.2,81.1
6174,2025/02/17 00:00,65.5,59.0,72.7
6174,2025/02/18 00:00,62.6,56.2,74.9
6174,2025/02/19 00:00,58.0,51.9,63.4
6174,2025/02/20 00:00,59.5,47.9,70.6
6174,2025/02/21 00:00,63.6,49.2,75.8
6174,2025/02/22 00:00,78.3,64.0,84.9
6174,2025/02/23 00:00,81.8,67.8,89.8
6174,2025/02/24 00:00,83.2,67.3,92.2
6174,2025/02/25 00:00,90.4,83.3,96.7
6174,2025/02/26 00:00,83.1,60.8,96.4
6174,2025/02/27 00:00,76.4,43.3,92.4
6174,2025/02/28 00:00,73.4,56.3,81.4
6174,2025/03/01 00:00,66.7,53.9,80.0
6174,2025/03/02 00:00,56.7,43.5,71.5
6174,2025/03/03 00:00,55.8,37.5,75.1
6174,2025/03/04 00:00,52.6,32.0,72.4
6174,2025/03/05 00:00,47.4,29.0,66.8
6174,2025/03/06 00:00,44.7,27.8,58.9
6174,2025/03/07 00:00,46.4,32.6,55.5
6174,2025/03/08 00:00,47.1,29.5,65.2
6174,2025/03/09 00:00,53.3,38.1,81.5
6174,2025/03/10 00:00,80.1,64.7,92.9
