Data/Ora,2002_media,2002_min,2002_max,6174_media,6174_min,6174_max,6179_media,6179_min,6179_max,6185_media,6185_min,6185_max,6597_media,6597_min,6597_max
2022-01-01,94.2,66.0,99.0,85.8,63.0,96.0,84.0,59.0,93.0,91.5,59.0,100.0,87.8,60.0,95.0
2022-01-02,91.1,70.0,99.0,87.1,77.0,99.0,79.4,69.0,91.0,97.1,84.0,100.0,87.7,73.0,96.0
2022-01-03,97.8,96.0,99.0,96.4,83.0,99.0,94.8,81.0,99.0,98.2,91.0,100.0,94.3,88.0,99.0
2022-01-04,96.1,94.0,99.0,98.4,93.0,99.0,96.4,89.0,99.0,99.9,98.0,100.0,96.6,90.0,99.0
2022-01-05,94.5,63.0,99.0,88.3,32.0,99.0,88.6,31.0,99.0,89.3,30.0,100.0,87.3,34.0,99.0
2022-01-06,85.0,66.0,97.0,74.3,30.0,91.0,73.0,35.0,90.0,77.9,33.0,100.0,77.7,36.0,90.0
2022-01-07,77.8,48.0,97.0,64.5,49.0,80.0,63.8,47.0,80.0,76.9,47.0,99.0,69.2,51.0,88.0
2022-01-08,88.8,61.0,98.0,79.6,64.0,97.0,78.8,56.0,99.0,89.0,69.0,99.0,81.8,63.0,96.0
2022-01-09,91.4,63.0,99.0,83.8,66.0,95.0,83.2,63.0,94.0,91.5,70.0,100.0,84.1,67.0,93.0
2022-01-10,90.1,59.0,99.0,81.3,69.0,90.0,76.9,61.0,90.0,93.6,71.0,100.0,82.4,63.0,94.0
2022-01-11,76.6,36.0,98.0,58.1,34.0,80.0,58.7,35.0,82.0,75.3,32.0,100.0,63.1,34.0,82.0
2022-01-12,72.9,48.0,89.0,59.8,49.0,69.0,59.5,49.0,70.0,72.1,45.0,90.0,65.0,46.0,80.0
2022-01-13,77.5,41.0,96.0,62.5,38.0,73.0,62.0,40.0,80.0,73.0,39.0,95.0,64.0,33.0,78.0
2022-01-14,69.9,35.0,92.0,58.8,39.0,72.0,52.7,34.0,67.0,67.8,43.0,95.0,61.8,40.0,76.0
2022-01-15,70.6,36.0,91.0,55.2,35.0,69.0,52.6,31.0,71.0,68.0,33.0,90.0,62.0,35.0,76.0
2022-01-16,72.3,44.0,96.0,61.1,48.0,74.0,57.5,42.0,73.0,74.4,52.0,94.0,65.8,47.0,80.0
2022-01-17,58.7,28.0,91.0,51.8,33.0,72.0,50.2,29.0,69.0,59.3,37.0,85.0,52.6,31.0,69.0
2022-01-18,78.3,50.0,96.0,68.0,44.0,81.0,66.7,45.0,78.0,72.9,48.0,98.0,69.8,48.0,81.0
2022-01-19,86.2,61.0,98.0,72.2,63.0,81.0,72.4,59.0,82.0,86.3,69.0,99.0,73.6,63.0,85.0
2022-01-20,90.8,66.0,98.0,85.0,68.0,94.0,85.2,63.0,97.0,92.8,74.0,100.0,84.6,69.0,95.0
2022-01-21,97.0,89.0,99.0,93.4,80.0,99.0,92.1,80.0,99.0,95.4,82.0,100.0,92.6,82.0,99.0
2022-01-22,88.9,62.0,98.0,86.0,64.0,99.0,81.9,60.0,99.0,91.5,75.0,100.0,85.4,67.0,99.0
2022-01-23,86.0,70.0,97.0,81.7,73.0,89.0,79.1,68.0,87.0,84.8,67.0,100.0,81.1,65.0,93.0
2022-01-24,98.6,98.0,99.0,93.3,84.0,99.0,91.6,83.0,99.0,98.4,84.0,100.0,92.1,78.0,99.0
2022-01-25,91.7,76.0,99.0,92.4,84.0,98.0,88.3,81.0,93.0,97.0,87.0,100.0,88.6,81.0,94.0
2022-01-26,92.1,84.0,96.0,96.5,92.0,99.0,93.0,86.0,99.0,100.0,100.0,100.0,93.3,88.0,98.0
2022-01-27,96.0,76.0,99.0,96.6,82.0,99.0,96.6,73.0,99.0,100.0,99.0,100.0,94.2,77.0,99.0
2022-01-28,69.6,12.0,99.0,65.2,12.0,99.0,62.9,11.0,99.0,71.7,12.0,100.0,63.5,12.0,99.0
2022-01-29,65.9,40.0,84.0,57.8,43.0,78.0,55.3,41.0,76.0,63.1,37.0,85.0,56.9,38.0,76.0
2022-01-30,56.2,42.0,86.0,53.5,44.0,79.0,51.1,42.0,75.0,58.9,45.0,82.0,53.8,43.0,78.0
2022-01-31,63.4,25.0,92.0,60.5,22.0,84.0,56.7,20.0,80.0,65.0,24.0,94.0,60.3,22.0,82.0
2022-02-01,27.3,15.0,42.0,26.0,15.0,36.0,24.0,13.0,34.0,28.6,16.0,39.0,26.3,15.0,36.0
2022-02-02,40.9,23.0,63.0,37.6,23.0,57.0,35.1,21.0,53.0,42.1,25.0,65.0,36.8,22.0,53.0
2022-02-03,67.3,48.0,81.0,60.7,42.0,76.0,57.4,39.0,72.0,64.2,51.0,79.0,61.0,46.0,75.0
2022-02-04,82.8,67.0,98.0,81.3,69.0,88.0,80.2,73.0,89.0,84.7,70.0,100.0,79.0,68.0,88.0
2022-02-05,95.8,78.0,99.0,91.4,81.0,99.0,92.8,75.0,99.0,92.9,70.0,100.0,90.0,72.0,99.0
2022-02-06,92.4,74.0,99.0,92.0,77.0,99.0,87.3,73.0,94.0,97.4,81.0,100.0,88.6,75.0,94.0
2022-02-07,44.0,11.0,99.0,44.8,11.0,99.0,41.0,10.0,96.0,48.2,11.0,100.0,43.2,12.0,96.0
2022-02-08,35.0,13.0,62.0,28.4,15.0,49.0,27.8,13.0,48.0,31.6,15.0,53.0,29.3,15.0,47.0
2022-02-09,64.1,48.0,92.0,59.5,42.0,80.0,56.7,43.0,77.0,65.8,53.0,94.0,58.5,44.0,81.0
2022-02-10,85.0,67.0,98.0,75.9,67.0,86.0,75.4,64.0,86.0,86.5,70.0,96.0,75.8,66.0,84.0
2022-02-11,62.4,14.0,83.0,57.9,14.0,75.0,55.5,12.0,73.0,63.7,15.0,88.0,58.1,16.0,77.0
2022-02-12,58.4,29.0,83.0,50.6,29.0,80.0,48.0,26.0,74.0,55.5,29.0,86.0,51.8,27.0,77.0
2022-02-13,61.0,38.0,83.0,46.1,37.0,53.0,44.7,36.0,52.0,52.1,38.0,69.0,49.6,36.0,58.0
2022-02-14,75.8,57.0,96.0,67.6,52.0,95.0,67.3,52.0,95.0,76.7,57.0,100.0,69.7,53.0,96.0
2022-02-15,95.6,85.0,99.0,95.8,90.0,99.0,94.4,88.0,99.0,99.5,96.0,100.0,94.8,88.0,99.0
2022-02-16,89.0,60.0,99.0,89.7,68.0,99.0,86.9,65.0,99.0,93.1,63.0,100.0,88.8,65.0,99.0
2022-02-17,81.1,54.0,99.0,76.8,55.0,99.0,71.7,51.0,94.0,83.5,59.0,100.0,77.6,54.0,99.0
2022-02-18,85.4,66.0,99.0,84.8,71.0,98.0,81.4,64.0,93.0,87.6,68.0,100.0,81.9,66.0,94.0
2022-02-19,90.8,66.0,99.0,92.2,75.0,99.0,90.9,68.0,99.0,95.3,79.0,100.0,87.8,73.0,99.0
2022-02-20,80.0,46.0,99.0,75.3,53.0,99.0,72.1,49.0,99.0,81.9,54.0,100.0,75.1,49.0,99.0
2022-02-21,56.3,15.0,97.0,51.6,14.0,83.0,51.1,12.0,86.0,57.5,14.0,93.0,52.1,13.0,83.0
2022-02-22,34.0,13.0,48.0,31.4,13.0,49.0,29.4,11.0,45.0,36.1,13.0,54.0,32.4,13.0,49.0
2022-02-23,47.8,30.0,71.0,38.9,28.0,48.0,37.3,25.0,48.0,41.0,27.0,60.0,40.8,27.0,54.0
2022-02-24,60.3,42.0,79.0,50.6,40.0,58.0,50.1,39.0,56.0,58.0,39.0,76.0,52.3,39.0,61.0
2022-02-25,49.0,12.0,92.0,41.6,11.0,72.0,38.7,10.0,66.0,49.6,11.0,92.0,43.0,12.0,74.0
2022-02-26,49.5,12.0,99.0,41.5,7.0,84.0,41.5,7.0,82.0,43.7,7.0,96.0,42.5,8.0,85.0
2022-02-27,50.2,25.0,79.0,40.5,25.0,58.0,38.3,21.0,56.0,46.9,25.0,71.0,43.3,24.0,63.0
2022-02-28,50.6,24.0,80.0,40.3,23.0,64.0,39.6,22.0,62.0,46.6,24.0,70.0,42.5,24.0,63.0
