Settimana,2002_max,2002_media,2002_min,6174_max,6174_media,6174_min,6179_max,6179_media,6179_min,6185_max,6185_media,6185_min,6597_max,6597_media,6597_min
48,98.29,92.59,76.71,93.71,88.74,77.71,98.86,93.77,79.43,100.0,98.04,89.57,97.86,91.2,77.57
49,99.0,90.47,66.14,85.71,78.29,65.71,94.29,83.29,65.57,100.0,92.6,71.57,93.14,82.76,64.43
50,99.0,91.0,71.29,91.57,84.03,72.71,97.71,88.9,72.57,100.0,96.73,83.86,96.0,86.86,71.29
51,96.0,78.29,57.14,86.86,68.64,54.0,93.0,71.71,53.43,96.71,78.83,58.14,92.57,71.59,54.29
52,88.29,60.24,32.14,66.71,48.64,32.0,67.57,46.01,28.43,90.71,62.81,33.71,71.57,52.39,32.0
1,98.0,85.17,60.29,82.14,73.46,58.57,91.43,77.97,57.57,100.0,89.46,65.0,88.14,77.27,57.71
2,98.71,88.81,72.29,89.57,81.99,71.14,93.43,85.17,74.86,100.0,91.94,77.71,94.86,84.97,71.0
3,94.43,77.4,51.86,74.29,64.21,49.29,77.86,64.49,47.43,98.29,80.1,52.29,78.71,68.33,50.71
4,99.0,96.17,86.14,96.14,92.59,85.86,99.0,97.84,91.0,100.0,99.5,95.43,99.0,95.19,84.0
5,99.0,93.64,79.0,93.57,87.19,75.57,99.0,99.3,99.0,100.0,96.06,82.86,97.86,90.36,76.14
6,98.14,88.33,65.0,87.43,77.7,61.14,,,,100.0,87.83,63.86,94.0,80.7,59.0
7,98.86,91.06,71.14,92.43,84.66,70.14,96.4,86.12,64.6,100.0,92.37,75.14,96.14,86.29,68.0
8,87.43,73.83,57.86,75.29,67.04,56.14,80.71,68.69,54.86,89.14,75.84,58.86,77.29,66.86,54.57
9,96.71,83.81,59.43,86.86,75.7,57.86,92.71,80.0,57.14,99.14,84.64,60.86,92.43,76.97,55.57
10,90.29,62.91,33.86,67.43,49.61,32.0,70.71,48.93,29.14,91.14,60.34,29.14,74.86,52.7,29.29
11,99.0,86.44,67.43,93.43,81.9,66.29,99.0,86.81,68.0,100.0,91.0,72.43,98.71,85.1,65.71
12,93.43,75.43,55.86,79.0,66.7,53.0,82.43,68.53,53.29,95.0,75.36,55.86,83.0,68.84,52.71
13,95.57,70.24,42.57,80.71,62.73,42.0,87.0,64.74,40.43,97.0,71.07,41.71,86.29,64.1,41.14
14,88.57,54.94,33.86,68.29,46.53,32.14,70.29,45.33,28.29,86.43,52.3,30.14,71.14,46.66,30.29
15,87.14,62.99,40.43,69.71,54.71,39.86,72.43,54.26,37.0,87.14,62.81,39.71,71.86,55.4,38.86
