Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Marche,Milano v.Senato
48,35.14,31.43,40.57,40.29
49,22.5,27.0,34.29,35.71
50,36.0,29.86,38.71,43.43
51,53.43,48.57,56.57,59.86
52,48.57,41.43,53.71,52.0
1,26.57,19.29,30.0,30.71
2,42.57,35.0,41.57,49.29
3,27.57,23.71,31.29,35.43
4,36.0,28.0,41.57,45.0
5,38.14,31.86,40.86,45.71
6,41.14,33.14,44.4,47.0
7,52.29,41.57,55.57,61.0
8,60.57,49.57,61.14,66.71
9,33.71,28.57,34.43,40.71
10,26.29,22.29,25.0,33.71
11,27.29,23.0,25.71,31.14
12,34.14,29.29,31.43,37.71
13,17.14,16.14,18.14,22.0
14,25.57,22.43,28.43,29.0
15,16.29,14.57,17.5,20.29
