idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop
100001,Biossido di Azoto,µg/m³,100001,NO2 Agra,VA,Agra,N         ,2011-01-01T00:00:00.000,
100002,Ozono,µg/m³,100001,O3 Agra,VA,Agra,N         ,2011-01-01T00:00:00.000,
100003,PM10,µg/m³,100001,PM10 Agra,VA,Agra,N         ,2011-01-01T00:00:00.000,
100004,Biossido di Azoto,µg/m³,100002,NO2 Albizzate,VA,Albizzate,N         ,2011-01-01T00:00:00.000,
100005,Ozono,µg/m³,100002,O3 Albizzate,VA,Albizzate,N         ,2011-01-01T00:00:00.000,
100006,PM10,µg/m³,100002,PM10 Albizzate,VA,Albizzate,N         ,2011-01-01T00:00:00.000,
100007,Biossido di Azoto,µg/m³,100003,NO2 Angera,VA,Angera,N         ,2011-01-01T00:00:00.000,
100008,Ozono,µg/m³,100003,O3 Angera,VA,Angera,N         ,2011-01-01T00:00:00.000,
100009,PM10,µg/m³,100003,PM10 Angera,VA,Angera,N         ,2011-01-01T00:00:00.000,
100010,Biossido di Azoto,µg/m³,100004,NO2 Arcisate,VA,Arcisate,N         ,2011-01-01T00:00:00.000,
100011,Ozono,µg/m³,100004,O3 Arcisate,VA,Arcisate,N         ,2011-01-01T00:00:00.000,
100012,PM10,µg/m³,100004,PM10 Arcisate,VA,Arcisate,N         ,2011-01-01T00:00:00.000,
100013,Biossido di Azoto,µg/m³,100005,NO2 Arsago Seprio,VA,Arsago Seprio,N         ,2011-01-01T00:00:00.000,
100014,Ozono,µg/m³,100005,O3 Arsago Seprio,VA,Arsago Seprio,N         ,2011-01-01T00:00:00.000,
100015,PM10,µg/m³,100005,PM10 Arsago Seprio,VA,Arsago Seprio,N         ,2011-01-01T00:00:00.000,
100016,Biossido di Azoto,µg/m³,100006,NO2 Azzate,VA,Azzate,N         ,2011-01-01T00:00:00.000,
100017,Ozono,µg/m³,100006,O3 Azzate,VA,Azzate,N         ,2011-01-01T00:00:00.000,
100018,PM10,µg/m³,100006,PM10 Azzate,VA,Azzate,N         ,2011-01-01T00:00:00.000,
100019,Biossido di Azoto,µg/m³,100007,NO2 Azzio,VA,Azzio,N         ,2011-01-01T00:00:00.000,
100020,Ozono,µg/m³,100007,O3 Azzio,VA,Azzio,N         ,2011-01-01T00:00:00.000,
100021,PM10,µg/m³,100007,PM10 Azzio,VA,Azzio,N         ,2011-01-01T00:00:00.000,
100022,Biossido di Azoto,µg/m³,100008,NO2 Barasso,VA,Barasso,N         ,2011-01-01T00:00:00.000,
100023,Ozono,µg/m³,100008,O3 Barasso,VA,Barasso,N         ,2011-01-01T00:00:00.000,
100024,PM10,µg/m³,100008,PM10 Barasso,VA,Barasso,N         ,2011-01-01T00:00:00.000,
100025,Biossido di Azoto,µg/m³,100009,NO2 Bardello,VA,Bardello,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
100026,Ozono,µg/m³,100009,O3 Bardello,VA,Bardello,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
100027,PM10,µg/m³,100009,PM10 Bardello,VA,Bardello,S         ,2011-01-01T00:00:00.000,2025-02-14T00:00:00.000
