anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2024,PM10,LC,Abbadia Lariana,366,366,100.0
2024,PM10,BG,Adrara San Martino,366,366,100.0
2024,PM10,BG,Adrara San Rocco,366,366,100.0
2024,PM10,MB,Agrate Brianza,366,366,100.0
2024,PM10,MB,Aicurzio,333,366,91.0
2024,PM10,LC,Airuno,341,366,93.2
2024,PM10,BG,Albano Sant'Alessandro,366,366,100.0
2024,PM10,SO,Albaredo Per San Marco,366,366,100.0
2024,PM10,MB,Albiate,366,366,100.0
2024,PM10,BG,Albino,366,366,100.0
2024,PM10,SO,Albosaggia,366,366,100.0
2024,PM10,BG,Algua,366,366,100.0
2024,PM10,BG,Almenno San Bartolomeo,366,366,100.0
2024,PM10,BG,Almenno San Salvatore,366,366,100.0
2024,PM10,BG,Almè,366,366,100.0
2024,PM10,BG,Alzano Lombardo,366,366,100.0
2024,PM10,BG,Ambivere,366,366,100.0
2024,PM10,SO,Andalo Valtellino,366,366,100.0
2024,PM10,BS,Angolo Terme,366,366,100.0
2024,PM10,LC,Annone Di Brianza,366,366,100.0
2024,PM10,BG,Antegnate,366,366,100.0
2024,PM10,SO,Aprica,366,366,100.0
2024,PM10,BG,Arcene,366,366,100.0
2024,PM10,MB,Arcore,366,366,100.0
2024,PM10,SO,Ardenno,366,366,100.0
2024,PM10,BG,Ardesio,366,366,100.0
2024,PM10,BS,Artogne,366,366,100.0
2024,PM10,BG,Arzago D'Adda,366,366,100.0
2024,PM10,BG,Averara,366,366,100.0
2024,PM10,BG,Aviatico,366,366,100.0
2024,PM10,BG,Azzano San Paolo,366,366,100.0
2024,PM10,BG,Azzone,366,366,100.0
2024,PM10,BG,Bagnatica,366,366,100.0
2024,PM10,LC,Ballabio,366,366,100.0
2024,PM10,BG,Barbata,366,366,100.0
2024,PM10,BG,Bariano,366,366,100.0
2024,PM10,MB,Barlassina,366,366,100.0
2024,PM10,LC,Barzago,366,366,100.0
2024,PM10,BG,Barzana,366,366,100.0
2024,PM10,LC,Barzanò,366,366,100.0
2024,PM10,LC,Barzio,366,366,100.0
2024,PM10,BG,Bedulita,366,366,100.0
2024,PM10,LC,Bellano,366,366,100.0
2024,PM10,MB,Bellusco,366,366,100.0
2024,PM10,SO,Bema,366,366,100.0
2024,PM10,BG,Berbenno,366,366,100.0
2024,PM10,SO,Berbenno Di Valtellina,366,366,100.0
2024,PM10,BG,Bergamo,366,366,100.0
2024,PM10,MB,Bernareggio,366,366,100.0
2024,PM10,BS,Berzo Demo,366,366,100.0
2024,PM10,BS,Berzo Inferiore,366,366,100.0
2024,PM10,BG,Berzo San Fermo,366,366,100.0
2024,PM10,MB,Besana In Brianza,366,366,100.0
2024,PM10,BG,Bianzano,366,366,100.0
2024,PM10,SO,Bianzone,366,366,100.0
2024,PM10,MB,Biassono,366,366,100.0
2024,PM10,BS,Bienno,366,366,100.0
2024,PM10,BG,Blello,366,366,100.0
2024,PM10,BG,Bolgare,366,366,100.0
2024,PM10,BG,Boltiere,366,366,100.0
2024,PM10,BG,Bonate Sopra,366,366,100.0
2024,PM10,BG,Bonate Sotto,366,366,100.0
2024,PM10,BG,Borgo Di Terzo,366,366,100.0
2024,PM10,SO,Bormio,366,366,100.0
2024,PM10,BS,Borno,366,366,100.0
2024,PM10,LC,Bosisio Parini,366,366,100.0
2024,PM10,BG,Bossico,366,366,100.0
2024,PM10,BG,Bottanuco,366,366,100.0
2024,PM10,MB,Bovisio-Masciago,366,366,100.0
2024,PM10,BG,Bracca,366,366,100.0
2024,PM10,BG,Branzi,366,366,100.0
2024,PM10,BS,Braone,366,366,100.0
2024,PM10,BG,Brembate,366,366,100.0
2024,PM10,BG,Brembate Di Sopra,366,366,100.0
2024,PM10,BS,Breno,366,366,100.0
2024,PM10,BG,Brignano Gera D'Adda,366,366,100.0
2024,PM10,MB,Briosco,366,366,100.0
2024,PM10,LC,Brivio,366,366,100.0
2024,PM10,MB,Brugherio,366,366,100.0
2024,PM10,BG,Brumano,366,366,100.0
2024,PM10,BG,Brusaporto,366,366,100.0
2024,PM10,SO,Buglio In Monte,366,366,100.0
2024,PM10,LC,Bulciago,366,366,100.0
2024,PM10,MB,Burago Di Molgora,366,366,100.0
2024,PM10,MB,Busnago,366,366,100.0
2024,PM10,SO,Caiolo,366,366,100.0
2024,PM10,BG,Calcinate,366,366,100.0
2024,PM10,BG,Calcio,366,366,100.0
2024,PM10,LC,Calco,366,366,100.0
2024,PM10,LC,Calolziocorte,366,366,100.0
2024,PM10,BG,Calusco D'Adda,366,366,100.0
2024,PM10,BG,Calvenzano,366,366,100.0
2024,PM10,BG,Camerata Cornello,366,366,100.0
2024,PM10,MB,Camparada,366,366,100.0
2024,PM10,SO,Campodolcino,366,366,100.0
2024,PM10,BG,Canonica D'Adda,366,366,100.0
2024,PM10,BG,Capizzone,366,366,100.0
2024,PM10,BS,Capo Di Ponte,366,366,100.0
2024,PM10,MB,Caponago,366,366,100.0
2024,PM10,BG,Capriate San Gervasio,366,366,100.0
2024,PM10,BG,Caprino Bergamasco,366,366,100.0
2024,PM10,MB,Carate Brianza,366,366,100.0
2024,PM10,BG,Caravaggio,366,366,100.0
2024,PM10,LC,Carenno,366,366,100.0
2024,PM10,MB,Carnate,366,366,100.0
2024,PM10,BG,Carobbio Degli Angeli,366,366,100.0
2024,PM10,BG,Carona,366,366,100.0
2024,PM10,BG,Carvico,366,366,100.0
2024,PM10,LC,Casargo,366,366,100.0
2024,PM10,LC,Casatenovo,366,366,100.0
2024,PM10,BG,Casazza,366,366,100.0
2024,PM10,BG,Casirate D'Adda,366,366,100.0
2024,PM10,BG,Casnigo,366,366,100.0
2024,PM10,SO,Caspoggio,366,366,100.0
2024,PM10,LC,Cassago Brianza,366,366,100.0
2024,PM10,BG,Cassiglio,366,366,100.0
2024,PM10,LC,Cassina Valsassina,366,366,100.0
2024,PM10,BG,Castel Rozzone,366,366,100.0
2024,PM10,BG,Castelli Calepio,366,366,100.0
2024,PM10,SO,Castello Dell'Acqua,366,366,100.0
2024,PM10,LC,Castello Di Brianza,366,366,100.0
2024,PM10,SO,Castione Andevenno,366,366,100.0
2024,PM10,BG,Castione Della Presolana,366,366,100.0
2024,PM10,BG,Castro,366,366,100.0
2024,PM10,MB,Cavenago Di Brianza,366,366,100.0
2024,PM10,BG,Cavernago,366,366,100.0
2024,PM10,BG,Cazzano Sant'Andrea,366,366,100.0
2024,PM10,BS,Cedegolo,366,366,100.0
2024,PM10,SO,Cedrasco,366,366,100.0
2024,PM10,BG,Cenate Sopra,366,366,100.0
2024,PM10,BG,Cenate Sotto,366,366,100.0
2024,PM10,BG,Cene,366,366,100.0
2024,PM10,SO,Cercino,366,366,100.0
2024,PM10,BG,Cerete,366,366,100.0
2024,PM10,MB,Ceriano Laghetto,366,366,100.0
2024,PM10,LC,Cernusco Lombardone,366,366,100.0
2024,PM10,BS,Cerveno,366,366,100.0
2024,PM10,LC,Cesana Brianza,366,366,100.0
2024,PM10,MB,Cesano Maderno,366,366,100.0
2024,PM10,BS,Ceto,366,366,100.0
