anno_label,parametro,provincia,comune,giorni_presenti,giorni_attesi,completezza_pct
2025-2026,PM10,LC,Abbadia Lariana,415,511,81.2
2025-2026,PM10,BG,Adrara San Martino,470,511,92.0
2025-2026,PM10,BG,Adrara San Rocco,471,511,92.2
2025-2026,PM10,MB,Agrate Brianza,392,511,76.7
2025-2026,PM10,MB,Aicurzio,399,511,78.1
2025-2026,PM10,LC,Airuno,420,511,82.2
2025-2026,PM10,BG,Albano Sant'Alessandro,472,511,92.4
2025-2026,PM10,SO,Albaredo Per San Marco,468,511,91.6
2025-2026,PM10,MB,Albiate,398,511,77.9
2025-2026,PM10,BG,Albino,471,511,92.2
2025-2026,PM10,SO,Albosaggia,408,511,79.8
2025-2026,PM10,BG,Algua,467,511,91.4
2025-2026,PM10,BG,Almenno San Bartolomeo,308,511,60.3
2025-2026,PM10,BG,Almenno San Salvatore,308,511,60.3
2025-2026,PM10,BG,Almè,400,511,78.3
2025-2026,PM10,BG,Alzano Lombardo,472,511,92.4
2025-2026,PM10,BG,Ambivere,472,511,92.4
2025-2026,PM10,SO,Andalo Valtellino,410,511,80.2
2025-2026,PM10,BS,Angolo Terme,405,511,79.3
2025-2026,PM10,LC,Annone Di Brianza,414,511,81.0
2025-2026,PM10,BG,Antegnate,472,511,92.4
2025-2026,PM10,SO,Aprica,467,511,91.4
2025-2026,PM10,BG,Arcene,471,511,92.2
2025-2026,PM10,MB,Arcore,398,511,77.9
2025-2026,PM10,SO,Ardenno,408,511,79.8
2025-2026,PM10,BG,Ardesio,471,511,92.2
2025-2026,PM10,BS,Artogne,406,511,79.5
2025-2026,PM10,BG,Arzago D'Adda,472,511,92.4
2025-2026,PM10,BG,Averara,472,511,92.4
2025-2026,PM10,BG,Aviatico,472,511,92.4
2025-2026,PM10,BG,Azzano San Paolo,471,511,92.2
2025-2026,PM10,BG,Azzone,469,511,91.8
2025-2026,PM10,BG,Bagnatica,470,511,92.0
2025-2026,PM10,LC,Ballabio,419,511,82.0
2025-2026,PM10,BG,Barbata,470,511,92.0
2025-2026,PM10,BG,Bariano,470,511,92.0
2025-2026,PM10,MB,Barlassina,397,511,77.7
2025-2026,PM10,LC,Barzago,414,511,81.0
2025-2026,PM10,BG,Barzana,470,511,92.0
2025-2026,PM10,LC,Barzanò,412,511,80.6
2025-2026,PM10,LC,Barzio,413,511,80.8
2025-2026,PM10,BG,Bedulita,402,511,78.7
2025-2026,PM10,LC,Bellano,409,511,80.0
2025-2026,PM10,MB,Bellusco,397,511,77.7
2025-2026,PM10,SO,Bema,468,511,91.6
2025-2026,PM10,BG,Berbenno,401,511,78.5
2025-2026,PM10,SO,Berbenno Di Valtellina,409,511,80.0
2025-2026,PM10,BG,Bergamo,471,511,92.2
2025-2026,PM10,MB,Bernareggio,390,511,76.3
2025-2026,PM10,BS,Berzo Demo,408,511,79.8
2025-2026,PM10,BS,Berzo Inferiore,410,511,80.2
2025-2026,PM10,BG,Berzo San Fermo,473,511,92.6
2025-2026,PM10,MB,Besana In Brianza,397,511,77.7
2025-2026,PM10,BG,Bianzano,471,511,92.2
2025-2026,PM10,SO,Bianzone,408,511,79.8
2025-2026,PM10,MB,Biassono,396,511,77.5
2025-2026,PM10,BS,Bienno,407,511,79.6
2025-2026,PM10,BG,Blello,471,511,92.2
2025-2026,PM10,BG,Bolgare,470,511,92.0
2025-2026,PM10,BG,Boltiere,470,511,92.0
2025-2026,PM10,BG,Bonate Sopra,471,511,92.2
2025-2026,PM10,BG,Bonate Sotto,470,511,92.0
2025-2026,PM10,BG,Borgo Di Terzo,469,511,91.8
2025-2026,PM10,SO,Bormio,468,511,91.6
2025-2026,PM10,BS,Borno,464,511,90.8
2025-2026,PM10,LC,Bosisio Parini,418,511,81.8
2025-2026,PM10,BG,Bossico,470,511,92.0
2025-2026,PM10,BG,Bottanuco,470,511,92.0
2025-2026,PM10,MB,Bovisio-Masciago,397,511,77.7
2025-2026,PM10,BG,Bracca,406,511,79.5
2025-2026,PM10,BG,Branzi,470,511,92.0
2025-2026,PM10,BS,Braone,406,511,79.5
2025-2026,PM10,BG,Brembate,470,511,92.0
2025-2026,PM10,BG,Brembate Di Sopra,470,511,92.0
2025-2026,PM10,BS,Breno,406,511,79.5
2025-2026,PM10,BG,Brignano Gera D'Adda,470,511,92.0
2025-2026,PM10,MB,Briosco,395,511,77.3
2025-2026,PM10,LC,Brivio,413,511,80.8
2025-2026,PM10,MB,Brugherio,396,511,77.5
2025-2026,PM10,BG,Brumano,470,511,92.0
2025-2026,PM10,BG,Brusaporto,470,511,92.0
2025-2026,PM10,SO,Buglio In Monte,404,511,79.1
2025-2026,PM10,LC,Bulciago,413,511,80.8
2025-2026,PM10,MB,Burago Di Molgora,395,511,77.3
2025-2026,PM10,MB,Busnago,409,511,80.0
2025-2026,PM10,SO,Caiolo,404,511,79.1
2025-2026,PM10,BG,Calcinate,470,511,92.0
2025-2026,PM10,BG,Calcio,470,511,92.0
2025-2026,PM10,LC,Calco,413,511,80.8
2025-2026,PM10,LC,Calolziocorte,414,511,81.0
2025-2026,PM10,BG,Calusco D'Adda,470,511,92.0
2025-2026,PM10,BG,Calvenzano,470,511,92.0
2025-2026,PM10,BG,Camerata Cornello,405,511,79.3
2025-2026,PM10,MB,Camparada,395,511,77.3
2025-2026,PM10,SO,Campodolcino,469,511,91.8
2025-2026,PM10,BG,Canonica D'Adda,470,511,92.0
2025-2026,PM10,BG,Capizzone,400,511,78.3
2025-2026,PM10,BS,Capo Di Ponte,404,511,79.1
2025-2026,PM10,MB,Caponago,408,511,79.8
2025-2026,PM10,BG,Capriate San Gervasio,470,511,92.0
2025-2026,PM10,BG,Caprino Bergamasco,470,511,92.0
2025-2026,PM10,MB,Carate Brianza,394,511,77.1
2025-2026,PM10,BG,Caravaggio,470,511,92.0
2025-2026,PM10,LC,Carenno,415,511,81.2
2025-2026,PM10,MB,Carnate,394,511,77.1
2025-2026,PM10,BG,Carobbio Degli Angeli,470,511,92.0
2025-2026,PM10,BG,Carona,471,511,92.2
2025-2026,PM10,BG,Carvico,470,511,92.0
2025-2026,PM10,LC,Casargo,415,511,81.2
2025-2026,PM10,LC,Casatenovo,414,511,81.0
2025-2026,PM10,BG,Casazza,470,511,92.0
2025-2026,PM10,BG,Casirate D'Adda,472,511,92.4
2025-2026,PM10,BG,Casnigo,400,511,78.3
2025-2026,PM10,SO,Caspoggio,469,511,91.8
2025-2026,PM10,LC,Cassago Brianza,415,511,81.2
2025-2026,PM10,BG,Cassiglio,470,511,92.0
2025-2026,PM10,LC,Cassina Valsassina,413,511,80.8
2025-2026,PM10,BG,Castel Rozzone,469,511,91.8
2025-2026,PM10,BG,Castelli Calepio,469,511,91.8
2025-2026,PM10,SO,Castello Dell'Acqua,407,511,79.6
2025-2026,PM10,LC,Castello Di Brianza,413,511,80.8
