idsensore,nometiposensore,unitamisura,idstazione,sensore,provincia,comune,storico,datastart,datastop,comune_norm
100586,Biossido di Azoto,µg/m³,100196,NO2 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,,Cremia
100588,PM10,µg/m³,100196,PM10 Cremia,CO,Cremia,N         ,2011-01-01T00:00:00.000,,Cremia
100598,Biossido di Azoto,µg/m³,100200,NO2 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,,Domaso
100600,PM10,µg/m³,100200,PM10 Domaso,CO,Domaso,N         ,2011-01-01T00:00:00.000,,Domaso
100601,Biossido di Azoto,µg/m³,100201,NO2 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,,Dongo
100603,PM10,µg/m³,100201,PM10 Dongo,CO,Dongo,N         ,2011-01-01T00:00:00.000,,Dongo
100604,Biossido di Azoto,µg/m³,100202,NO2 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,,Dosso Del Liro
100606,PM10,µg/m³,100202,PM10 Dosso del Liro,CO,Dosso del Liro,N         ,2011-01-01T00:00:00.000,,Dosso Del Liro
100631,Biossido di Azoto,µg/m³,100211,NO2 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,,Garzeno
100633,PM10,µg/m³,100211,PM10 Garzeno,CO,Garzeno,N         ,2011-01-01T00:00:00.000,,Garzeno
100634,Biossido di Azoto,µg/m³,100212,NO2 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,,Gera Lario
100636,PM10,µg/m³,100212,PM10 Gera Lario,CO,Gera Lario,N         ,2011-01-01T00:00:00.000,,Gera Lario
100682,Biossido di Azoto,µg/m³,100228,NO2 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,,Livo
100684,PM10,µg/m³,100228,PM10 Livo,CO,Livo,N         ,2011-01-01T00:00:00.000,,Livo
100733,Biossido di Azoto,µg/m³,100245,NO2 Montemezzo,CO,Montemezzo,N         ,2011-01-01T00:00:00.000,,Montemezzo
100735,PM10,µg/m³,100245,PM10 Montemezzo,CO,Montemezzo,N         ,2011-01-01T00:00:00.000,,Montemezzo
100742,Biossido di Azoto,µg/m³,100248,NO2 Musso,CO,Musso,N         ,2011-01-01T00:00:00.000,,Musso
100744,PM10,µg/m³,100248,PM10 Musso,CO,Musso,N         ,2011-01-01T00:00:00.000,,Musso
100766,Biossido di Azoto,µg/m³,100256,NO2 Peglio,CO,Peglio,N         ,2011-01-01T00:00:00.000,,Peglio
100768,PM10,µg/m³,100256,PM10 Peglio,CO,Peglio,N         ,2011-01-01T00:00:00.000,,Peglio
100772,Biossido di Azoto,µg/m³,100258,NO2 Pianello del Lario,CO,Pianello del Lario,N         ,2011-01-01T00:00:00.000,,Pianello Del Lario
100774,PM10,µg/m³,100258,PM10 Pianello del Lario,CO,Pianello del Lario,N         ,2011-01-01T00:00:00.000,,Pianello Del Lario
100841,Biossido di Azoto,µg/m³,100281,NO2 Sorico,CO,Sorico,N         ,2011-01-01T00:00:00.000,,Sorico
100843,PM10,µg/m³,100281,PM10 Sorico,CO,Sorico,N         ,2011-01-01T00:00:00.000,,Sorico
100847,Biossido di Azoto,µg/m³,100283,NO2 Stazzona,CO,Stazzona,N         ,2011-01-01T00:00:00.000,,Stazzona
100849,PM10,µg/m³,100283,PM10 Stazzona,CO,Stazzona,N         ,2011-01-01T00:00:00.000,,Stazzona
100859,Biossido di Azoto,µg/m³,100287,NO2 Trezzone,CO,Trezzone,N         ,2011-01-01T00:00:00.000,,Trezzone
100861,PM10,µg/m³,100287,PM10 Trezzone,CO,Trezzone,N         ,2011-01-01T00:00:00.000,,Trezzone
100886,Biossido di Azoto,µg/m³,100296,NO2 Vercana,CO,Vercana,N         ,2011-01-01T00:00:00.000,,Vercana
100888,PM10,µg/m³,100296,PM10 Vercana,CO,Vercana,N         ,2011-01-01T00:00:00.000,,Vercana
100901,Biossido di Azoto,µg/m³,100301,NO2 Gravedona ed Uniti,CO,Gravedona ed Uniti,N         ,2011-01-01T00:00:00.000,,Gravedona Ed Uniti
100903,PM10,µg/m³,100301,PM10 Gravedona ed Uniti,CO,Gravedona ed Uniti,N         ,2011-01-01T00:00:00.000,,Gravedona Ed Uniti
100904,Biossido di Azoto,µg/m³,100302,NO2 Albaredo per San Marco,SO,Albaredo per San Marco,N         ,2011-01-01T00:00:00.000,,Albaredo Per San Marco
100906,PM10,µg/m³,100302,PM10 Albaredo per San Marco,SO,Albaredo per San Marco,N         ,2011-01-01T00:00:00.000,,Albaredo Per San Marco
100907,Biossido di Azoto,µg/m³,100303,NO2 Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100908,Biossido di Azoto,µg/m³,100303,NO2 Urbanizzato Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100911,PM10,µg/m³,100303,PM10 Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100912,PM10,µg/m³,100303,PM10 Urbanizzato Albosaggia,SO,Albosaggia,N         ,2011-01-01T00:00:00.000,,Albosaggia
100913,Biossido di Azoto,µg/m³,100304,NO2 Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
100914,Biossido di Azoto,µg/m³,100304,NO2 Urbanizzato Andalo Valtellino,SO,Andalo Valtellino,N         ,2011-01-01T00:00:00.000,,Andalo Valtellino
