stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale
22-23,ATS_Bergamo,NO2,2022,46,W46/2022,1,242,18.9888,9.8157,1.0571,43.8286
22-23,ATS_Bergamo,NO2,2022,47,W47/2022,2,242,21.0412,12.5120,1.0571,48.9429
22-23,ATS_Bergamo,NO2,2022,48,W48/2022,3,242,23.4658,9.8920,3.4143,45.7286
22-23,ATS_Bergamo,NO2,2022,49,W49/2022,4,242,21.6801,11.8485,1.7286,48.2429
22-23,ATS_Bergamo,NO2,2022,50,W50/2022,5,242,25.9728,13.1051,1.8143,54.7429
22-23,ATS_Bergamo,NO2,2022,51,W51/2022,6,242,27.2648,13.4773,1.3429,53.7857
22-23,ATS_Bergamo,NO2,2022,52,W52/2022,7,242,20.5560,10.4933,1.3714,45.8286
22-23,ATS_Bergamo,NO2,2023,1,W01/2023,8,242,19.8272,7.8741,1.6143,36.5857
22-23,ATS_Bergamo,NO2,2023,2,W02/2023,9,242,23.2250,13.9650,0.8857,53.6286
22-23,ATS_Bergamo,NO2,2023,3,W03/2023,10,242,22.0228,13.5367,1.7000,51.8429
22-23,ATS_Bergamo,NO2,2023,4,W04/2023,11,242,24.0665,12.4126,1.5143,50.6571
22-23,ATS_Bergamo,NO2,2023,5,W05/2023,12,242,22.9244,14.8794,0.6714,57.8571
22-23,ATS_Bergamo,NO2,2023,6,W06/2023,13,242,24.4192,12.4151,3.0857,52.5429
22-23,ATS_Bergamo,NO2,2023,7,W07/2023,14,242,28.2833,14.3851,2.6571,59.4429
22-23,ATS_Bergamo,NO2,2023,8,W08/2023,15,242,23.2590,10.7002,3.2429,52.0000
22-23,ATS_Bergamo,NO2,2023,9,W09/2023,16,242,21.6719,10.1376,2.8143,46.8714
22-23,ATS_Bergamo,NO2,2023,10,W10/2023,17,242,16.9344,10.5222,1.1429,47.9857
22-23,ATS_Bergamo,NO2,2023,11,W11/2023,18,242,15.7614,8.9578,1.6000,44.6000
22-23,ATS_Bergamo,NO2,2023,12,W12/2023,19,242,15.8796,9.2384,1.5857,46.2429
22-23,ATS_Bergamo,NO2,2023,13,W13/2023,20,242,13.1625,8.7897,0.8571,41.9714
22-23,ATS_Bergamo,NO2,2023,14,W14/2023,21,242,12.1551,6.8823,1.3714,35.4286
22-23,ATS_Bergamo,NO2,2023,15,W15/2023,22,242,11.2875,6.7687,0.8571,36.1429
