stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale
25-26,ATS_Bergamo,PM10,2025,46,W46/2025,1,242,26.7246,12.3609,3.5833,53.6000
25-26,ATS_Bergamo,PM10,2025,47,W47/2025,2,242,11.7092,4.0152,2.4429,18.2143
25-26,ATS_Bergamo,PM10,2025,48,W48/2025,3,242,17.8024,8.8117,2.0429,40.9714
25-26,ATS_Bergamo,PM10,2025,49,W49/2025,4,242,18.3995,10.3233,1.9167,40.5400
25-26,ATS_Bergamo,PM10,2025,50,W50/2025,5,242,28.2680,13.5598,3.5833,52.0000
25-26,ATS_Bergamo,PM10,2025,51,W51/2025,6,242,21.4535,9.3232,2.5333,37.1333
25-26,ATS_Bergamo,PM10,2025,52,W52/2025,7,242,15.4818,6.6482,2.1000,26.3000
25-26,ATS_Bergamo,PM10,2026,1,W01/2026,8,242,22.9381,11.6074,3.5250,46.4400
25-26,ATS_Bergamo,PM10,2026,2,W02/2026,9,242,20.7606,12.0691,2.3857,47.2286
25-26,ATS_Bergamo,PM10,2026,3,W03/2026,10,242,28.0160,15.4549,2.5400,54.8800
25-26,ATS_Bergamo,PM10,2026,4,W04/2026,11,242,25.6353,10.0064,3.5500,43.0333
25-26,ATS_Bergamo,PM10,2026,5,W05/2026,12,242,16.8280,9.7598,1.6143,36.4857
25-26,ATS_Bergamo,PM10,2026,6,W06/2026,13,242,14.5023,8.1057,1.6667,34.7833
25-26,ATS_Bergamo,PM10,2026,7,W07/2026,14,242,12.4317,6.0508,2.1167,26.3857
25-26,ATS_Bergamo,PM10,2026,8,W08/2026,15,242,12.2526,6.2888,2.0000,26.8714
25-26,ATS_Bergamo,PM10,2026,9,W09/2026,16,242,36.9449,12.4061,8.8857,57.3143
25-26,ATS_Bergamo,PM10,2026,10,W10/2026,17,242,29.6350,13.8620,6.7500,55.3250
25-26,ATS_Bergamo,PM10,2026,11,W11/2026,18,242,21.0243,11.0588,5.3857,43.0857
25-26,ATS_Bergamo,PM10,2026,12,W12/2026,19,242,13.2421,4.9685,4.6143,25.3429
25-26,ATS_Bergamo,PM10,2026,13,W13/2026,20,242,11.0513,4.4171,3.3800,23.1200
25-26,ATS_Bergamo,PM10,2026,14,W14/2026,21,242,10.8017,4.5101,3.1500,21.9667
25-26,ATS_Bergamo,PM10,2026,15,W15/2026,22,242,21.4074,7.4114,3.6333,31.1333
