stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Bergamo,PM25,2021,46,W46/2021,1,241,15.1629,7.7782,2.5429,26.5857,19.6688,11.8761
21-22,ATS_Bergamo,PM25,2021,47,W47/2021,2,241,12.4119,5.5711,2.6286,20.4429,15.6963,9.9470
21-22,ATS_Bergamo,PM25,2021,48,W48/2021,3,241,15.7647,8.3674,1.5714,27.9286,20.7457,12.1264
21-22,ATS_Bergamo,PM25,2021,49,W49/2021,4,241,17.0093,8.8022,1.5429,32.1714,21.6131,13.4372
21-22,ATS_Bergamo,PM25,2021,50,W50/2021,5,241,25.4981,14.1492,1.4714,46.4714,33.3591,19.4298
21-22,ATS_Bergamo,PM25,2021,51,W51/2021,6,241,30.9410,12.8774,3.9143,51.0000,38.6454,24.4574
21-22,ATS_Bergamo,PM25,2021,52,W52/2021,7,242,27.4869,13.1628,1.7714,47.0286,35.2772,21.2145
21-22,ATS_Bergamo,PM25,2022,1,W01/2022,8,240,21.5203,9.2860,2.2857,37.1000,26.9416,17.1325
21-22,ATS_Bergamo,PM25,2022,2,W02/2022,9,240,22.8768,11.7065,2.0000,44.1857,28.8190,18.2308
21-22,ATS_Bergamo,PM25,2022,3,W03/2022,10,240,34.7615,15.5812,2.5857,53.4286,43.5355,27.4255
21-22,ATS_Bergamo,PM25,2022,4,W04/2022,11,240,33.1643,12.3446,2.9571,50.8857,40.3988,26.6158
21-22,ATS_Bergamo,PM25,2022,5,W05/2022,12,240,24.6396,9.3427,3.2429,35.5571,30.0491,19.9043
21-22,ATS_Bergamo,PM25,2022,6,W06/2022,13,240,17.7939,6.8302,3.5143,26.6286,21.7827,14.7399
21-22,ATS_Bergamo,PM25,2022,7,W07/2022,14,240,27.6022,11.2055,2.6714,42.3143,33.7377,22.3059
21-22,ATS_Bergamo,PM25,2022,8,W08/2022,15,241,13.9337,5.7282,2.3571,22.8143,17.0765,11.3970
21-22,ATS_Bergamo,PM25,2022,9,W09/2022,16,241,24.8741,5.0671,7.4429,30.9571,27.3955,21.9939
21-22,ATS_Bergamo,PM25,2022,10,W10/2022,17,241,27.0461,5.0377,10.3429,32.9714,29.5769,24.1516
21-22,ATS_Bergamo,PM25,2022,11,W11/2022,18,241,30.9045,6.6587,9.5857,38.5571,34.5353,27.1317
21-22,ATS_Bergamo,PM25,2022,12,W12/2022,19,241,28.8242,7.0243,10.4714,41.7714,32.4684,25.4523
21-22,ATS_Bergamo,PM25,2022,13,W13/2022,20,241,22.1763,5.0879,6.6000,28.9857,25.0641,19.3583
21-22,ATS_Bergamo,PM25,2022,14,W14/2022,21,241,17.6058,3.6209,5.2571,21.8571,19.5381,15.5376
21-22,ATS_Bergamo,PM25,2022,15,W15/2022,22,241,18.1277,3.1016,7.6571,22.0857,19.8606,16.4077
