stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Brianza,NO2,2023,40,W40/2023,1,138,16.5472,7.6082,1.5571,36.0857,21.8897,14.3780
23-24,ATS_Brianza,NO2,2023,41,W41/2023,2,138,17.9890,6.6930,2.7714,33.6429,22.4195,16.0477
23-24,ATS_Brianza,NO2,2023,42,W42/2023,3,138,16.6036,5.6482,3.1857,26.9000,20.4274,14.8347
23-24,ATS_Brianza,NO2,2023,43,W43/2023,4,138,16.1260,6.8120,1.8571,29.4143,20.8469,13.9697
23-24,ATS_Brianza,NO2,2023,44,W44/2023,5,138,13.7899,6.2629,1.6857,27.5000,18.8134,12.0709
23-24,ATS_Brianza,NO2,2023,45,W45/2023,6,138,18.8966,9.1335,1.6857,37.6857,25.5902,16.2081
23-24,ATS_Brianza,NO2,2023,46,W46/2023,7,138,23.0283,9.9991,1.6714,41.2857,30.1852,19.7417
23-24,ATS_Brianza,NO2,2023,47,W47/2023,8,138,24.8387,10.6064,1.5714,40.9000,31.2301,20.7855
23-24,ATS_Brianza,NO2,2023,48,W48/2023,9,138,25.8439,9.7328,3.2429,37.8429,31.5750,22.1160
23-24,ATS_Brianza,NO2,2023,49,W49/2023,10,138,29.2911,11.4471,1.9143,42.3286,35.3211,24.7162
23-24,ATS_Brianza,NO2,2023,50,W50/2023,11,138,31.1673,11.7151,2.2143,41.4714,36.9763,26.3370
23-24,ATS_Brianza,NO2,2023,51,W51/2023,12,138,32.7049,14.7176,1.2000,49.5143,41.3654,27.1145
23-24,ATS_Brianza,NO2,2023,52,W52/2023,13,138,28.3394,9.0855,3.3286,37.9000,32.8508,24.8007
23-24,ATS_Brianza,NO2,2024,1,W01/2024,14,136,23.8657,10.5671,1.3286,39.2286,29.7984,19.6174
23-24,ATS_Brianza,NO2,2024,2,W02/2024,15,136,27.7553,10.5188,3.6571,43.9429,34.5870,23.9483
23-24,ATS_Brianza,NO2,2024,3,W03/2024,16,136,31.0290,13.6918,1.7143,48.9714,38.8952,25.5477
23-24,ATS_Brianza,NO2,2024,4,W04/2024,17,136,39.0524,18.2581,1.1429,61.7000,49.3265,31.8176
23-24,ATS_Brianza,NO2,2024,5,W05/2024,18,137,43.7885,17.7564,2.8143,62.0286,52.8086,36.5078
23-24,ATS_Brianza,NO2,2024,6,W06/2024,19,137,25.6591,10.4602,1.7286,39.3857,31.5194,21.6993
23-24,ATS_Brianza,NO2,2024,7,W07/2024,20,138,36.4768,13.9068,3.5571,55.9429,44.9808,31.2825
23-24,ATS_Brianza,NO2,2024,8,W08/2024,21,138,25.3093,11.6065,1.8571,43.5286,32.8736,21.2552
23-24,ATS_Brianza,NO2,2024,9,W09/2024,22,138,19.3900,8.9450,1.3143,34.7143,25.0381,16.2708
23-24,ATS_Brianza,NO2,2024,10,W10/2024,23,138,19.1594,8.1181,1.6286,32.0571,24.0955,16.1747
23-24,ATS_Brianza,NO2,2024,11,W11/2024,24,138,20.5355,8.5626,1.7286,36.6286,25.8043,17.4443
23-24,ATS_Brianza,NO2,2024,12,W12/2024,25,138,18.6580,7.5982,1.5429,30.0714,22.8757,15.7155
23-24,ATS_Brianza,NO2,2024,13,W13/2024,26,138,15.5087,7.4442,1.1143,30.1286,20.8171,13.2340
23-24,ATS_Brianza,NO2,2024,14,W14/2024,27,138,16.2251,6.9327,1.2000,30.8000,20.1914,13.8074
23-24,ATS_Brianza,NO2,2024,15,W15/2024,28,138,17.0452,7.8785,1.3286,33.5000,22.5005,14.5641
23-24,ATS_Brianza,NO2,2024,16,W16/2024,29,138,11.7285,5.7877,0.7857,23.7429,15.3502,9.7050
