stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Brianza,PM10,2023,40,W40/2023,1,138,26.6971,7.1648,8.3286,39.5571,31.4681,24.5182
23-24,ATS_Brianza,PM10,2023,41,W41/2023,2,138,27.5475,8.2778,7.4429,39.7286,32.7760,24.9480
23-24,ATS_Brianza,PM10,2023,42,W42/2023,3,138,15.0595,4.6033,4.3857,21.2714,17.3524,13.3045
23-24,ATS_Brianza,PM10,2023,43,W43/2023,4,138,11.9209,5.6507,1.9429,21.6286,15.6457,10.1508
23-24,ATS_Brianza,PM10,2023,44,W44/2023,5,138,8.1013,3.2258,1.6571,14.1000,10.3329,6.9938
23-24,ATS_Brianza,PM10,2023,45,W45/2023,6,138,12.4448,5.8024,2.2000,22.6000,16.6273,10.6319
23-24,ATS_Brianza,PM10,2023,46,W46/2023,7,138,17.9235,8.3415,2.1714,31.9429,23.4359,15.0120
23-24,ATS_Brianza,PM10,2023,47,W47/2023,8,138,22.2071,9.8282,2.6714,34.0000,27.7091,18.2741
23-24,ATS_Brianza,PM10,2023,48,W48/2023,9,138,16.8451,6.3386,2.4000,27.0143,20.2906,14.2585
23-24,ATS_Brianza,PM10,2023,49,W49/2023,10,138,25.8187,10.6001,2.8143,39.6000,32.1010,21.6059
23-24,ATS_Brianza,PM10,2023,50,W50/2023,11,138,30.4438,13.5251,2.6143,48.5143,38.5469,25.0772
23-24,ATS_Brianza,PM10,2023,51,W51/2023,12,138,26.3412,13.1042,1.9714,48.8000,35.2345,21.8360
23-24,ATS_Brianza,PM10,2023,52,W52/2023,13,138,35.0697,13.4407,5.2857,49.2571,42.1750,29.3259
23-24,ATS_Brianza,PM10,2024,1,W01/2024,14,136,20.8360,9.8165,1.8000,33.2429,26.8261,17.0723
23-24,ATS_Brianza,PM10,2024,2,W02/2024,15,136,26.2263,9.7023,6.0000,40.5429,32.3924,22.5423
23-24,ATS_Brianza,PM10,2024,3,W03/2024,16,136,31.2067,14.0441,3.3429,47.8143,39.4333,25.8337
23-24,ATS_Brianza,PM10,2024,4,W04/2024,17,137,47.6392,24.4280,3.0714,76.0857,62.7024,38.7231
23-24,ATS_Brianza,PM10,2024,5,W05/2024,18,138,51.1076,22.0919,6.1857,75.3857,64.0089,42.3156
23-24,ATS_Brianza,PM10,2024,6,W06/2024,19,138,28.6899,11.5159,3.7857,42.1143,34.7771,24.0187
23-24,ATS_Brianza,PM10,2024,7,W07/2024,20,137,47.0119,18.9267,8.1571,73.5143,59.2455,40.1071
23-24,ATS_Brianza,PM10,2024,8,W08/2024,21,137,32.2997,14.4653,3.8571,49.9714,40.8736,26.9339
23-24,ATS_Brianza,PM10,2024,9,W09/2024,22,137,10.0553,3.9663,2.1857,17.5429,12.7099,8.7219
23-24,ATS_Brianza,PM10,2024,10,W10/2024,23,137,13.5965,4.4813,3.2000,19.5714,16.3911,11.9441
23-24,ATS_Brianza,PM10,2024,11,W11/2024,24,137,17.6996,5.5023,4.5286,24.6857,20.6189,15.4896
23-24,ATS_Brianza,PM10,2024,12,W12/2024,25,137,29.4923,10.0479,6.6286,39.2000,34.5467,25.4478
23-24,ATS_Brianza,PM10,2024,13,W13/2024,26,137,19.3716,8.6039,3.2429,29.9714,24.4944,16.3367
23-24,ATS_Brianza,PM10,2024,14,W14/2024,27,137,14.2659,4.3107,3.4429,19.2143,16.1793,12.5434
23-24,ATS_Brianza,PM10,2024,15,W15/2024,28,137,21.1606,5.1279,7.6714,28.5429,23.2929,19.2122
23-24,ATS_Brianza,PM10,2024,16,W16/2024,29,137,9.9911,2.5723,3.9857,13.8857,11.1566,9.1564
