stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale
22-23,ATS_Montagna,PM10,2022,46,W46/2022,1,134,5.4167,3.5610,1.1571,23.1286
22-23,ATS_Montagna,PM10,2022,47,W47/2022,2,134,5.1617,3.1380,1.2000,19.4857
22-23,ATS_Montagna,PM10,2022,48,W48/2022,3,134,12.6503,6.8319,1.9714,41.1714
22-23,ATS_Montagna,PM10,2022,49,W49/2022,4,134,7.7366,4.8935,1.4714,29.5143
22-23,ATS_Montagna,PM10,2022,50,W50/2022,5,134,8.9882,5.7474,1.1143,36.2857
22-23,ATS_Montagna,PM10,2022,51,W51/2022,6,134,10.2177,6.7227,1.4286,40.7000
22-23,ATS_Montagna,PM10,2022,52,W52/2022,7,134,10.5713,6.8165,1.5143,36.9000
22-23,ATS_Montagna,PM10,2023,1,W01/2023,8,134,11.2472,8.5136,1.9857,50.8429
22-23,ATS_Montagna,PM10,2023,2,W02/2023,9,134,6.9242,5.0736,1.2143,31.0286
22-23,ATS_Montagna,PM10,2023,3,W03/2023,10,134,5.9520,3.9935,1.7429,25.8714
22-23,ATS_Montagna,PM10,2023,4,W04/2023,11,134,11.6687,7.0486,2.8429,41.4571
22-23,ATS_Montagna,PM10,2023,5,W05/2023,12,134,6.1615,3.7913,2.2857,24.1143
22-23,ATS_Montagna,PM10,2023,6,W06/2023,13,134,11.5780,5.7584,2.2571,34.6429
22-23,ATS_Montagna,PM10,2023,7,W07/2023,14,134,13.0789,7.2846,2.5857,43.7286
22-23,ATS_Montagna,PM10,2023,8,W08/2023,15,134,14.5676,7.0885,3.2714,43.9571
22-23,ATS_Montagna,PM10,2023,9,W09/2023,16,134,9.2737,4.5567,2.3714,25.6857
22-23,ATS_Montagna,PM10,2023,10,W10/2023,17,134,5.5959,2.8010,1.6143,16.4714
22-23,ATS_Montagna,PM10,2023,11,W11/2023,18,134,8.9968,3.2329,3.0286,18.8857
22-23,ATS_Montagna,PM10,2023,12,W12/2023,19,134,8.1261,3.7836,2.2429,20.9143
22-23,ATS_Montagna,PM10,2023,13,W13/2023,20,134,4.2219,1.3967,2.7143,10.3429
22-23,ATS_Montagna,PM10,2023,14,W14/2023,21,134,6.3020,2.3419,3.0000,15.5571
22-23,ATS_Montagna,PM10,2023,15,W15/2023,22,134,4.3581,1.5872,1.8714,10.2571
