stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
23-24,ATS_Montagna,PM25,2023,40,W40/2023,1,134,8.3304,2.7627,2.8571,15.9857,9.2042,6.4143
23-24,ATS_Montagna,PM25,2023,41,W41/2023,2,134,6.1579,2.1118,2.3143,11.7429,6.8083,4.7090
23-24,ATS_Montagna,PM25,2023,42,W42/2023,3,134,4.6836,1.5555,1.4571,8.7857,5.1239,3.5349
23-24,ATS_Montagna,PM25,2023,43,W43/2023,4,134,3.0412,1.2342,0.8143,7.1286,3.5169,2.5274
23-24,ATS_Montagna,PM25,2023,44,W44/2023,5,134,2.1424,1.2156,0.6143,9.3857,2.5639,1.6264
23-24,ATS_Montagna,PM25,2023,45,W45/2023,6,134,3.3793,2.0369,0.6286,14.2857,3.9102,2.8927
23-24,ATS_Montagna,PM25,2023,46,W46/2023,7,134,4.2274,2.3677,0.9571,17.0286,5.2633,3.3199
23-24,ATS_Montagna,PM25,2023,47,W47/2023,8,134,4.5714,3.0608,1.2429,21.9429,5.8012,3.1968
23-24,ATS_Montagna,PM25,2023,48,W48/2023,9,134,5.3433,2.8297,1.2143,17.8714,6.5161,4.4137
23-24,ATS_Montagna,PM25,2023,49,W49/2023,10,134,6.4795,4.4565,1.0000,30.6286,8.1002,4.8081
23-24,ATS_Montagna,PM25,2023,50,W50/2023,11,134,4.9385,3.5744,0.9714,25.6857,6.2342,3.4540
23-24,ATS_Montagna,PM25,2023,51,W51/2023,12,134,5.0325,3.7645,1.0714,26.3857,6.4765,3.2528
23-24,ATS_Montagna,PM25,2023,52,W52/2023,13,134,9.0461,6.2517,1.7143,41.7286,10.9438,6.6686
23-24,ATS_Montagna,PM25,2024,1,W01/2024,14,134,7.5288,4.5993,1.0429,23.6143,9.2281,5.7876
23-24,ATS_Montagna,PM25,2024,2,W02/2024,15,134,11.0283,7.4271,2.1000,37.2286,12.8417,8.4894
23-24,ATS_Montagna,PM25,2024,3,W03/2024,16,134,10.0839,5.4469,1.8143,26.8714,12.0433,8.0566
23-24,ATS_Montagna,PM25,2024,4,W04/2024,17,134,8.4761,5.2814,0.7429,26.3000,10.5203,6.0029
23-24,ATS_Montagna,PM25,2024,5,W05/2024,18,134,11.6408,7.7430,3.0000,40.8429,14.0709,8.4825
23-24,ATS_Montagna,PM25,2024,6,W06/2024,19,133,7.7423,5.3539,1.2143,27.3714,9.6392,5.3760
23-24,ATS_Montagna,PM25,2024,7,W07/2024,20,133,11.0958,6.4972,2.3857,37.3143,12.9566,8.0105
23-24,ATS_Montagna,PM25,2024,8,W08/2024,21,133,6.3410,3.9347,1.2857,21.8714,7.9618,4.2884
23-24,ATS_Montagna,PM25,2024,9,W09/2024,22,133,3.9930,1.8006,1.0857,11.0857,4.5960,3.0560
23-24,ATS_Montagna,PM25,2024,10,W10/2024,23,133,5.2731,1.7985,1.8571,11.6429,5.9051,4.3569
23-24,ATS_Montagna,PM25,2024,11,W11/2024,24,133,5.3491,1.9842,1.6286,12.2286,6.0671,4.1245
23-24,ATS_Montagna,PM25,2024,12,W12/2024,25,133,6.7168,2.4950,2.2143,12.7429,7.3615,4.9710
23-24,ATS_Montagna,PM25,2024,13,W13/2024,26,133,5.1322,1.9290,1.7143,12.4286,5.9409,4.1642
23-24,ATS_Montagna,PM25,2024,14,W14/2024,27,133,4.2165,1.3544,1.4571,8.9143,4.6953,3.4179
23-24,ATS_Montagna,PM25,2024,15,W15/2024,28,133,6.6189,1.8189,2.6571,11.6286,7.1373,5.2978
23-24,ATS_Montagna,PM25,2024,16,W16/2024,29,133,3.9350,1.0136,2.0143,7.5143,4.2877,3.3776
