stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Bergamo,NO2,2021,46,W46/2021,1,242,23.9064,10.5514,2.2857,46.1571,30.8676,18.9635
21-22,ATS_Bergamo,NO2,2021,47,W47/2021,2,242,22.9240,11.0785,2.5571,47.0857,30.4532,17.9958
21-22,ATS_Bergamo,NO2,2021,48,W48/2021,3,242,24.1599,14.3517,1.8000,53.7571,33.4642,18.3502
21-22,ATS_Bergamo,NO2,2021,49,W49/2021,4,242,25.9102,18.0264,1.3571,62.2143,37.4146,19.1991
21-22,ATS_Bergamo,NO2,2021,50,W50/2021,5,242,32.9218,20.2907,0.7429,69.2571,45.8833,24.4171
21-22,ATS_Bergamo,NO2,2021,51,W51/2021,6,242,28.9211,15.1585,2.1857,59.8286,38.9989,22.1085
21-22,ATS_Bergamo,NO2,2021,52,W52/2021,7,242,24.2132,12.7562,0.8714,50.7714,32.7405,18.3597
21-22,ATS_Bergamo,NO2,2022,1,W01/2022,8,242,21.7929,12.0216,1.0571,47.1857,29.8826,16.4817
21-22,ATS_Bergamo,NO2,2022,2,W02/2022,9,242,30.1921,18.6860,0.9571,64.6571,42.0930,22.7488
21-22,ATS_Bergamo,NO2,2022,3,W03/2022,10,242,29.8067,17.0715,1.0429,61.4857,40.9505,22.3838
21-22,ATS_Bergamo,NO2,2022,4,W04/2022,11,242,29.2099,16.9170,0.7571,62.8429,40.2753,21.8467
21-22,ATS_Bergamo,NO2,2022,5,W05/2022,12,242,21.5981,11.6237,1.6857,47.3857,29.3494,16.6200
21-22,ATS_Bergamo,NO2,2022,6,W06/2022,13,242,23.5878,14.2740,1.4857,57.8429,32.9589,18.1676
21-22,ATS_Bergamo,NO2,2022,7,W07/2022,14,242,23.2615,13.9592,0.9857,53.9714,32.1325,17.7519
21-22,ATS_Bergamo,NO2,2022,8,W08/2022,15,242,18.1335,10.9066,1.0571,44.0000,25.0087,14.0183
21-22,ATS_Bergamo,NO2,2022,9,W09/2022,16,242,21.1846,11.0765,2.3429,49.2000,28.3808,16.8411
21-22,ATS_Bergamo,NO2,2022,10,W10/2022,17,242,20.2525,10.8313,2.3714,47.0286,27.2193,16.1928
21-22,ATS_Bergamo,NO2,2022,11,W11/2022,18,242,19.3223,10.0834,1.9857,47.2857,25.8893,15.4392
21-22,ATS_Bergamo,NO2,2022,12,W12/2022,19,242,21.1978,12.9341,2.0286,52.2857,29.2468,16.6625
21-22,ATS_Bergamo,NO2,2022,13,W13/2022,20,242,15.2655,8.3870,1.8000,43.3286,20.9341,12.0167
21-22,ATS_Bergamo,NO2,2022,14,W14/2022,21,242,14.7901,8.6769,1.2286,39.9143,20.4231,11.5105
21-22,ATS_Bergamo,NO2,2022,15,W15/2022,22,242,14.7525,8.0902,1.2143,41.1000,20.3864,11.6659
22-23,ATS_Bergamo,NO2,2022,46,W46/2022,1,242,18.9888,9.8157,1.0571,43.8286,25.7354,14.6524
22-23,ATS_Bergamo,NO2,2022,47,W47/2022,2,242,21.0412,12.5120,1.0571,48.9429,29.4738,16.2232
22-23,ATS_Bergamo,NO2,2022,48,W48/2022,3,242,23.4658,9.8920,3.4143,45.7286,30.3141,19.0674
22-23,ATS_Bergamo,NO2,2022,49,W49/2022,4,242,21.6801,11.8485,1.7286,48.2429,29.6918,16.8418
22-23,ATS_Bergamo,NO2,2022,50,W50/2022,5,242,25.9728,13.1051,1.8143,54.7429,34.8294,20.1710
22-23,ATS_Bergamo,NO2,2022,51,W51/2022,6,242,27.2648,13.4773,1.3429,53.7857,36.2895,21.0009
22-23,ATS_Bergamo,NO2,2022,52,W52/2022,7,242,20.5560,10.4933,1.3714,45.8286,27.5907,15.8341
22-23,ATS_Bergamo,NO2,2023,1,W01/2023,8,242,19.8272,7.8741,1.6143,36.5857,24.7909,15.8500
22-23,ATS_Bergamo,NO2,2023,2,W02/2023,9,242,23.2250,13.9650,0.8857,53.6286,32.3869,17.7155
22-23,ATS_Bergamo,NO2,2023,3,W03/2023,10,242,22.0228,13.5367,1.7000,51.8429,31.0848,16.6997
22-23,ATS_Bergamo,NO2,2023,4,W04/2023,11,242,24.0665,12.4126,1.5143,50.6571,32.2115,18.7956
22-23,ATS_Bergamo,NO2,2023,5,W05/2023,12,242,22.9244,14.8794,0.6714,57.8571,32.6970,17.2702
22-23,ATS_Bergamo,NO2,2023,6,W06/2023,13,242,24.4192,12.4151,3.0857,52.5429,32.6932,19.4198
22-23,ATS_Bergamo,NO2,2023,7,W07/2023,14,242,28.2833,14.3851,2.6571,59.4429,37.7448,22.2459
22-23,ATS_Bergamo,NO2,2023,8,W08/2023,15,242,23.2590,10.7002,3.2429,52.0000,30.7752,18.6207
22-23,ATS_Bergamo,NO2,2023,9,W09/2023,16,242,21.6719,10.1376,2.8143,46.8714,28.5893,17.2851
22-23,ATS_Bergamo,NO2,2023,10,W10/2023,17,242,16.9344,10.5222,1.1429,47.9857,24.0059,12.8312
22-23,ATS_Bergamo,NO2,2023,11,W11/2023,18,242,15.7614,8.9578,1.6000,44.6000,21.9776,12.3174
22-23,ATS_Bergamo,NO2,2023,12,W12/2023,19,242,15.8796,9.2384,1.5857,46.2429,22.0817,12.2826
22-23,ATS_Bergamo,NO2,2023,13,W13/2023,20,242,13.1625,8.7897,0.8571,41.9714,18.6943,10.0561
22-23,ATS_Bergamo,NO2,2023,14,W14/2023,21,242,12.1551,6.8823,1.3714,35.4286,16.7850,9.5563
22-23,ATS_Bergamo,NO2,2023,15,W15/2023,22,242,11.2875,6.7687,0.8571,36.1429,15.9000,8.6961
23-24,ATS_Bergamo,NO2,2023,46,W46/2023,1,242,20.0625,11.6526,1.0571,47.3857,27.6911,15.2349
23-24,ATS_Bergamo,NO2,2023,47,W47/2023,2,242,20.1217,10.8670,1.3000,44.7000,27.1657,15.5341
23-24,ATS_Bergamo,NO2,2023,48,W48/2023,3,242,20.9556,11.2751,2.6429,47.2714,28.5078,16.1657
23-24,ATS_Bergamo,NO2,2023,49,W49/2023,4,242,24.3645,12.6736,1.3000,50.2429,32.7217,18.9718
23-24,ATS_Bergamo,NO2,2023,50,W50/2023,5,242,24.6180,13.4236,1.2143,50.5286,33.4184,18.8294
23-24,ATS_Bergamo,NO2,2023,51,W51/2023,6,242,23.9728,15.0720,0.7000,53.2286,33.5652,18.0373
23-24,ATS_Bergamo,NO2,2023,52,W52/2023,7,242,23.0192,10.6881,1.5429,48.5143,30.3973,18.1327
23-24,ATS_Bergamo,NO2,2024,1,W01/2024,8,242,17.6067,12.1650,1.0714,45.4000,25.5682,13.2941
23-24,ATS_Bergamo,NO2,2024,2,W02/2024,9,242,20.9063,11.9391,1.9000,46.1286,28.6115,16.4688
23-24,ATS_Bergamo,NO2,2024,3,W03/2024,10,242,23.1135,15.1980,0.9571,51.4143,32.8476,17.3494
23-24,ATS_Bergamo,NO2,2024,4,W04/2024,11,242,26.7626,18.4068,0.6000,59.2143,38.5048,19.7197
23-24,ATS_Bergamo,NO2,2024,5,W05/2024,12,242,32.8834,18.3505,1.5143,65.4286,44.9620,25.0056
23-24,ATS_Bergamo,NO2,2024,6,W06/2024,13,242,19.7298,10.8638,1.1857,41.7000,26.5678,15.3407
23-24,ATS_Bergamo,NO2,2024,7,W07/2024,14,242,25.3883,12.5218,2.4714,48.6143,33.4721,20.1090
23-24,ATS_Bergamo,NO2,2024,8,W08/2024,15,242,17.6047,10.8892,1.2571,40.4000,24.2798,13.6928
23-24,ATS_Bergamo,NO2,2024,9,W09/2024,16,242,13.8211,9.6696,0.8000,34.1286,19.6956,10.6072
23-24,ATS_Bergamo,NO2,2024,10,W10/2024,17,242,13.7460,8.0051,1.5571,34.7714,18.9816,10.7079
23-24,ATS_Bergamo,NO2,2024,11,W11/2024,18,242,15.3066,9.1904,0.9000,41.6286,21.2108,11.8129
23-24,ATS_Bergamo,NO2,2024,12,W12/2024,19,242,13.9075,8.2291,0.9714,36.9429,19.2405,10.7424
23-24,ATS_Bergamo,NO2,2024,13,W13/2024,20,242,11.5228,8.1584,0.8143,33.1857,16.6362,8.7454
23-24,ATS_Bergamo,NO2,2024,14,W14/2024,21,242,11.6414,7.4136,0.5429,34.8571,16.4072,8.9630
23-24,ATS_Bergamo,NO2,2024,15,W15/2024,22,242,12.0326,7.8780,0.6000,32.5286,16.9788,9.2629
24-25,ATS_Bergamo,NO2,2024,46,W46/2024,1,242,21.4475,9.4854,1.7429,42.4714,27.9676,17.1524
24-25,ATS_Bergamo,NO2,2024,47,W47/2024,2,242,15.8763,9.9384,0.9000,39.6000,22.2062,12.1779
24-25,ATS_Bergamo,NO2,2024,48,W48/2024,3,242,19.7732,9.7197,1.0143,41.7714,26.2659,15.4050
24-25,ATS_Bergamo,NO2,2024,49,W49/2024,4,242,21.3391,11.3095,1.2714,44.6000,28.9385,16.4820
