stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Montagna,NO2,2021,40,W40/2021,1,134,4.5117,2.5824,1.2571,18.9857,5.2480,3.1843
21-22,ATS_Montagna,NO2,2021,41,W41/2021,2,134,5.2948,3.8465,0.9286,26.1714,6.1843,3.3568
21-22,ATS_Montagna,NO2,2021,42,W42/2021,3,134,5.4641,4.0021,0.6429,27.6286,6.5342,3.3873
21-22,ATS_Montagna,NO2,2021,43,W43/2021,4,134,6.6464,4.9752,0.6286,31.3714,7.8497,3.9712
21-22,ATS_Montagna,NO2,2021,44,W44/2021,5,134,5.0361,3.7932,1.1143,26.5000,6.4244,3.1694
21-22,ATS_Montagna,NO2,2021,45,W45/2021,6,134,8.0525,6.0729,1.1571,34.3571,9.8784,4.7804
21-22,ATS_Montagna,NO2,2021,46,W46/2021,7,134,8.7217,6.3554,1.1571,34.4429,10.6290,5.1253
21-22,ATS_Montagna,NO2,2021,47,W47/2021,8,134,8.5125,5.3474,1.7429,31.8571,10.2332,5.4953
21-22,ATS_Montagna,NO2,2021,48,W48/2021,9,134,6.5824,4.8860,1.6714,30.1857,8.4797,4.3156
21-22,ATS_Montagna,NO2,2021,49,W49/2021,10,134,6.0850,4.9322,1.4286,28.0714,7.9928,3.9535
21-22,ATS_Montagna,NO2,2021,50,W50/2021,11,134,8.9357,8.6637,0.4143,43.2857,11.3612,4.6299
21-22,ATS_Montagna,NO2,2021,51,W51/2021,12,134,10.7052,8.0884,0.8000,43.2571,13.1230,6.2446
21-22,ATS_Montagna,NO2,2021,52,W52/2021,13,134,7.6148,6.6781,0.6000,31.9714,9.9010,4.2662
21-22,ATS_Montagna,NO2,2022,1,W01/2022,14,134,6.7369,6.2155,0.7286,30.5571,8.7175,3.8898
21-22,ATS_Montagna,NO2,2022,2,W02/2022,15,134,8.4474,8.1766,0.6429,37.7429,10.7215,4.5664
21-22,ATS_Montagna,NO2,2022,3,W03/2022,16,134,6.9771,6.6673,0.7429,30.7571,9.2274,3.9602
21-22,ATS_Montagna,NO2,2022,4,W04/2022,17,134,7.2736,7.0986,0.4286,32.8714,9.3096,3.9320
21-22,ATS_Montagna,NO2,2022,5,W05/2022,18,134,6.2415,5.1121,0.8429,27.3714,7.8891,3.8128
21-22,ATS_Montagna,NO2,2022,6,W06/2022,19,134,6.7868,5.4823,0.8000,29.5286,8.3713,4.0248
21-22,ATS_Montagna,NO2,2022,7,W07/2022,20,134,6.6162,5.8655,0.5857,31.3429,8.3611,3.8039
21-22,ATS_Montagna,NO2,2022,8,W08/2022,21,134,4.2558,3.6461,0.6429,24.1714,5.4695,2.5721
21-22,ATS_Montagna,NO2,2022,9,W09/2022,22,134,6.5000,4.6099,0.6857,30.8429,7.6579,3.9400
21-22,ATS_Montagna,NO2,2022,10,W10/2022,23,134,6.9068,4.5510,0.7857,31.1429,8.0713,4.3050
21-22,ATS_Montagna,NO2,2022,11,W11/2022,24,134,6.7064,4.2251,0.7714,29.9714,7.9153,4.2042
