giorno,ATS,nometiposensore,valore_medio
2024-01-01,ATS_Bergamo,Biossido di Azoto,23.794444444444448
2024-01-01,ATS_Bergamo,PM10 (SM2005),33.375
2024-01-01,ATS_Bergamo,Particelle sospese PM2.5,25.0
2024-01-01,ATS_Montagna,Biossido di Azoto,-543.0772058823529
2024-01-01,ATS_Montagna,PM10 (SM2005),-745.9230769230769
2024-01-01,ATS_Montagna,Particelle sospese PM2.5,-1227.875
2024-01-02,ATS_Bergamo,Biossido di Azoto,31.53518518518519
2024-01-02,ATS_Bergamo,PM10 (SM2005),29.25
2024-01-02,ATS_Bergamo,Particelle sospese PM2.5,20.6
2024-01-02,ATS_Montagna,Biossido di Azoto,-683.7583333333334
2024-01-02,ATS_Montagna,PM10 (SM2005),-745.8461538461538
2024-01-02,ATS_Montagna,Particelle sospese PM2.5,-1230.75
2024-01-03,ATS_Bergamo,Biossido di Azoto,-10.350697674418607
2024-01-03,ATS_Bergamo,PM10 (SM2005),37.75
2024-01-03,ATS_Bergamo,Particelle sospese PM2.5,28.4
2024-01-03,ATS_Montagna,Biossido di Azoto,-655.0205882352942
2024-01-03,ATS_Montagna,PM10 (SM2005),34.0
2024-01-03,ATS_Montagna,Particelle sospese PM2.5,28.0
2024-01-04,ATS_Bergamo,Biossido di Azoto,36.09861111111111
2024-01-04,ATS_Bergamo,PM10 (SM2005),32.125
2024-01-04,ATS_Bergamo,Particelle sospese PM2.5,24.0
2024-01-04,ATS_Montagna,Biossido di Azoto,-582.3323529411765
2024-01-04,ATS_Montagna,PM10 (SM2005),27.46153846153846
2024-01-04,ATS_Montagna,Particelle sospese PM2.5,21.5
2024-01-05,ATS_Bergamo,Biossido di Azoto,31.505092592592593
2024-01-05,ATS_Bergamo,PM10 (SM2005),22.5
2024-01-05,ATS_Bergamo,Particelle sospese PM2.5,17.0
2024-01-05,ATS_Montagna,Biossido di Azoto,-758.3629901960784
2024-01-05,ATS_Montagna,PM10 (SM2005),20.923076923076923
2024-01-05,ATS_Montagna,Particelle sospese PM2.5,17.625
