idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,lat,lng,location
17127,Benzene,µg/m³,501,Milano v.Marche,129.0,MI,Milano,N,2012-09-13T00:00:00.000,,5038105,514918,45.49631883,9.19093444,POINT (9.19093444 45.49631883)
6691,Ozono,µg/m³,642,Pavia v. Folperti,77.0,PV,Pavia,N,2002-06-01T00:00:00.000,,5004590,512932,45.19468231,9.16464919,POINT (9.16464919 45.19468231)
6646,Particolato Totale Sospeso,µg/m³,514,Rho via Buon Gesù,152.0,MI,Rho,S,1991-10-11T00:00:00.000,1999-06-09T00:00:00.000,5041100,503483,45.52342919,9.0446025,POINT (9.0446025 45.52342919)
6939,PM10 (SM2005),µg/m³,600,Lodi v.Vignati,80.0,LO,Lodi,N,2000-12-05T00:00:00.000,,5017060,538042,45.30601628,9.48527511,POINT (9.48527511 45.30601628)
6748,Ossidi di Azoto,µg/m³,647,Breno v.Don Putelli,342.0,BS,Breno,S,1992-06-09T00:00:00.000,2018-07-30T00:00:00.000,5090074,600822,45.95683656,10.30106589,POINT (10.30106589 45.95683656)
5539,Biossido di Azoto,µg/m³,536,Arese v. Matteotti,157.0,MI,Arese,S,1991-10-16T00:00:00.000,2018-07-30T00:00:00.000,5043325,506302,45.54343664,9.08072867,POINT (9.08072867 45.54343664)
5597,Biossido di Azoto,µg/m³,594,Bergamo v.Goisis,290.0,BG,Bergamo,S,1996-09-14T00:00:00.000,2018-07-30T00:00:00.000,5062715,553620,45.71591825,9.68896994,POINT (9.68896994 45.71591825)
5531,Biossido di Azoto,µg/m³,528,Milano Verziere,116.0,MI,Milano,N,1988-11-24T00:00:00.000,,5034443,515270,45.46334886,9.19532511,POINT (9.19532511 45.46334886)
6655,Particolato Totale Sospeso,µg/m³,555,Busto Arsizio v.Magenta,222.0,VA,Busto Arsizio,S,1991-05-25T00:00:00.000,2006-06-19T00:00:00.000,5050810,488313,45.61073922,8.850121,POINT (8.850121 45.61073922)
9999,Biossido di Azoto,µg/m³,683,Cassano d'Adda 2-v.Milano,133.0,MI,Cassano d'Adda,N,2006-02-17T00:00:00.000,,5041567,540293,45.52647322,9.515991,POINT (9.515991 45.52647322)
5731,Ozono,µg/m³,566,Olgiate Comasco v.Roma,404.0,CO,Olgiate Comasco,S,1996-08-01T00:00:00.000,2010-04-15T00:00:00.000,5070038,497388,45.78389908,8.96640489,POINT (8.96640489 45.78389908)
5670,Biossido di Zolfo,µg/m³,584,Bergamo v.Garibaldi,249.0,BG,Bergamo,N,1994-06-16T00:00:00.000,,5060449,551482,45.69568669,9.66126061,POINT (9.66126061 45.69568669)
5949,Ozono,µg/m³,625,Casalmaggiore v.Volta,23.0,CR,Casalmaggiore,S,1996-05-19T00:00:00.000,2007-02-21T00:00:00.000,4981793,612537,44.98066517,10.42738161,POINT (10.42738161 44.98066517)
5599,Biossido di Azoto,µg/m³,596,Osio Sotto v.per Levate,182.0,BG,Osio Sotto,N,2000-04-06T00:00:00.000,,5052072,547691,45.62055568,9.61173782,POINT (9.61173782 45.62055568)
9998,Benzene,µg/m³,683,Cassano d'Adda 2-v.Milano,133.0,MI,Cassano d'Adda,S,2006-02-17T00:00:00.000,2024-02-20T00:00:00.000,5041567,540293,45.52647322,9.515991,POINT (9.515991 45.52647322)
10449,Particelle sospese PM2.5,µg/m³,560,Varese v.Copelli,383.0,VA,Varese,N,2009-09-01T00:00:00.000,,5073728,486035,45.8169745,8.82024911,POINT (8.82024911 45.8169745)
5743,Ozono,µg/m³,569,Sondrio v.Mazzini,307.0,SO,Sondrio,S,1993-11-01T00:00:00.000,2003-05-19T00:00:00.000,5113078,567173,46.16797103,9.87014581,POINT (9.87014581 46.16797103)
6218,Ossidi di Azoto,µg/m³,583,Bergamo v.Meucci,249.0,BG,Bergamo,N,1989-06-01T00:00:00.000,,5059922,550116,45.69104328,9.64366092,POINT (9.64366092 45.69104328)
5563,Biossido di Azoto,µg/m³,560,Varese v.Copelli,383.0,VA,Varese,N,2003-08-07T00:00:00.000,,5073728,486035,45.8169745,8.82024911,POINT (8.82024911 45.8169745)
6650,Particolato Totale Sospeso,µg/m³,543,Vimercate v. dell'Ospedale,194.0,MB,Vimercate,S,1995-02-10T00:00:00.000,1998-02-04T00:00:00.000,5051330,528723,45.611744,9.3677,POINT (9.3677 45.611744)
6380,Ossidi di Azoto,µg/m³,572,Morbegno v.Cortivacci,262.0,SO,Morbegno,N,1999-01-13T00:00:00.000,,5108901,543736,46.135486,9.56624,POINT (9.56624 46.135486)
5831,Monossido di Carbonio,mg/m³,515,Pero SS Sempione,141.0,MI,Pero,S,1991-05-10T00:00:00.000,2018-07-30T00:00:00.000,5039595,507028,45.50985564,9.08997419,POINT (9.08997419 45.50985564)
20685,Ammoniaca,µg/m³,501,Milano v.Marche,129.0,MI,Milano,N,2024-01-13T00:00:00.000,,5038105,514918,45.49631883,9.19093444,POINT (9.19093444 45.49631883)
12627,Piombo,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-01T00:00:00.000,,5036190,518405,45.478347,9.231667,POINT (9.231667 45.478347)
9991,Ozono,µg/m³,681,Moggio Loc. Penscei,1194.0,LC,Moggio,N,2006-07-12T00:00:00.000,,5084478,538586,45.91279097,9.49754261,POINT (9.49754261 45.91279097)
6354,Ossidi di Azoto,µg/m³,548,Milano v.Senato,118.0,MI,Milano,N,1995-04-21T00:00:00.000,,5035238,515435,45.470501,9.19746075,POINT (9.19746075 45.470501)
6943,PM10 (SM2005),µg/m³,630,Crema v.Indipendenza,78.0,CR,Crema,S,1999-10-28T00:00:00.000,2007-04-03T00:00:00.000,5024212,553035,45.36941556,9.67727511,POINT (9.67727511 45.36941556)
6915,PM10 (SM2005),µg/m³,554,Saronno v.Santuario,212.0,VA,Saronno,N,2003-12-16T00:00:00.000,,5052646,502058,45.62735705,9.02640138,POINT (9.02640138 45.62735705)
10141,Ossidi di Azoto,µg/m³,701,Ostiglia v.Colombo,14.0,MN,Ostiglia,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4993316,668216,45.07331225,11.13703575,POINT (11.13703575 45.07331225)
10273,PM10 (SM2005),µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-04-21T00:00:00.000,,5036190,518405,45.478347,9.231667,POINT (9.231667 45.478347)
6817,Ossidi di Azoto,µg/m³,656,Gambara v.Parma,47.0,BS,Gambara,N,1990-01-01T00:00:00.000,,5011493,601945,45.24955194,10.29913,POINT (10.29913 45.24955194)
5593,Biossido di Azoto,µg/m³,590,Ponte San Pietro v. Moiolo,225.0,BG,Ponte San Pietro,S,1990-07-04T00:00:00.000,2013-05-26T00:00:00.000,5060449,545762,45.69608872,9.58779631,POINT (9.58779631 45.69608872)
20441,Ossidi di Azoto,µg/m³,681,Moggio Loc. Penscei,1194.0,LC,Moggio,N,2007-03-17T00:00:00.000,,5084478,538586,45.91279097,9.49754261,POINT (9.49754261 45.91279097)
6382,Ossidi di Azoto,µg/m³,569,Sondrio v.Mazzini,307.0,SO,Sondrio,N,1993-11-01T00:00:00.000,,5113078,567173,46.16797103,9.87014581,POINT (9.87014581 46.16797103)
10548,PM10 (SM2005),µg/m³,1269,Dalmine v.Verdi,207.0,BG,Dalmine,N,2010-02-26T00:00:00.000,,5055304,546847,45.64971,9.60123469,POINT (9.60123469 45.64971)
6921,PM10 (SM2005),µg/m³,564,Erba v. Battisti,279.0,CO,Erba,S,2009-06-13T00:00:00.000,2024-07-11T00:00:00.000,5072803,517232,45.8085738,9.2217792,POINT (9.2217792 45.8085738)
9833,Benzene,µg/m³,664,Mantova p.zza Gramsci,18.0,MN,Mantova,N,2005-05-16T00:00:00.000,,5001351,640031,45.15175186,10.78141717,POINT (10.78141717 45.15175186)
9915,Particelle sospese PM2.5,µg/m³,591,Seriate v. Garibaldi,256.0,BG,Seriate,S,2005-11-28T00:00:00.000,2018-07-30T00:00:00.000,5059449,555672,45.68636206,9.71495853,POINT (9.71495853 45.68636206)
6922,PM10 (SM2005),µg/m³,566,Olgiate Comasco v.Roma,404.0,CO,Olgiate Comasco,S,1995-02-01T00:00:00.000,2010-04-15T00:00:00.000,5070038,497388,45.78389908,8.96640489,POINT (8.96640489 45.78389908)
10166,Benzene,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,45.01688067,11.07609728,POINT (11.07609728 45.01688067)
5643,Biossido di Zolfo,µg/m³,538,Settimo Milanese v. Della Libertà,132.0,MI,Settimo Milanese,S,1992-05-19T00:00:00.000,2003-08-26T00:00:00.000,5036306,504444,45.48027247,9.05686386,POINT (9.05686386 45.48027247)
6414,Monossido di Carbonio,mg/m³,628,Cremona p.zza Libertà,61.0,CR,Cremona,S,1994-11-14T00:00:00.000,2006-04-04T00:00:00.000,4998730,581171,45.13738208,10.03237064,POINT (10.03237064 45.13738208)
6810,Particolato Totale Sospeso,µg/m³,655,Darfo Boario Terme v. De Amicis,221.0,BS,Darfo Boario Terme,S,1999-01-01T00:00:00.000,2004-07-15T00:00:00.000,5080789,591371,45.87460256,10.17736553,POINT (10.17736553 45.87460256)
5619,Biossido di Zolfo,µg/m³,544,Cormano v. Edison,153.0,MI,Cormano,S,1994-10-26T00:00:00.000,2023-09-16T00:00:00.000,5044180,512693,45.547597,9.166983,POINT (9.166983 45.547597)
9984,Particelle sospese PM2.5,µg/m³,669,Brescia Villaggio Sereno,70.0,BS,Brescia,N,2006-06-06T00:00:00.000,,5040636,593101,45.51306214,10.19190606,POINT (10.19190606 45.51306214)
6358,Ossidi di Azoto,µg/m³,538,Settimo Milanese v. Della Libertà,132.0,MI,Settimo Milanese,S,1992-05-27T00:00:00.000,2018-07-30T00:00:00.000,5036306,504444,45.48027247,9.05686386,POINT (9.05686386 45.48027247)
12598,Piombo,ng/m³,609,Casirate d'Adda v. Cimitero,108.0,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,45.49822794,9.55624181,POINT (9.55624181 45.49822794)
12583,Ammoniaca,µg/m³,1303,Cremona v.Gerre Borghi,36.0,CR,Cremona,S,2012-01-01T00:00:00.000,2017-01-01T00:00:00.000,4995675,584111,45.10954275,10.06924181,POINT (10.06924181 45.10954275)
10516,Biossido di Zolfo,µg/m³,671,Mantova Tridolino,22.0,MN,Mantova,S,2010-03-30T00:00:00.000,2024-01-31T00:00:00.000,5001664,646147,45.153328,10.859272,POINT (10.859272 45.153328)
20042,Ammoniaca,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2013-10-24T00:00:00.000,,4986922,663580,45.01688067,11.07609728,POINT (11.07609728 45.01688067)
10070,Biossido di Zolfo,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85.0,PV,Sannazzaro de' Burgondi,N,2007-01-01T00:00:00.000,,4994371,492461,45.10277464,8.90418742,POINT (8.90418742 45.10277464)
12531,PM10 (SM2005),µg/m³,1297,Spinadesco v.Battisti,48.0,CR,Spinadesco,N,2011-02-16T00:00:00.000,,5000087,573153,45.15047339,9.93059842,POINT (9.93059842 45.15047339)
10173,PM10 (SM2005),µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2007-01-01T00:00:00.000,,4986922,663580,45.01688067,11.07609728,POINT (11.07609728 45.01688067)
6951,PM10 (SM2005),µg/m³,649,Brescia v.Broletto,149.0,BS,Brescia,N,2000-09-23T00:00:00.000,,5043674,595467,45.54006456,10.22281989,POINT (10.22281989 45.54006456)
20197,PM10 (SM2005),µg/m³,598,San Rocco al Porto v.Matteotti,50.0,LO,San Rocco al Porto,N,2002-01-01T00:00:00.000,,4992297,555154,45.08199189,9.70079278,POINT (9.70079278 45.08199189)
12637,Nikel,ng/m³,548,Milano v.Senato,118.0,MI,Milano,N,2008-07-09T00:00:00.000,,5035238,515435,45.470501,9.19746075,POINT (9.19746075 45.470501)
6859,Biossido di Azoto,µg/m³,661,Rezzato v.De Gasperi,147.0,BS,Rezzato,N,1992-08-05T00:00:00.000,,5041110,604367,45.51571417,10.33624003,POINT (10.33624003 45.51571417)
10279,Biossido di Azoto,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-06-16T00:00:00.000,,5036190,518405,45.478347,9.231667,POINT (9.231667 45.478347)
