data,ATS,temperatura_C,umidita_assoluta_gm3,umidita_relativa_pct,NO2_ugm3,PM10_ugm3,PM25_ugm3,stagione,settimana_iso,anno,mese,giorno_anno
2021-01-01,ATS_Bergamo,-0.4097944,42.7261,89.30342,28.52,43.0,36.4,2020/21,53,2021,1,1
2021-01-02,ATS_Bergamo,3.220751,50.30759,82.04235,28.23,14.88,12.0,2020/21,53,2021,1,2
2021-01-03,ATS_Bergamo,3.5015826,54.248955,87.20294,18.05,10.38,8.4,2020/21,53,2021,1,3
2021-01-04,ATS_Bergamo,1.7252502,43.66828,77.95408,29.53,14.0,10.6,2020/21,1,2021,1,4
2021-01-05,ATS_Bergamo,0.1701791,38.069668,75.34614,26.96,19.62,14.6,2020/21,1,2021,1,5
2021-01-06,ATS_Bergamo,-0.16969953,42.715153,86.85331,20.84,14.12,12.0,2020/21,1,2021,1,6
2021-01-07,ATS_Bergamo,-1.0977129,31.634892,67.35681,32.98,25.0,18.5,2020/21,1,2021,1,7
2021-01-08,ATS_Bergamo,-2.1435068,24.503256,56.52386,34.49,25.25,18.0,2020/21,1,2021,1,8
2021-01-09,ATS_Bergamo,-2.6958225,23.965544,58.134224,34.7,25.25,19.2,2020/21,1,2021,1,9
2021-01-10,ATS_Bergamo,-1.155365,23.2319,50.434254,33.94,31.25,24.8,2020/21,1,2021,1,10
2021-01-11,ATS_Bergamo,-2.0639865,22.390223,51.178246,41.63,37.38,28.0,2020/21,2,2021,1,11
2021-01-12,ATS_Bergamo,-1.251382,26.022617,57.587128,51.36,47.25,34.0,2020/21,2,2021,1,12
2021-01-13,ATS_Bergamo,3.236655,31.39512,51.165123,51.31,48.62,33.8,2020/21,2,2021,1,13
2021-01-14,ATS_Bergamo,3.629617,44.739876,70.863884,51.95,53.0,38.2,2020/21,2,2021,1,14
2021-01-15,ATS_Bergamo,0.77352035,39.891136,78.52185,39.27,32.75,19.4,2020/21,2,2021,1,15
2021-01-16,ATS_Bergamo,-0.6770935,26.991472,55.751728,37.38,34.5,25.6,2020/21,2,2021,1,16
2021-01-17,ATS_Bergamo,1.0691049,25.876596,49.07842,32.91,56.5,45.4,2020/21,2,2021,1,17
2021-01-18,ATS_Bergamo,-0.0068228585,30.90327,62.69037,44.37,91.0,71.4,2020/21,3,2021,1,18
2021-01-19,ATS_Bergamo,0.8941607,29.662434,56.779602,61.46,99.62,76.0,2020/21,3,2021,1,19
2021-01-20,ATS_Bergamo,1.6320932,39.70879,72.73991,46.65,93.38,74.8,2020/21,3,2021,1,20
2021-01-21,ATS_Bergamo,3.0309842,53.70752,89.87526,46.33,67.86,53.6,2020/21,3,2021,1,21
2021-01-22,ATS_Bergamo,3.8966718,55.33911,87.03313,45.08,32.5,25.4,2020/21,3,2021,1,22
2021-01-23,ATS_Bergamo,3.757442,43.40201,67.523125,33.3,13.88,9.8,2020/21,3,2021,1,23
2021-01-24,ATS_Bergamo,2.6928494,34.294033,57.69339,27.69,19.0,14.6,2020/21,3,2021,1,24
2021-01-25,ATS_Bergamo,1.6468462,30.490038,54.756584,39.28,24.88,19.0,2020/21,4,2021,1,25
2021-01-26,ATS_Bergamo,2.0522592,23.29194,42.503864,22.96,14.12,11.0,2020/21,4,2021,1,26
2021-01-27,ATS_Bergamo,-0.08215768,29.279667,61.535534,34.04,19.38,15.2,2020/21,4,2021,1,27
2021-01-28,ATS_Bergamo,3.6448932,46.471287,74.89052,44.26,38.12,27.8,2020/21,4,2021,1,28
2021-01-29,ATS_Bergamo,3.7106366,45.2783,71.98619,50.14,63.62,44.6,2020/21,4,2021,1,29
2021-01-30,ATS_Bergamo,6.0142083,44.334408,60.48617,42.8,36.75,28.4,2020/21,4,2021,1,30
2021-01-31,ATS_Bergamo,6.4530334,51.11167,67.19353,28.87,32.25,25.0,2020/21,4,2021,1,31
2021-02-01,ATS_Bergamo,3.9729483,53.765724,84.49587,32.03,27.62,20.2,2020/21,5,2021,2,32
2021-02-02,ATS_Bergamo,4.587415,48.668148,73.06771,40.93,48.43,37.2,2020/21,5,2021,2,33
2021-02-03,ATS_Bergamo,3.4891663,56.56026,91.68968,41.87,53.0,39.0,2020/21,5,2021,2,34
2021-02-04,ATS_Bergamo,7.279868,56.12127,70.22945,43.13,38.5,29.6,2020/21,5,2021,2,35
2021-02-05,ATS_Bergamo,7.0996923,63.031013,80.38042,39.76,52.5,38.2,2020/21,5,2021,2,36
2021-02-06,ATS_Bergamo,7.1940002,62.77002,79.42247,35.93,51.88,37.2,2020/21,5,2021,2,37
2021-02-07,ATS_Bergamo,3.2133572,59.857395,98.143394,27.24,26.57,18.0,2020/21,5,2021,2,38
2021-02-08,ATS_Bergamo,4.703138,43.428226,63.72691,29.47,12.62,9.2,2020/21,6,2021,2,39
2021-02-09,ATS_Bergamo,4.9231787,50.574463,74.9214,33.78,22.75,15.6,2020/21,6,2021,2,40
2021-02-10,ATS_Bergamo,3.77645,58.907642,92.98358,34.11,14.0,10.0,2020/21,6,2021,2,41
2021-02-11,ATS_Bergamo,5.1704583,38.389935,53.22092,29.16,17.88,14.4,2020/21,6,2021,2,42
2021-02-12,ATS_Bergamo,-0.36532593,33.491783,71.70558,20.91,21.0,16.4,2020/21,6,2021,2,43
2021-02-13,ATS_Bergamo,-4.187138,26.551569,74.84904,18.12,23.88,19.6,2020/21,6,2021,2,44
2021-02-14,ATS_Bergamo,-0.34003994,23.302853,47.89906,28.96,32.25,26.5,2020/21,6,2021,2,45
2021-02-15,ATS_Bergamo,1.1727949,20.903124,39.900173,38.29,30.12,25.75,2020/21,7,2021,2,46
2021-02-16,ATS_Bergamo,5.158181,41.75506,61.152264,35.62,25.75,19.4,2020/21,7,2021,2,47
2021-02-17,ATS_Bergamo,7.835044,48.683758,58.82672,41.86,53.29,41.2,2020/21,7,2021,2,48
2021-02-18,ATS_Bergamo,6.3526917,45.287174,59.977337,41.37,83.71,67.0,2020/21,7,2021,2,49
2021-02-19,ATS_Bergamo,7.345821,54.85623,68.5746,46.88,67.0,50.6,2020/21,7,2021,2,50
2021-02-20,ATS_Bergamo,8.241713,56.999294,67.20278,43.02,77.75,59.0,2020/21,7,2021,2,51
2021-02-21,ATS_Bergamo,8.823081,56.216747,63.53127,28.2,65.0,52.0,2020/21,7,2021,2,52
2021-02-22,ATS_Bergamo,8.940618,55.64259,62.17967,32.16,63.38,47.6,2020/21,8,2021,2,53
2021-02-23,ATS_Bergamo,11.475878,50.72442,48.583935,45.44,77.0,54.0,2020/21,8,2021,2,54
2021-02-24,ATS_Bergamo,14.037018,52.094944,42.45264,44.43,93.38,51.8,2020/21,8,2021,2,55
2021-02-25,ATS_Bergamo,14.273939,41.13125,32.82284,39.54,92.88,46.4,2020/21,8,2021,2,56
2021-02-26,ATS_Bergamo,13.545912,39.905067,33.05846,42.0,96.0,44.4,2020/21,8,2021,2,57
2021-02-27,ATS_Bergamo,12.920039,52.759396,46.502987,28.15,74.62,37.8,2020/21,8,2021,2,58
2021-02-28,ATS_Bergamo,7.0243225,50.45413,66.07604,15.32,21.5,13.2,2020/21,8,2021,2,59
2021-03-01,ATS_Bergamo,9.350669,41.72842,45.702473,33.92,38.5,26.0,2020/21,9,2021,3,60
2021-03-02,ATS_Bergamo,9.953208,41.364693,43.48721,37.34,44.25,31.4,2020/21,9,2021,3,61
2021-03-03,ATS_Bergamo,8.95258,40.94618,45.672234,49.49,66.88,43.8,2020/21,9,2021,3,62
2021-03-04,ATS_Bergamo,8.501129,45.58436,52.569344,38.44,49.12,31.2,2020/21,9,2021,3,63
2021-03-05,ATS_Bergamo,9.293121,55.25733,60.795513,32.61,49.38,31.0,2020/21,9,2021,3,64
2021-03-06,ATS_Bergamo,3.8184073,44.456123,71.95629,16.43,30.75,19.6,2020/21,9,2021,3,65
2021-03-07,ATS_Bergamo,5.8448095,42.43119,59.26632,18.92,24.0,17.6,2020/21,9,2021,3,66
2021-03-08,ATS_Bergamo,7.3140826,49.92402,62.74673,27.94,43.0,32.4,2020/21,10,2021,3,67
2021-03-09,ATS_Bergamo,6.2211347,51.014866,69.26676,24.91,44.62,32.6,2020/21,10,2021,3,68
2021-03-10,ATS_Bergamo,7.634395,37.978138,45.83765,28.39,40.38,29.4,2020/21,10,2021,3,69
2021-03-11,ATS_Bergamo,7.562513,45.846428,56.47834,42.16,61.5,42.2,2020/21,10,2021,3,70
2021-03-12,ATS_Bergamo,9.54647,58.29528,62.851616,33.54,54.0,36.25,2020/21,10,2021,3,71
2021-03-13,ATS_Bergamo,10.031228,48.95697,51.243145,25.79,58.86,43.25,2020/21,10,2021,3,72
2021-03-14,ATS_Bergamo,7.184723,22.812166,29.731897,11.51,22.86,14.75,2020/21,10,2021,3,73
2021-03-15,ATS_Bergamo,8.294307,41.36353,49.503365,16.52,11.57,6.75,2020/21,11,2021,3,74
2021-03-16,ATS_Bergamo,7.501164,22.354662,28.565977,9.88,8.62,7.8,2020/21,11,2021,3,75
2021-03-17,ATS_Bergamo,7.541238,27.21939,34.99163,16.08,10.12,8.4,2020/21,11,2021,3,76
2021-03-18,ATS_Bergamo,4.4291077,35.06413,51.108765,21.31,15.5,12.0,2020/21,11,2021,3,77
2021-03-19,ATS_Bergamo,3.4381409,34.480923,55.619114,16.97,18.38,14.2,2020/21,11,2021,3,78
2021-03-20,ATS_Bergamo,4.8943,26.191908,37.30964,15.67,19.12,16.0,2020/21,11,2021,3,79
2021-03-21,ATS_Bergamo,4.5564094,32.44595,49.258266,13.05,14.88,12.6,2020/21,11,2021,3,80
2021-03-22,ATS_Bergamo,8.364829,31.905699,38.799217,30.73,29.25,23.6,2020/21,12,2021,3,81
2021-03-23,ATS_Bergamo,8.314989,37.525143,44.499493,24.71,27.12,18.6,2020/21,12,2021,3,82
2021-03-24,ATS_Bergamo,11.381326,41.27251,39.75573,33.28,40.25,28.0,2020/21,12,2021,3,83
2021-03-25,ATS_Bergamo,12.779868,50.93325,45.0258,34.59,58.62,41.0,2020/21,12,2021,3,84
2021-03-26,ATS_Bergamo,12.007338,61.329136,57.082966,28.49,60.38,39.6,2020/21,12,2021,3,85
2021-03-27,ATS_Bergamo,9.60025,73.3727,80.37122,22.74,45.25,28.4,2020/21,12,2021,3,86
2021-03-28,ATS_Bergamo,13.15703,58.06122,50.299313,15.44,26.88,18.6,2020/21,12,2021,3,87
2021-03-29,ATS_Bergamo,15.478145,61.23593,45.552483,27.86,41.12,24.6,2020/21,13,2021,3,88
