giorno,ATS,parametro,valore_medio,n_misure
2021-01-01,ATS_Bergamo,NO2,28.52,216
2021-01-01,ATS_Bergamo,PM10,43.0,8
2021-01-01,ATS_Bergamo,PM25,36.4,5
2021-01-01,ATS_Montagna,NO2,41.65,192
2021-01-01,ATS_Montagna,PM10,58.86,7
2021-01-01,ATS_Montagna,PM25,52.33,3
2021-01-02,ATS_Bergamo,NO2,28.23,216
2021-01-02,ATS_Bergamo,PM10,14.88,8
2021-01-02,ATS_Bergamo,PM25,12.0,5
2021-01-02,ATS_Montagna,NO2,37.88,192
2021-01-02,ATS_Montagna,PM10,30.0,7
2021-01-02,ATS_Montagna,PM25,27.33,3
2021-01-03,ATS_Bergamo,NO2,18.05,215
2021-01-03,ATS_Bergamo,PM10,10.38,8
2021-01-03,ATS_Bergamo,PM25,8.4,5
2021-01-03,ATS_Montagna,NO2,26.61,192
2021-01-03,ATS_Montagna,PM10,22.0,7
2021-01-03,ATS_Montagna,PM25,19.33,3
2021-01-04,ATS_Bergamo,NO2,29.53,214
2021-01-04,ATS_Bergamo,PM10,14.0,8
2021-01-04,ATS_Bergamo,PM25,10.6,5
2021-01-04,ATS_Montagna,NO2,31.58,192
2021-01-04,ATS_Montagna,PM10,27.71,7
2021-01-04,ATS_Montagna,PM25,21.0,3
2021-01-05,ATS_Bergamo,NO2,26.96,215
2021-01-05,ATS_Bergamo,PM10,19.62,8
2021-01-05,ATS_Bergamo,PM25,14.6,5
2021-01-05,ATS_Montagna,NO2,29.0,192
2021-01-05,ATS_Montagna,PM10,24.29,7
2021-01-05,ATS_Montagna,PM25,20.0,3
2021-01-06,ATS_Bergamo,NO2,20.84,216
2021-01-06,ATS_Bergamo,PM10,14.12,8
2021-01-06,ATS_Bergamo,PM25,12.0,5
2021-01-06,ATS_Montagna,NO2,19.34,192
2021-01-06,ATS_Montagna,PM10,17.14,7
2021-01-06,ATS_Montagna,PM25,17.67,3
2021-01-07,ATS_Bergamo,NO2,32.98,215
2021-01-07,ATS_Bergamo,PM10,25.0,7
2021-01-07,ATS_Bergamo,PM25,18.5,4
2021-01-07,ATS_Montagna,NO2,32.86,190
2021-01-07,ATS_Montagna,PM10,31.71,7
2021-01-07,ATS_Montagna,PM25,23.33,3
2021-01-08,ATS_Bergamo,NO2,34.49,216
2021-01-08,ATS_Bergamo,PM10,25.25,8
2021-01-08,ATS_Bergamo,PM25,18.0,5
2021-01-08,ATS_Montagna,NO2,37.81,192
2021-01-08,ATS_Montagna,PM10,33.14,7
2021-01-08,ATS_Montagna,PM25,23.67,3
2021-01-09,ATS_Bergamo,NO2,34.7,216
2021-01-09,ATS_Bergamo,PM10,25.25,8
2021-01-09,ATS_Bergamo,PM25,19.2,5
2021-01-09,ATS_Montagna,NO2,41.56,192
2021-01-09,ATS_Montagna,PM10,40.0,7
2021-01-09,ATS_Montagna,PM25,27.67,3
2021-01-10,ATS_Bergamo,NO2,33.94,216
2021-01-10,ATS_Bergamo,PM10,31.25,8
2021-01-10,ATS_Bergamo,PM25,24.8,5
2021-01-10,ATS_Montagna,NO2,36.96,192
2021-01-10,ATS_Montagna,PM10,42.57,7
2021-01-10,ATS_Montagna,PM25,29.0,3
2021-01-11,ATS_Bergamo,NO2,41.63,216
2021-01-11,ATS_Bergamo,PM10,37.38,8
2021-01-11,ATS_Bergamo,PM25,28.0,5
2021-01-11,ATS_Montagna,NO2,45.68,192
2021-01-11,ATS_Montagna,PM10,49.29,7
2021-01-11,ATS_Montagna,PM25,33.0,3
