giorno,ATS,NO2_mean_ugm3,PM10_mean_ugm3,PM25_mean_ugm3
2021-01-01,ATS_Bergamo,32.65,32.75,32.31
2021-01-01,ATS_Montagna,34.88,70.0,60.0
2021-01-02,ATS_Bergamo,30.49,11.52,11.44
2021-01-02,ATS_Montagna,34.15,45.0,41.0
2021-01-03,ATS_Bergamo,21.89,9.22,7.18
2021-01-03,ATS_Montagna,33.62,39.0,34.0
2021-01-04,ATS_Bergamo,36.13,13.06,11.1
2021-01-04,ATS_Montagna,33.26,30.0,24.0
2021-01-05,ATS_Bergamo,33.46,19.69,16.62
2021-01-05,ATS_Montagna,35.01,35.0,24.0
2021-01-06,ATS_Bergamo,28.54,13.99,13.17
2021-01-06,ATS_Montagna,28.4,37.0,32.0
2021-01-07,ATS_Bergamo,39.29,24.54,18.65
2021-01-07,ATS_Montagna,34.43,26.0,23.0
2021-01-08,ATS_Bergamo,42.63,24.79,19.31
2021-01-08,ATS_Montagna,35.36,28.0,26.0
2021-01-09,ATS_Bergamo,40.57,24.62,21.39
2021-01-09,ATS_Montagna,37.24,43.0,35.0
2021-01-10,ATS_Bergamo,38.58,26.77,22.92
2021-01-10,ATS_Montagna,29.18,26.0,29.0
2021-01-11,ATS_Bergamo,48.42,35.19,28.74
2021-01-11,ATS_Montagna,38.77,36.0,28.0
2021-01-12,ATS_Bergamo,59.6,43.98,34.86
2021-01-12,ATS_Montagna,48.88,54.0,39.0
2021-01-13,ATS_Bergamo,60.06,47.04,37.56
2021-01-13,ATS_Montagna,56.87,65.0,48.0
2021-01-14,ATS_Bergamo,58.77,50.99,38.88
2021-01-14,ATS_Montagna,56.07,56.0,57.0
2021-01-15,ATS_Bergamo,45.86,31.24,20.43
2021-01-15,ATS_Montagna,52.15,67.0,50.0
2021-01-16,ATS_Bergamo,41.98,30.51,25.05
2021-01-16,ATS_Montagna,36.6,44.0,37.0
2021-01-17,ATS_Bergamo,37.36,51.83,44.92
2021-01-17,ATS_Montagna,31.8,53.0,50.0
2021-01-18,ATS_Bergamo,51.66,87.82,72.75
2021-01-18,ATS_Montagna,43.93,83.0,70.0
2021-01-19,ATS_Bergamo,72.65,95.63,81.35
2021-01-19,ATS_Montagna,52.65,49.0,39.0
2021-01-20,ATS_Bergamo,55.97,98.87,79.22
2021-01-20,ATS_Montagna,49.93,97.0,80.0
2021-01-21,ATS_Bergamo,54.11,70.77,58.67
2021-01-21,ATS_Montagna,51.15,91.0,70.0
2021-01-22,ATS_Bergamo,51.23,29.38,26.78
2021-01-22,ATS_Montagna,47.06,32.0,32.0
2021-01-23,ATS_Bergamo,35.8,14.22,11.99
2021-01-23,ATS_Montagna,28.63,28.0,20.0
2021-01-24,ATS_Bergamo,32.33,19.46,17.14
2021-01-24,ATS_Montagna,26.82,26.0,22.0
2021-01-25,ATS_Bergamo,46.95,25.08,19.99
2021-01-25,ATS_Montagna,39.55,26.0,18.0
2021-01-26,ATS_Bergamo,26.0,11.96,11.03
2021-01-26,ATS_Montagna,28.58,21.0,13.0
2021-01-27,ATS_Bergamo,39.26,17.93,16.42
2021-01-27,ATS_Montagna,49.36,41.0,34.0
2021-01-28,ATS_Bergamo,52.47,39.59,30.13
2021-01-28,ATS_Montagna,48.62,53.0,37.0
2021-01-29,ATS_Bergamo,58.11,62.41,46.62
