Stagione_ILI,Variabile,Rango,Env_Settimana,Env_Valore,ILI_Settimana,ILI_Valore,Lag_Settimane
2023,TEMPERATURE,1,50,3.41,48,1252.0,-2
2023,TEMPERATURE,2,3,3.798333333333334,49,1872.0,-6
2023,TEMPERATURE,3,6,4.058333333333333,50,1771.0,-8
2023,TEMPERATURE,4,9,7.933333333333333,51,2122.0,-10
2023,TEMPERATURE,5,14,11.413333333333334,52,2459.0,-14
2024,TEMPERATURE,1,48,6.096666666666667,50,1180.0,2
2024,TEMPERATURE,2,49,3.9599999999999995,51,1231.0,2
2024,TEMPERATURE,3,2,4.6450000000000005,52,1873.0,-2
2024,TEMPERATURE,4,3,3.9266666666666663,1,1565.0,-2
2024,TEMPERATURE,5,4,5.146666666666666,12,1099.0,8
2025,TEMPERATURE,1,50,5.276666666666666,49,1916.0,-1
2025,TEMPERATURE,2,3,3.768333333333333,50,2025.0,-5
2025,TEMPERATURE,3,6,5.698,52,1786.0,-6
2025,TEMPERATURE,4,8,6.439999999999999,1,1815.0,-7
2025,TEMPERATURE,5,12,9.7,4,1797.0,-8
2026,TEMPERATURE,1,48,5.963333333333334,1,1239.0,5
2026,TEMPERATURE,2,1,3.293333333333333,2,952.0,1
2026,TEMPERATURE,3,2,2.0183333333333335,3,901.0,1
2026,TEMPERATURE,4,4,4.3549999999999995,7,907.0,3
2026,TEMPERATURE,5,5,5.653333333333332,9,915.0,4
2023,HUMIDITY,1,49,92.84400000000002,48,1252.0,-1
2023,HUMIDITY,2,1,96.446,49,1872.0,-4
2023,HUMIDITY,3,3,81.116,50,1771.0,-5
2023,HUMIDITY,4,8,81.646,51,2122.0,-9
2023,HUMIDITY,5,12,62.403999999999996,52,2459.0,-12
2024,HUMIDITY,1,50,90.902,50,1180.0,0
2024,HUMIDITY,2,1,92.374,51,1231.0,-2
2024,HUMIDITY,3,3,84.268,52,1873.0,-3
2024,HUMIDITY,4,6,87.162,1,1565.0,-5
2024,HUMIDITY,5,9,93.864,12,1099.0,3
2025,HUMIDITY,1,50,89.504,49,1916.0,-1
2025,HUMIDITY,2,2,86.576,50,2025.0,-4
2025,HUMIDITY,3,4,96.25800000000001,52,1786.0,-4
2025,HUMIDITY,4,7,88.10000000000001,1,1815.0,-6
2025,HUMIDITY,5,11,86.25,4,1797.0,-7
2026,HUMIDITY,1,49,93.228,1,1239.0,4
2026,HUMIDITY,2,51,93.254,2,952.0,3
2026,HUMIDITY,3,52,86.966,3,901.0,3
2026,HUMIDITY,4,5,92.48400000000001,7,907.0,2
2026,HUMIDITY,5,6,93.292,9,915.0,3
2023,PM10,1,51,54.6075,48,1252.0,-3
2023,PM10,2,2,42.107499999999995,49,1872.0,-5
2023,PM10,3,8,59.4975,50,1771.0,-10
2023,PM10,4,12,33.1425,51,2122.0,-13
2023,PM10,5,14,26.3575,52,2459.0,-14
2024,PM10,1,51,47.427499999999995,50,1180.0,-1
2024,PM10,2,4,72.105,51,1231.0,-5
2024,PM10,3,5,68.68,52,1873.0,-5
2024,PM10,4,7,72.28500000000001,1,1565.0,-6
2024,PM10,5,8,53.25,12,1099.0,4
2025,PM10,1,49,53.5375,49,1916.0,0
2025,PM10,2,1,88.85499999999999,50,2025.0,-3
2025,PM10,3,3,48.07,52,1786.0,-3
2025,PM10,4,8,60.28750000000001,1,1815.0,-7
2025,PM10,5,10,54.035,4,1797.0,-6
2026,PM10,1,50,48.894999999999996,1,1239.0,3
2026,PM10,2,1,61.965,2,952.0,1
2026,PM10,3,3,48.2825,3,901.0,0
2026,PM10,4,9,49.357499999999995,7,907.0,-2
2026,PM10,5,10,52.57,9,915.0,-1
2023,PM25,1,51,43.52333333333333,48,1252.0,-3
2023,PM25,2,2,32.43,49,1872.0,-5
2023,PM25,3,8,43.23666666666667,50,1771.0,-10
