Variabile,Stagione_ILI,Lag,r_Pearson,p_Pearson,rho_Spearman,p_Spearman,N_punti
TEMPERATURE,22-23,0,0.3926737824918262,0.0867874270607203,0.26917293233082706,0.25113145369079015,20
TEMPERATURE,22-23,1,0.39533050174607,0.09388139779927933,0.4298245614035088,0.06625050848320457,19
TEMPERATURE,22-23,2,0.5413234780149468,0.020337456333618702,0.5748194014447885,0.012581956389329607,18
TEMPERATURE,22-23,3,0.5303814129532138,0.028509840057532838,0.6348039215686275,0.00618869746669553,17
TEMPERATURE,22-23,4,0.3169077638514713,0.23172056617097977,0.36764705882352944,0.1612323576755898,16
TEMPERATURE,22-23,5,0.1567774291632687,0.5768516543503257,0.1714285714285714,0.5412721760996332,15
TEMPERATURE,22-23,6,-0.255053595645143,0.3788407592971872,-0.2087912087912088,0.473778837309814,14
TEMPERATURE,22-23,7,-0.2741324009546242,0.36475323784276376,-0.12087912087912088,0.6940473279966858,13
TEMPERATURE,22-23,8,-0.08761919540653645,0.7865666183828964,-0.034965034965034975,0.9140933424107599,12
TEMPERATURE,23-24,0,0.18659025506106935,0.430882843606777,0.10605491536014756,0.6563115615274484,20
TEMPERATURE,23-24,1,0.21199128110173776,0.3836011818125825,0.21500660253236603,0.3767122086968488,19
TEMPERATURE,23-24,2,0.3580324439084756,0.1446118928933752,0.38616422286061647,0.1134538783057411,18
TEMPERATURE,23-24,3,0.43034734823736465,0.08465084130221182,0.33231152781947393,0.19250543334385992,17
TEMPERATURE,23-24,4,0.30217072563079067,0.2553369717062697,0.24282567280341982,0.36483938084147677,16
TEMPERATURE,23-24,5,0.09487400549836575,0.73662369185147,-0.09115285141162742,0.7466349380693188,15
TEMPERATURE,23-24,6,-0.45530138543735843,0.10185129733488624,-0.3344336457172239,0.2425206057919163,14
TEMPERATURE,23-24,7,-0.41428146420248496,0.15930717469658878,-0.38239375927710695,0.1972218933273599,13
TEMPERATURE,23-24,8,0.04522959547307226,0.888995837915526,0.15061319069274445,0.6403345250750125,12
TEMPERATURE,24-25,0,0.5697852266156235,0.008723866948933979,0.5548872180451127,0.011103504265934592,20
TEMPERATURE,24-25,1,0.6414858821383247,0.00307282976350822,0.6105263157894737,0.005497326431735106,19
TEMPERATURE,24-25,2,0.7353778370344052,0.0005059046863923295,0.78328173374613,0.00012076451611540731,18
TEMPERATURE,24-25,3,0.799089615407715,0.00011911150648892794,0.8725490196078433,4.914594673940114e-06,17
TEMPERATURE,24-25,4,0.647492607220538,0.006693128553566553,0.6176470588235293,0.010787984601948842,16
TEMPERATURE,24-25,5,0.4894369971899533,0.06406565716443095,0.46071428571428563,0.08393338135031418,15
TEMPERATURE,24-25,6,0.37679368242824524,0.1841869022011572,0.3758241758241759,0.18541002869712306,14
TEMPERATURE,24-25,7,0.32646349940936126,0.27630454821260786,0.42857142857142855,0.14397143468783602,13
TEMPERATURE,24-25,8,0.07626925870364347,0.8137542746191802,0.2937062937062937,0.3541476412329215,12
TEMPERATURE,25-26,0,0.3590118174294702,0.12006000044255136,0.6092516414306349,0.00435177985415604,20
TEMPERATURE,25-26,1,0.1989992507240705,0.414073332340066,0.5054849104434401,0.027258254028826936,19
TEMPERATURE,25-26,2,0.12234232245342339,0.6286594470471046,0.43159530790304196,0.07370706155867199,18
TEMPERATURE,25-26,3,0.10282478265451048,0.6945348812852029,0.31023917541818047,0.22555004019004787,17
TEMPERATURE,25-26,4,0.11912600863053566,0.6603560705550926,0.21486392866241996,0.42421011911706996,16
TEMPERATURE,25-26,5,0.1103868048856033,0.6953263847106751,0.06791781085572238,0.8099419042868429,15
TEMPERATURE,25-26,6,0.044612328887628554,0.8796326722652005,0.035203541654444614,0.904899454609591,14
TEMPERATURE,25-26,7,-0.501370844331939,0.08089649756484088,-0.3933978962347216,0.1835552759285924,13
TEMPERATURE,25-26,8,-0.2268819009098137,0.478246745831691,-0.18213688176797005,0.5710157812668484,12
HUMIDITY,22-23,0,0.7526571949418464,0.00012860602980964712,0.6676691729323309,0.0012967923499898862,20
HUMIDITY,22-23,1,0.5654341820857689,0.011635326030976388,0.3701754385964912,0.11875173008045034,19
HUMIDITY,22-23,2,0.5102995905947244,0.030483204930457024,0.23632610939112486,0.34510124880977855,18
HUMIDITY,22-23,3,0.37128663164293385,0.14229348060743852,-0.02696078431372549,0.9181909009189737,17
HUMIDITY,22-23,4,0.28988950444419964,0.2761105137949208,-0.0058823529411764705,0.9827505044191351,16
HUMIDITY,22-23,5,0.11097596365727219,0.6937727167688503,-0.08214285714285713,0.7710285652881773,15
HUMIDITY,22-23,6,0.14634857406444232,0.6176137749664766,0.16923076923076924,0.5630172739962107,14
HUMIDITY,22-23,7,0.46453916228716235,0.10975538544916064,0.4505494505494505,0.12233188767803567,13
HUMIDITY,22-23,8,0.4596762576387235,0.13271362841712558,0.6013986013986015,0.03858845292201946,12
HUMIDITY,23-24,0,0.22270131162821066,0.34529848067501345,0.12561114088755065,0.5977234210548006,20
HUMIDITY,23-24,1,-0.06336550633348156,0.7966298302092565,0.07371654943966835,0.7642406325073762,19
HUMIDITY,23-24,2,0.11567166739339345,0.647627137343731,0.07950439882424457,0.753832847274776,18
HUMIDITY,23-24,3,0.11533196524044761,0.6593714488225664,-0.13733908160804828,0.5991429843680739,17
HUMIDITY,23-24,4,-0.2253743801546794,0.40133057489424645,-0.011773365954105204,0.9654827943192481,16
HUMIDITY,23-24,5,-0.387667142039717,0.15336946312766772,-0.06076856760775161,0.8296619908680618,15
HUMIDITY,23-24,6,0.09569102910247618,0.7448715009017244,0.059405976541875294,0.8401280416361697,14
HUMIDITY,23-24,7,-0.13798205705596364,0.653046671125927,-0.1678130886036225,0.5836890454315045,13
HUMIDITY,23-24,8,-0.031781760514254506,0.9218923131381149,0.11558686727582713,0.7205545635404205,12
HUMIDITY,24-25,0,0.25817442634632837,0.2717626819408447,0.29172932330827067,0.21202623258054826,20
HUMIDITY,24-25,1,0.16474722703342365,0.5003157887609273,0.21929824561403505,0.36702787874058423,19
HUMIDITY,24-25,2,0.21686780900447147,0.3873722344371281,0.33746130030959753,0.17083764052594713,18
HUMIDITY,24-25,3,0.28806738380629493,0.26218588590154224,0.24509803921568632,0.34304665309958526,17
HUMIDITY,24-25,4,0.15441820322951816,0.5679917500001359,0.2088235294117647,0.4376585109498007,16
HUMIDITY,24-25,5,0.02544227793041029,0.9282851912138673,0.07857142857142857,0.7807545523090464,15
HUMIDITY,24-25,6,-0.25328172991698633,0.3822756098478386,-0.06813186813186813,0.8169838797817922,14
HUMIDITY,24-25,7,-0.24203444648033604,0.4256307995473905,-0.0934065934065934,0.7615000227827018,13
HUMIDITY,24-25,8,-0.06960216963638349,0.8298149864084232,-0.20979020979020982,0.512840943181826,12
HUMIDITY,25-26,0,0.4395590457925236,0.05247371718409018,0.5671305402946898,0.00911429972918934,20
HUMIDITY,25-26,1,0.40036633273177546,0.08939798424296483,0.5458534970413538,0.01562229277950948,19
HUMIDITY,25-26,2,0.2762200074076775,0.267200727014699,0.1868869634699775,0.4577530961532825,18
HUMIDITY,25-26,3,0.21080722330512638,0.4166980327938607,0.1361128398079764,0.6024395186816482,17
