Stagione_ILI,Stagione_ARPA,Variabile,Settimana,Valore,Ordine,Rango
22-23,2022_2023,TEMPERATURE,50,3.41,3,1
22-23,2022_2023,TEMPERATURE,3,3.798333333333334,8,2
22-23,2022_2023,TEMPERATURE,6,4.058333333333333,11,3
22-23,2022_2023,TEMPERATURE,9,7.933333333333333,14,4
22-23,2022_2023,TEMPERATURE,14,11.413333333333334,19,5
23-24,2023_2024,TEMPERATURE,48,6.096666666666667,1,1
23-24,2023_2024,TEMPERATURE,49,3.9599999999999995,2,2
23-24,2023_2024,TEMPERATURE,2,4.6450000000000005,7,3
23-24,2023_2024,TEMPERATURE,3,3.9266666666666663,8,4
23-24,2023_2024,TEMPERATURE,4,5.146666666666666,9,5
24-25,2024_2025,TEMPERATURE,50,5.276666666666666,3,1
24-25,2024_2025,TEMPERATURE,3,3.768333333333333,8,2
24-25,2024_2025,TEMPERATURE,6,5.698,11,3
24-25,2024_2025,TEMPERATURE,8,6.439999999999999,13,4
24-25,2024_2025,TEMPERATURE,12,9.7,17,5
25-26,2025_2026,TEMPERATURE,48,5.963333333333334,1,1
25-26,2025_2026,TEMPERATURE,1,3.293333333333333,6,2
25-26,2025_2026,TEMPERATURE,2,2.0183333333333335,7,3
25-26,2025_2026,TEMPERATURE,4,4.3549999999999995,9,4
25-26,2025_2026,TEMPERATURE,5,5.653333333333332,10,5
22-23,2022_2023,HUMIDITY,49,92.84400000000002,2,1
22-23,2022_2023,HUMIDITY,1,96.446,6,2
22-23,2022_2023,HUMIDITY,3,81.116,8,3
22-23,2022_2023,HUMIDITY,8,81.646,13,4
22-23,2022_2023,HUMIDITY,12,62.403999999999996,17,5
23-24,2023_2024,HUMIDITY,50,90.902,3,1
23-24,2023_2024,HUMIDITY,1,92.374,6,2
23-24,2023_2024,HUMIDITY,3,84.268,8,3
23-24,2023_2024,HUMIDITY,6,87.162,11,4
23-24,2023_2024,HUMIDITY,9,93.864,14,5
24-25,2024_2025,HUMIDITY,50,89.504,3,1
24-25,2024_2025,HUMIDITY,2,86.576,7,2
24-25,2024_2025,HUMIDITY,4,96.25800000000001,9,3
24-25,2024_2025,HUMIDITY,7,88.10000000000001,12,4
24-25,2024_2025,HUMIDITY,11,86.25,16,5
25-26,2025_2026,HUMIDITY,49,93.228,2,1
25-26,2025_2026,HUMIDITY,51,93.254,4,2
25-26,2025_2026,HUMIDITY,52,86.966,5,3
25-26,2025_2026,HUMIDITY,5,92.48400000000001,10,4
25-26,2025_2026,HUMIDITY,6,93.292,11,5
22-23,2022_2023,PM10,51,54.6075,4,1
22-23,2022_2023,PM10,2,42.107499999999995,7,2
22-23,2022_2023,PM10,8,59.4975,13,3
22-23,2022_2023,PM10,12,33.1425,17,4
22-23,2022_2023,PM10,14,26.3575,19,5
23-24,2023_2024,PM10,51,47.427499999999995,4,1
23-24,2023_2024,PM10,4,72.105,9,2
23-24,2023_2024,PM10,5,68.68,10,3
23-24,2023_2024,PM10,7,72.28500000000001,12,4
23-24,2023_2024,PM10,8,53.25,13,5
24-25,2024_2025,PM10,49,53.5375,2,1
24-25,2024_2025,PM10,1,88.85499999999999,6,2
24-25,2024_2025,PM10,3,48.07,8,3
24-25,2024_2025,PM10,8,60.28750000000001,13,4
24-25,2024_2025,PM10,10,54.035,15,5
25-26,2025_2026,PM10,50,48.894999999999996,3,1
25-26,2025_2026,PM10,1,61.965,6,2
25-26,2025_2026,PM10,3,48.2825,8,3
25-26,2025_2026,PM10,9,49.357499999999995,14,4
25-26,2025_2026,PM10,10,52.57,15,5
22-23,2022_2023,PM25,51,43.52333333333333,4,1
22-23,2022_2023,PM25,2,32.43,7,2
22-23,2022_2023,PM25,8,43.23666666666667,13,3
22-23,2022_2023,PM25,12,22.856666666666666,17,4
22-23,2022_2023,PM25,14,14.616666666666667,19,5
23-24,2023_2024,PM25,51,34.38,4,1
23-24,2023_2024,PM25,4,54.76333333333333,9,2
23-24,2023_2024,PM25,5,50.906666666666666,10,3
23-24,2023_2024,PM25,7,54.526666666666664,12,4
23-24,2023_2024,PM25,8,40.61666666666667,13,5
24-25,2024_2025,PM25,49,36.0,2,1
24-25,2024_2025,PM25,1,66.0,6,2
24-25,2024_2025,PM25,3,31.763333333333332,8,3
24-25,2024_2025,PM25,6,32.096666666666664,11,4
24-25,2024_2025,PM25,8,44.663333333333334,13,5
25-26,2025_2026,PM25,50,38.76,3,1
25-26,2025_2026,PM25,1,51.330000000000005,6,2
25-26,2025_2026,PM25,3,41.38,8,3
25-26,2025_2026,PM25,9,37.23666666666667,14,4
25-26,2025_2026,PM25,10,39.95333333333333,15,5
22-23,2022_2023,NO2,51,47.708000000000006,4,1
22-23,2022_2023,NO2,2,60.612,7,2
22-23,2022_2023,NO2,4,52.922000000000004,9,3
22-23,2022_2023,NO2,7,65.128,12,4
22-23,2022_2023,NO2,12,40.35799999999999,17,5
23-24,2023_2024,NO2,49,47.773999999999994,2,1
23-24,2023_2024,NO2,51,56.215999999999994,4,2
23-24,2023_2024,NO2,4,66.758,9,3
23-24,2023_2024,NO2,7,59.974000000000004,12,4
23-24,2023_2024,NO2,11,31.942,16,5
24-25,2024_2025,NO2,49,55.536,2,1
24-25,2024_2025,NO2,52,56.152,5,2
24-25,2024_2025,NO2,3,59.019999999999996,8,3
24-25,2024_2025,NO2,6,47.2,11,4
24-25,2024_2025,NO2,10,59.827999999999996,15,5
25-26,2025_2026,NO2,48,52.104,1,1
25-26,2025_2026,NO2,50,51.761999999999986,3,2
25-26,2025_2026,NO2,2,51.324,7,3
25-26,2025_2026,NO2,3,48.072,8,4
25-26,2025_2026,NO2,4,44.768,9,5
