Stagione_ILI,Variabile,Settimana,Valore,Ordine,Rango
22-23,TEMPERATURE,48,841,1,1
22-23,TEMPERATURE,49,870,2,2
22-23,TEMPERATURE,50,600,3,3
22-23,TEMPERATURE,52,696,5,4
22-23,TEMPERATURE,1,586,6,5
23-24,TEMPERATURE,49,675,2,1
23-24,TEMPERATURE,50,737,3,2
23-24,TEMPERATURE,51,905,4,3
23-24,TEMPERATURE,52,1222,5,4
23-24,TEMPERATURE,1,780,6,5
24-25,TEMPERATURE,52,821,5,1
24-25,TEMPERATURE,1,770,6,2
24-25,TEMPERATURE,4,696,9,3
24-25,TEMPERATURE,5,760,10,4
24-25,TEMPERATURE,6,712,11,5
25-26,TEMPERATURE,49,837,2,1
25-26,TEMPERATURE,50,911,3,2
25-26,TEMPERATURE,51,889,4,3
25-26,TEMPERATURE,52,1022,5,4
25-26,TEMPERATURE,1,773,6,5
22-23,HUMIDITY,48,841,1,1
22-23,HUMIDITY,49,870,2,2
22-23,HUMIDITY,50,600,3,3
22-23,HUMIDITY,52,696,5,4
22-23,HUMIDITY,1,586,6,5
23-24,HUMIDITY,49,675,2,1
23-24,HUMIDITY,50,737,3,2
23-24,HUMIDITY,51,905,4,3
23-24,HUMIDITY,52,1222,5,4
23-24,HUMIDITY,1,780,6,5
24-25,HUMIDITY,52,821,5,1
24-25,HUMIDITY,1,770,6,2
24-25,HUMIDITY,4,696,9,3
24-25,HUMIDITY,5,760,10,4
24-25,HUMIDITY,6,712,11,5
25-26,HUMIDITY,49,837,2,1
25-26,HUMIDITY,50,911,3,2
25-26,HUMIDITY,51,889,4,3
25-26,HUMIDITY,52,1022,5,4
25-26,HUMIDITY,1,773,6,5
22-23,PM10,48,841,1,1
22-23,PM10,49,870,2,2
22-23,PM10,50,600,3,3
22-23,PM10,52,696,5,4
22-23,PM10,1,586,6,5
23-24,PM10,49,675,2,1
23-24,PM10,50,737,3,2
23-24,PM10,51,905,4,3
23-24,PM10,52,1222,5,4
23-24,PM10,1,780,6,5
24-25,PM10,52,821,5,1
24-25,PM10,1,770,6,2
24-25,PM10,4,696,9,3
24-25,PM10,5,760,10,4
24-25,PM10,6,712,11,5
25-26,PM10,49,837,2,1
25-26,PM10,50,911,3,2
25-26,PM10,51,889,4,3
25-26,PM10,52,1022,5,4
25-26,PM10,1,773,6,5
22-23,PM25,48,841,1,1
22-23,PM25,49,870,2,2
22-23,PM25,50,600,3,3
22-23,PM25,52,696,5,4
22-23,PM25,1,586,6,5
23-24,PM25,49,675,2,1
23-24,PM25,50,737,3,2
23-24,PM25,51,905,4,3
23-24,PM25,52,1222,5,4
23-24,PM25,1,780,6,5
24-25,PM25,52,821,5,1
24-25,PM25,1,770,6,2
24-25,PM25,4,696,9,3
24-25,PM25,5,760,10,4
24-25,PM25,6,712,11,5
25-26,PM25,49,837,2,1
25-26,PM25,50,911,3,2
25-26,PM25,51,889,4,3
25-26,PM25,52,1022,5,4
25-26,PM25,1,773,6,5
22-23,NO2,48,841,1,1
22-23,NO2,49,870,2,2
22-23,NO2,50,600,3,3
22-23,NO2,52,696,5,4
22-23,NO2,1,586,6,5
23-24,NO2,49,675,2,1
23-24,NO2,50,737,3,2
23-24,NO2,51,905,4,3
23-24,NO2,52,1222,5,4
23-24,NO2,1,780,6,5
24-25,NO2,52,821,5,1
24-25,NO2,1,770,6,2
24-25,NO2,4,696,9,3
24-25,NO2,5,760,10,4
24-25,NO2,6,712,11,5
25-26,NO2,49,837,2,1
25-26,NO2,50,911,3,2
25-26,NO2,51,889,4,3
25-26,NO2,52,1022,5,4
25-26,NO2,1,773,6,5
