Stagione_ILI,Variabile,Settimana,Valore,Ordine,Rango
2023,TEMPERATURE,48,1252.0,1,1
2023,TEMPERATURE,49,1872.0,2,2
2023,TEMPERATURE,50,1771.0,3,3
2023,TEMPERATURE,51,2122.0,4,4
2023,TEMPERATURE,52,2459.0,5,5
2024,TEMPERATURE,50,1180.0,3,1
2024,TEMPERATURE,51,1231.0,4,2
2024,TEMPERATURE,52,1873.0,5,3
2024,TEMPERATURE,1,1565.0,6,4
2024,TEMPERATURE,12,1099.0,17,5
2025,TEMPERATURE,49,1916.0,2,1
2025,TEMPERATURE,50,2025.0,3,2
2025,TEMPERATURE,52,1786.0,5,3
2025,TEMPERATURE,1,1815.0,6,4
2025,TEMPERATURE,4,1797.0,9,5
2026,TEMPERATURE,1,1239.0,6,1
2026,TEMPERATURE,2,952.0,7,2
2026,TEMPERATURE,3,901.0,8,3
2026,TEMPERATURE,7,907.0,12,4
2026,TEMPERATURE,9,915.0,14,5
2023,HUMIDITY,48,1252.0,1,1
2023,HUMIDITY,49,1872.0,2,2
2023,HUMIDITY,50,1771.0,3,3
2023,HUMIDITY,51,2122.0,4,4
2023,HUMIDITY,52,2459.0,5,5
2024,HUMIDITY,50,1180.0,3,1
2024,HUMIDITY,51,1231.0,4,2
2024,HUMIDITY,52,1873.0,5,3
2024,HUMIDITY,1,1565.0,6,4
2024,HUMIDITY,12,1099.0,17,5
2025,HUMIDITY,49,1916.0,2,1
2025,HUMIDITY,50,2025.0,3,2
2025,HUMIDITY,52,1786.0,5,3
2025,HUMIDITY,1,1815.0,6,4
2025,HUMIDITY,4,1797.0,9,5
2026,HUMIDITY,1,1239.0,6,1
2026,HUMIDITY,2,952.0,7,2
2026,HUMIDITY,3,901.0,8,3
2026,HUMIDITY,7,907.0,12,4
2026,HUMIDITY,9,915.0,14,5
2023,PM10,48,1252.0,1,1
2023,PM10,49,1872.0,2,2
2023,PM10,50,1771.0,3,3
2023,PM10,51,2122.0,4,4
2023,PM10,52,2459.0,5,5
2024,PM10,50,1180.0,3,1
2024,PM10,51,1231.0,4,2
2024,PM10,52,1873.0,5,3
2024,PM10,1,1565.0,6,4
2024,PM10,12,1099.0,17,5
2025,PM10,49,1916.0,2,1
2025,PM10,50,2025.0,3,2
2025,PM10,52,1786.0,5,3
2025,PM10,1,1815.0,6,4
2025,PM10,4,1797.0,9,5
2026,PM10,1,1239.0,6,1
2026,PM10,2,952.0,7,2
2026,PM10,3,901.0,8,3
2026,PM10,7,907.0,12,4
2026,PM10,9,915.0,14,5
2023,PM25,48,1252.0,1,1
2023,PM25,49,1872.0,2,2
2023,PM25,50,1771.0,3,3
2023,PM25,51,2122.0,4,4
2023,PM25,52,2459.0,5,5
2024,PM25,50,1180.0,3,1
2024,PM25,51,1231.0,4,2
2024,PM25,52,1873.0,5,3
2024,PM25,1,1565.0,6,4
2024,PM25,12,1099.0,17,5
2025,PM25,49,1916.0,2,1
2025,PM25,50,2025.0,3,2
2025,PM25,52,1786.0,5,3
2025,PM25,1,1815.0,6,4
2025,PM25,4,1797.0,9,5
2026,PM25,1,1239.0,6,1
2026,PM25,2,952.0,7,2
2026,PM25,3,901.0,8,3
2026,PM25,7,907.0,12,4
2026,PM25,9,915.0,14,5
2023,NO2,48,1252.0,1,1
2023,NO2,49,1872.0,2,2
2023,NO2,50,1771.0,3,3
2023,NO2,51,2122.0,4,4
2023,NO2,52,2459.0,5,5
2024,NO2,50,1180.0,3,1
2024,NO2,51,1231.0,4,2
2024,NO2,52,1873.0,5,3
2024,NO2,1,1565.0,6,4
2024,NO2,12,1099.0,17,5
2025,NO2,49,1916.0,2,1
2025,NO2,50,2025.0,3,2
2025,NO2,52,1786.0,5,3
2025,NO2,1,1815.0,6,4
2025,NO2,4,1797.0,9,5
2026,NO2,1,1239.0,6,1
2026,NO2,2,952.0,7,2
2026,NO2,3,901.0,8,3
2026,NO2,7,907.0,12,4
2026,NO2,9,915.0,14,5
