codice_dusaf,macro_cat,area_km2
31111,Boschi e zone naturali,0.004340347420316608
2242,Agricola,0.05297543390271522
221,Agricola,1.1366201847442567
1123,Residenziale,0.0025708398648827437
2111,Agricola,0.014619971158755681
2241,Agricola,0.07914701091766567
31111,Boschi e zone naturali,0.041638514720948566
3242,Boschi e zone naturali,0.005134217129274323
3242,Boschi e zone naturali,0.0032351844750486774
1123,Residenziale,0.002320235981679698
3242,Boschi e zone naturali,0.004489462075496362
3242,Boschi e zone naturali,0.03751435922640189
1122,Residenziale,0.0024881866416575403
3241,Boschi e zone naturali,0.0008030568148828124
11231,Residenziale,0.004183858056722133
12112,Industriale / Commerciale / Infrastrutture,0.0035983344132368396
3113,Boschi e zone naturali,0.011816494035519678
2311,Agricola,0.023263852130624377
2111,Agricola,0.010126098717615892
1123,Residenziale,0.0038132552741650624
221,Agricola,0.7290277501523259
31111,Boschi e zone naturali,0.005421294879537045
3113,Boschi e zone naturali,0.12501994750267298
11231,Residenziale,0.007806948866687217
2111,Agricola,0.0763523991690904
221,Agricola,0.039321681599631716
1123,Residenziale,0.005881904466229826
3242,Boschi e zone naturali,0.0018759640162284757
2111,Agricola,0.002998909042548417
1123,Residenziale,0.0026251590729277747
221,Agricola,0.014201305110026406
31111,Boschi e zone naturali,0.006657345132481887
2111,Agricola,0.12741670404629762
11231,Residenziale,0.003941149050195397
2111,Agricola,0.03165790029390011
1123,Residenziale,0.002010426407942855
2111,Agricola,0.004303032705061504
3242,Boschi e zone naturali,0.004213298217757125
3242,Boschi e zone naturali,0.006199928210220969
3242,Boschi e zone naturali,0.001736525233969114
1121,Residenziale,0.00791390602331959
2311,Agricola,0.0019348520547103586
2111,Agricola,0.008639569972237566
1123,Residenziale,0.004711949600179371
2111,Agricola,0.009686903622820629
3241,Boschi e zone naturali,0.006193408738094399
1123,Residenziale,0.0016175384406981112
3242,Boschi e zone naturali,0.013973933255597617
2111,Agricola,0.01947802975272023
2112,Agricola,0.002375804560914626
221,Agricola,0.537532582034034
31121,Boschi e zone naturali,0.0017103772231886571
2111,Agricola,0.0029324482056609477
2312,Agricola,0.004457775524669194
3242,Boschi e zone naturali,0.0016844077036417325
2111,Agricola,0.008367776901728009
1122,Residenziale,0.006395337114841238
2111,Agricola,0.009654277560327695
2111,Agricola,0.005249384925102684
3242,Boschi e zone naturali,0.005317893459823245
1123,Residenziale,0.007969010705097949
2111,Agricola,0.010827077884334504
31111,Boschi e zone naturali,0.004318548900178621
1123,Residenziale,0.001907951012220491
21131,Agricola,0.01122276754860683
1122,Residenziale,0.007828428356882005
2111,Agricola,0.003319260458709463
2111,Agricola,0.002685439740476734
1123,Residenziale,0.0025956300188384766
2111,Agricola,0.0036477023525061537
12111,Industriale / Commerciale / Infrastrutture,0.0021890958783518017
1122,Residenziale,0.0018035624335713011
3242,Boschi e zone naturali,0.0043394083717646385
221,Agricola,0.005897554954678196
2111,Agricola,0.002776069938010392
1122,Residenziale,0.03406331513791521
221,Agricola,0.008637198628681128
2112,Agricola,0.0023867746147617254
2111,Agricola,0.002894325131428079
1121,Residenziale,0.005117045686925481
1123,Residenziale,0.0022706141880975443
3242,Boschi e zone naturali,0.0066906771748712155
222,Agricola,0.002467237779356682
2111,Agricola,0.02215349081719387
31111,Boschi e zone naturali,0.019816702225918813
2242,Agricola,0.02862625067662324
3242,Boschi e zone naturali,0.0017677217363076027
2111,Agricola,0.00803948619964967
2112,Agricola,0.0038757160376752127
2242,Agricola,0.005141305500510305
1122,Residenziale,0.023287897889510134
222,Agricola,0.003217124172859637
2111,Agricola,0.0027745427372749356
3242,Boschi e zone naturali,0.004339869128267337
2111,Agricola,0.003181990561950167
2111,Agricola,0.04206271422777524
31111,Boschi e zone naturali,0.050251881265135266
3242,Boschi e zone naturali,0.00515613900748043
2311,Agricola,0.0027905391392424738
221,Agricola,0.003089657152388121
1121,Residenziale,0.023260698864873287
1421,Altre superfici artificiali,0.003605142167568372
2312,Agricola,0.005080997009876801
2111,Agricola,0.014946796472168278
2112,Agricola,0.0043568962689344405
3242,Boschi e zone naturali,0.0039968460419194055
12124,Industriale / Commerciale / Infrastrutture,0.005001731689922479
31111,Boschi e zone naturali,0.013124330088318993
221,Agricola,0.027542468877404074
221,Agricola,0.03342183998249771
2111,Agricola,0.010734775944378123
3242,Boschi e zone naturali,0.002566214743959461
3241,Boschi e zone naturali,0.01026748500731552
31111,Boschi e zone naturali,0.03288215887393756
31121,Boschi e zone naturali,0.017286306116143048
3242,Boschi e zone naturali,0.005050645068478786
2111,Agricola,0.005970095625191424
2311,Agricola,0.005122783000132231
1122,Residenziale,0.011936212349282632
1123,Residenziale,0.004123094769685437
2111,Agricola,0.005037049804644401
1123,Residenziale,0.01098294020226532
3242,Boschi e zone naturali,0.009873327812233944
3113,Boschi e zone naturali,0.1311401982267789
3242,Boschi e zone naturali,0.0023802544460326154
3242,Boschi e zone naturali,0.002852599474959765
1123,Residenziale,0.003108315368657668
1122,Residenziale,0.013328654638303291
1121,Residenziale,0.004719308139223631
31111,Boschi e zone naturali,0.0027669730120617442
222,Agricola,0.009305697489383485
2111,Agricola,0.002011372957478268
2111,Agricola,0.008827040070631995
2111,Agricola,0.006006800772004401
3242,Boschi e zone naturali,0.010728228109228048
3242,Boschi e zone naturali,0.002622022602353867
2112,Agricola,0.03177453401520164
31111,Boschi e zone naturali,0.01784969422390931
221,Agricola,0.009453186950340241
2111,Agricola,0.019639284476236415
2311,Agricola,0.003306673832181268
2111,Agricola,0.003023916594081162
2111,Agricola,0.005982115299142291
3241,Boschi e zone naturali,0.011547384788807695
31121,Boschi e zone naturali,0.010787461742937172
3241,Boschi e zone naturali,0.014994346897792282
12112,Industriale / Commerciale / Infrastrutture,0.003929515968753633
31111,Boschi e zone naturali,0.05405056400659781
2311,Agricola,0.0017836479960099698
2111,Agricola,0.0061000954256057015
3242,Boschi e zone naturali,0.0016856086500533273
2112,Agricola,0.004457817679283458
2111,Agricola,0.004570254244459657
2311,Agricola,0.011944948882730287
221,Agricola,0.008666512685469484
3242,Boschi e zone naturali,0.004074688789577153
1122,Residenziale,0.00548459759921698
31121,Boschi e zone naturali,0.006422444962551077
221,Agricola,0.014449015867418011
3242,Boschi e zone naturali,0.0026452617483101386
2111,Agricola,0.006053756121969298
2312,Agricola,0.009965119764580276
1122,Residenziale,0.014525935886935373
3242,Boschi e zone naturali,0.004190436445203086
221,Agricola,0.018862314647732914
2111,Agricola,0.012425347974173745
2312,Agricola,0.004817408676741753
2312,Agricola,0.00038922723089073293
2242,Agricola,0.0026975150678489363
