ats,nome_lungo,macro_cat,area_km2,percentuale
Brianza,ATS della Brianza,Boschi e zone naturali,538.7752,44.5090
Brianza,ATS della Brianza,Agricola,242.1264,20.0024
Brianza,ATS della Brianza,Residenziale,194.9455,16.1047
Brianza,ATS della Brianza,Industriale / Commerciale,89.0441,7.3561
Brianza,ATS della Brianza,Corpi idrici,76.0998,6.2867
Brianza,ATS della Brianza,Altre superfici artificiali,50.7406,4.1917
Brianza,ATS della Brianza,Zone estrattive e cantieri,17.7864,1.4694
Brianza,ATS della Brianza,Zone umide,0.9690,0.0800
Brianza,ATS della Brianza,Verde urbano,0.0000,0.0000
Brianza,ATS della Brianza,Altro / Non classificato,0.0000,0.0000
