ats,nome_lungo,macro_cat,area_km2,percentuale
Insubria,ATS dell'Insubria,Boschi e zone naturali,1197.4203,52.4007
Insubria,ATS dell'Insubria,Residenziale,342.7827,15.0006
Insubria,ATS dell'Insubria,Agricola,330.9059,14.4809
Insubria,ATS dell'Insubria,Corpi idrici,188.9381,8.2682
Insubria,ATS dell'Insubria,Industriale / Commerciale,113.9536,4.9868
Insubria,ATS dell'Insubria,Altre superfici artificiali,80.2410,3.5115
Insubria,ATS dell'Insubria,Zone estrattive e cantieri,24.0439,1.0522
Insubria,ATS dell'Insubria,Zone umide,6.8364,0.2992
Insubria,ATS dell'Insubria,Verde urbano,0.0000,0.0000
Insubria,ATS dell'Insubria,Altro / Non classificato,0.0000,0.0000
