ats,nome_lungo,macro_cat,area_km2,percentuale
Milano,ATS Città Metropolitana di Milano,Agricola,1377.3156,58.4029
Milano,ATS Città Metropolitana di Milano,Residenziale,317.6313,13.4686
Milano,ATS Città Metropolitana di Milano,Industriale / Commerciale,231.7526,9.8271
Milano,ATS Città Metropolitana di Milano,Boschi e zone naturali,171.0814,7.2544
Milano,ATS Città Metropolitana di Milano,Altre superfici artificiali,134.2366,5.6921
Milano,ATS Città Metropolitana di Milano,Zone estrattive e cantieri,83.4169,3.5372
Milano,ATS Città Metropolitana di Milano,Corpi idrici,40.5936,1.7213
Milano,ATS Città Metropolitana di Milano,Zone umide,2.2739,0.0964
Milano,ATS Città Metropolitana di Milano,Verde urbano,0.0000,0.0000
Milano,ATS Città Metropolitana di Milano,Altro / Non classificato,0.0000,0.0000
