ats,nome_lungo,macro_cat,area_km2,percentuale
Pavia,ATS di Pavia,Agricola,2138.1779,72.0338
Pavia,ATS di Pavia,Boschi e zone naturali,493.7848,16.6353
Pavia,ATS di Pavia,Residenziale,162.9825,5.4908
Pavia,ATS di Pavia,Industriale / Commerciale,75.0445,2.5282
Pavia,ATS di Pavia,Corpi idrici,42.3364,1.4263
Pavia,ATS di Pavia,Altre superfici artificiali,34.9601,1.1778
Pavia,ATS di Pavia,Zone estrattive e cantieri,16.1388,0.5437
Pavia,ATS di Pavia,Zone umide,4.8751,0.1642
Pavia,ATS di Pavia,Verde urbano,0.0000,0.0000
Pavia,ATS di Pavia,Altro / Non classificato,0.0000,0.0000
