ats,nome_lungo,macro_cat,area_km2,percentuale
ValPadana,ATS della Val Padana,Agricola,3385.0316,82.3415
ValPadana,ATS della Val Padana,Residenziale,243.9611,5.9344
ValPadana,ATS della Val Padana,Industriale / Commerciale,177.5473,4.3189
ValPadana,ATS della Val Padana,Boschi e zone naturali,126.9534,3.0882
ValPadana,ATS della Val Padana,Corpi idrici,86.8534,2.1127
ValPadana,ATS della Val Padana,Altre superfici artificiali,58.3988,1.4206
ValPadana,ATS della Val Padana,Zone estrattive e cantieri,21.9444,0.5338
ValPadana,ATS della Val Padana,Zone umide,10.2777,0.2500
ValPadana,ATS della Val Padana,Verde urbano,0.0000,0.0000
ValPadana,ATS della Val Padana,Altro / Non classificato,0.0000,0.0000
