"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"016001","Adrara San Martino","600","512","33","24","","","","1169","412","463","43","112","","","","1030","2199"
"016002","Adrara San Rocco","206","193","13","8","","","","420","157","183","12","43","","","","395","815"
"016003","Albano Sant'Alessandro","2086","1830","130","106","","","","4152","1720","1852","160","394","","","","4126","8278"
"016004","Albino","4120","3955","339","253","","","","8667","3561","3954","433","952","","","","8900","17567"
"016005","Almè","1261","1227","121","79","","","","2688","1098","1263","123","355","","","","2839","5527"
"016006","Almenno San Bartolomeo","1623","1476","120","64","","","","3283","1341","1497","147","283","","","","3268","6551"
"016007","Almenno San Salvatore","1265","1241","99","79","","","","2684","1115","1238","129","336","","","","2818","5502"
"016008","Alzano Lombardo","3298","2863","275","180","","","","6616","2775","2887","395","766","","","","6823","13439"
"016009","Ambivere","599","530","46","31","","","","1206","451","526","35","125","","","","1137","2343"
"016010","Antegnate","880","772","42","37","","","","1731","644","729","57","163","","","","1593","3324"
"016011","Arcene","1296","1132","82","56","","","","2566","1006","1111","106","244","","","","2467","5033"
"016012","Ardesio","859","698","42","50","","","","1649","585","697","54","267","","","","1603","3252"
"016013","Arzago d'Adda","664","637","43","33","","","","1377","555","642","53","134","","","","1384","2761"
"016014","Averara","46","44","6","2","","","","98","28","38","2","12","","","","80","178"
"016015","Aviatico","142","145","26","4","","","","317","85","131","14","35","","","","265","582"
"016016","Azzano San Paolo","1748","1719","149","94","","","","3710","1557","1735","196","396","","","","3884","7594"
"016017","Azzone","93","82","4","6","","","","185","57","91","5","22","","","","175","360"
"016018","Bagnatica","1135","1011","76","42","","","","2264","934","1016","81","194","","","","2225","4489"
"016019","Barbata","161","168","12","4","","","","345","144","156","6","34","","","","340","685"
"016020","Bariano","1082","978","60","70","","","","2190","836","974","60","216","","","","2086","4276"
"016021","Barzana","542","475","26","16","","","","1059","409","461","43","59","","","","972","2031"
"016022","Bedulita","164","180","5","10","","","","359","143","173","8","42","","","","366","725"
"016023","Berbenno","584","567","36","29","","","","1216","484","571","47","147","","","","1249","2465"
"016024","Bergamo","29624","23900","2252","1475","106","5","4","57366","27185","24865","3604","7315","52","1","1","63023","120389"
"016025","Berzo San Fermo","406","306","13","19","","","","744","292","309","16","67","","","","684","1428"
"016026","Bianzano","146","148","17","8","","","","319","103","155","14","38","","","","310","629"
"016027","Blello","18","13","2","0","","","","33","19","13","0","5","","","","37","70"
"016028","Bolgare","1712","1525","69","49","","","","3355","1430","1514","117","263","","","","3324","6679"
"016029","Boltiere","1567","1391","124","81","","","","3163","1240","1369","147","285","","","","3041","6204"
"016030","Bonate Sopra","2740","2319","154","106","","","","5319","2349","2328","204","383","","","","5264","10583"
"016031","Bonate Sotto","1634","1509","103","91","","","","3337","1338","1511","126","321","","","","3296","6633"
"016032","Borgo di Terzo","323","267","20","11","","","","621","251","261","26","47","","","","585","1206"
"016033","Bossico","266","207","9","11","","","","493","206","205","4","65","","","","480","973"
"016034","Bottanuco","1224","1176","94","67","","","","2561","939","1189","96","275","","","","2499","5060"
"016035","Bracca","182","162","13","11","","","","368","137","154","10","56","","","","357","725"
"016036","Branzi","163","127","16","7","","","","313","120","117","9","64","","","","310","623"
"016037","Brembate","2166","1940","158","101","","","","4365","1703","1921","181","445","","","","4250","8615"
"016038","Brembate di Sopra","1946","1778","141","106","","","","3971","1567","1770","161","528","","","","4026","7997"
"016040","Brignano Gera d'Adda","1633","1303","99","57","","","","3092","1340","1313","126","345","","","","3124","6216"
"016041","Brumano","41","30","3","4","","","","78","23","26","4","4","","","","57","135"
"016042","Brusaporto","1314","1339","94","51","","","","2798","1163","1332","127","227","","","","2849","5647"
"016043","Calcinate","1613","1421","89","69","","","","3192","1265","1425","82","243","","","","3015","6207"
"016044","Calcio","1477","1237","77","90","","","","2881","1041","1235","94","294","","","","2664","5545"
"016046","Calusco d'Adda","1951","2001","132","117","","","","4201","1544","1996","144","501","","","","4185","8386"
"016047","Calvenzano","1113","996","75","55","","","","2239","923","988","95","246","","","","2252","4491"
"016048","Camerata Cornello","143","115","6","11","","","","275","116","118","9","35","","","","278","553"
"016049","Canonica d'Adda","1095","964","86","40","","","","2185","789","970","81","240","","","","2080","4265"
"016050","Capizzone","277","297","22","15","","","","611","228","295","20","77","","","","620","1231"
"016051","Capriate San Gervasio","2092","1828","166","129","","","","4215","1631","1789","182","469","","","","4071","8286"
"016052","Caprino Bergamasco","806","681","54","40","","","","1581","571","664","72","156","","","","1463","3044"
"016053","Caravaggio","3988","3673","273","212","","","","8146","3379","3701","337","880","","","","8297","16443"
"016055","Carobbio degli Angeli","1267","1111","50","45","","","","2473","1040","1088","89","195","","","","2412","4885"
"016056","Carona","63","56","4","4","","","","127","59","47","9","35","","","","150","277"
"016057","Carvico","1123","1114","61","54","","","","2352","907","1103","77","292","","","","2379","4731"
