"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"097001","Abbadia Lariana","744","717","66","38","","","","1565","661","726","86","164","","","","1637","3202"
"097002","Airuno","728","657","41","37","","","","1463","544","633","35","157","","","","1369","2832"
"097003","Annone di Brianza","521","563","22","27","","","","1133","439","565","21","127","","","","1152","2285"
"097004","Ballabio","1017","956","92","39","","","","2104","867","936","87","156","","","","2046","4150"
"097005","Barzago","544","575","37","29","","","","1185","484","570","27","140","","","","1221","2406"
"097006","Barzanò","1119","1200","75","54","","","","2448","952","1189","90","314","","","","2545","4993"
"097007","Barzio","312","270","15","16","","","","613","268","263","23","93","","","","647","1260"
"097008","Bellano","767","761","74","81","","","","1683","656","769","59","248","","","","1732","3415"
"097009","Bosisio Parini","803","779","50","39","","","","1671","667","760","55","159","","","","1641","3312"
"097010","Brivio","1077","1049","65","57","","","","2248","821","1035","64","291","","","","2211","4459"
"097011","Bulciago","719","674","29","36","","","","1458","548","680","26","154","","","","1408","2866"
"097012","Calco","1321","1220","64","57","","","","2662","1170","1199","64","238","","","","2671","5333"
"097013","Calolziocorte","3013","3243","165","176","","","","6597","2598","3238","220","854","","","","6910","13507"
"097014","Carenno","309","343","20","9","","","","681","282","336","16","67","","","","701","1382"
"097015","Casargo","196","182","18","17","","","","413","154","175","19","76","","","","424","837"
"097016","Casatenovo","3060","3078","155","170","","","","6463","2599","3171","215","735","","","","6720","13183"
"097017","Cassago Brianza","1012","1071","49","59","","","","2191","851","1067","48","213","","","","2179","4370"
"097018","Cassina Valsassina","122","128","11","10","","","","271","99","111","11","37","","","","258","529"
"097019","Castello di Brianza","636","627","27","24","","","","1314","519","622","33","114","","","","1288","2602"
"097020","Cernusco Lombardone","872","928","27","33","","","","1860","778","920","51","199","","","","1948","3808"
"097021","Cesana Brianza","560","566","28","25","","","","1179","466","582","31","126","","","","1205","2384"
"097022","Civate","874","884","41","46","","","","1845","709","874","66","219","","","","1868","3713"
"097023","Colico","1984","1781","132","73","","","","3970","1569","1806","166","483","","","","4024","7994"
"097024","Colle Brianza","450","414","25","23","","","","912","357","404","21","79","","","","861","1773"
"097025","Cortenova","237","297","17","17","","","","568","189","286","16","88","","","","579","1147"
"097026","Costa Masnaga","1141","1132","58","61","","","","2392","925","1133","62","246","","","","2366","4758"
"097027","Crandola Valsassina","70","63","5","4","","","","142","52","55","4","16","","","","127","269"
"097028","Cremella","391","411","16","10","","","","828","322","412","23","94","","","","851","1679"
"097029","Cremeno","468","368","37","16","","","","889","314","363","32","73","","","","782","1671"
"097030","Dervio","586","619","36","35","","","","1276","447","621","38","204","","","","1310","2586"
"097031","Dolzago","589","618","23","18","","","","1248","468","630","37","135","","","","1270","2518"
"097032","Dorio","81","60","8","3","","","","152","62","67","12","28","","","","169","321"
"097033","Ello","264","286","13","10","","","","573","265","292","21","56","","","","634","1207"
"097034","Erve","172","152","5","10","","","","339","134","159","7","47","","","","347","686"
"097035","Esino Lario","177","181","13","7","","","","378","151","167","7","59","","","","384","762"
"097036","Galbiate","1912","1986","125","115","","","","4138","1680","1966","149","525","","","","4320","8458"
"097037","Garbagnate Monastero","641","614","23","26","","","","1304","473","609","24","123","","","","1229","2533"
"097038","Garlate","635","639","32","29","","","","1335","512","625","50","144","","","","1331","2666"
"097039","Imbersago","584","556","62","25","","","","1227","513","543","67","130","","","","1253","2480"
"097040","Introbio","465","429","49","29","","","","972","344","413","47","143","","","","947","1919"
"097042","Lecco","11085","10135","718","598","24","1","0","22561","9782","10353","1093","3033","9","0","0","24270","46831"
"097043","Lierna","511","497","52","31","","","","1091","427","470","64","115","","","","1076","2167"
"097044","Lomagna","1197","1179","64","51","","","","2491","1037","1181","95","222","","","","2535","5026"
"097045","Malgrate","967","1005","44","60","","","","2076","881","1012","93","234","","","","2220","4296"
"097046","Mandello del Lario","2266","2337","188","134","","","","4925","1864","2333","237","655","","","","5089","10014"
"097047","Margno","103","79","10","6","","","","198","68","79","11","19","","","","177","375"
"097048","Merate","3236","3430","189","194","","","","7049","2869","3526","274","943","","","","7612","14661"
"097049","Missaglia","2116","2005","128","99","","","","4348","1804","2014","158","443","","","","4419","8767"
"097050","Moggio","89","127","7","6","","","","229","81","124","9","30","","","","244","473"
"097051","Molteno","873","824","33","40","","","","1770","677","831","50","206","","","","1764","3534"
"097052","Monte Marenzo","448","444","15","21","","","","928","376","440","19","105","","","","940","1868"
"097053","Montevecchia","626","630","47","31","","","","1334","561","623","53","106","","","","1343","2677"
"097054","Monticello Brianza","931","1004","48","71","","","","2054","772","992","62","273","","","","2099","4153"
"097055","Morterone","9","6","1","1","","","","17","8","5","0","1","","","","14","31"
"097056","Nibionno","844","861","40","37","","","","1782","719","886","35","178","","","","1818","3600"
"097057","Oggiono","2137","2117","98","121","","","","4473","1797","2087","153","533","","","","4570","9043"
"097058","Olgiate Molgora","1499","1491","79","81","","","","3150","1286","1484","92","334","","","","3196","6346"
"097059","Olginate","1622","1652","91","80","","","","3445","1304","1650","112","427","","","","3493","6938"
"097060","Oliveto Lario","282","285","26","16","","","","609","203","277","35","75","","","","590","1199"
"097061","Osnago","1094","1100","57","61","","","","2312","935","1123","80","292","","","","2430","4742"
"097062","Paderno d'Adda","928","885","52","45","","","","1910","770","894","73","199","","","","1936","3846"
"097063","Pagnona","76","79","9","3","","","","167","46","78","4","33","","","","161","328"
"097064","Parlasco","33","32","2","3","","","","70","21","34","3","8","","","","66","136"
"097065","Pasturo","486","451","23","22","","","","982","373","452","33","93","","","","951","1933"
"097067","Perledo","199","198","22","9","","","","428","177","177","24","58","","","","436","864"
"097068","Pescate","508","503","27","31","","","","1069","412","514","59","95","","","","1080","2149"
"097069","Premana","542","534","13","19","","","","1108","405","529","12","124","","","","1070","2178"
"097070","Primaluna","517","540","30","16","","","","1103","450","531","30","132","","","","1143","2246"
"097071","Robbiate","1488","1459","85","72","","","","3104","1239","1491","120","308","","","","3158","6262"
"097072","Rogeno","731","747","45","35","","","","1558","592","726","39","143","","","","1500","3058"
"097074","Santa Maria Hoè","557","487","22","21","","","","1087","430","475","23","115","","","","1043","2130"
"097075","Sirone","522","551","25","31","","","","1129","457","545","40","134","","","","1176","2305"
"097076","Sirtori","646","697","31","33","","","","1407","495","706","41","128","","","","1370","2777"
"097077","Sueglio","30","34","6","4","","","","74","27","30","5","5","","","","67","141"
"097078","Suello","401","425","16","22","","","","864","373","424","19","85","","","","901","1765"
"097079","Taceno","156","110","11","10","","","","287","112","98","13","29","","","","252","539"
"097082","Valgreghentino","825","818","48","27","","","","1718","628","833","50","176","","","","1687","3405"
"097083","Valmadrera","2556","2670","128","126","","","","5480","2124","2684","194","679","","","","5681","11161"
"097084","Varenna","155","179","18","15","","","","367","112","181","16","49","","","","358","725"
"097086","Vercurago","580","655","35","33","","","","1303","548","670","57","156","","","","1431","2734"
"097090","Viganò","495","504","24","21","","","","1044","413","496","24","116","","","","1049","2093"
"097091","Verderio","1357","1279","73","52","","","","2761","1074","1282","98","293","","","","2747","5508"
"097092","La Valletta Brianza","1184","1071","53","43","","","","2351","998","1038","58","225","","","","2319","4670"
"097093","Valvarrone","122","117","14","9","","","","262","71","108","7","60","","","","246","508"
