"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"108001","Agrate Brianza","3929","3414","286","179","","","","7808","3496","3387","361","757","","","","8001","15809"
"108002","Aicurzio","474","469","33","31","","","","1007","435","471","37","110","","","","1053","2060"
"108003","Albiate","1590","1507","82","85","","","","3264","1435","1519","127","350","","","","3431","6695"
"108004","Arcore","4212","3954","303","224","","","","8693","3754","3999","397","1053","","","","9203","17896"
"108005","Barlassina","1641","1570","106","113","","","","3430","1350","1570","181","402","","","","3503","6933"
"108006","Bellusco","1739","1712","120","110","","","","3681","1516","1716","158","398","","","","3788","7469"
"108007","Bernareggio","2869","2586","227","135","","","","5817","2389","2571","278","513","","","","5751","11568"
"108008","Besana in Brianza","3607","3552","257","227","","","","7643","3024","3579","352","884","","","","7839","15482"
"108009","Biassono","2775","2861","210","149","","","","5995","2487","2900","301","706","","","","6394","12389"
"108010","Bovisio-Masciago","3919","3742","330","230","","","","8221","3539","3794","424","877","","","","8634","16855"
"108011","Briosco","1405","1426","100","84","","","","3015","1171","1428","135","341","","","","3075","6090"
"108012","Brugherio","8470","7680","596","410","15","2","0","17173","7396","7835","860","2090","12","1","0","18194","35367"
"108013","Burago di Molgora","1005","987","75","54","","","","2121","829","1001","117","264","","","","2211","4332"
"108014","Camparada","650","492","30","22","","","","1194","436","478","40","96","","","","1050","2244"
"108015","Carate Brianza","4252","4051","298","203","","","","8804","3576","4069","425","1070","","","","9140","17944"
"108016","Carnate","1916","1830","122","96","","","","3964","1475","1859","161","411","","","","3906","7870"
"108017","Cavenago di Brianza","1927","1616","135","89","","","","3767","1613","1636","160","381","","","","3790","7557"
"108018","Ceriano Laghetto","1581","1508","118","90","","","","3297","1312","1553","160","392","","","","3417","6714"
"108019","Cesano Maderno","9816","8753","715","526","20","0","1","19831","8204","8700","850","2161","14","3","0","19932","39763"
"108020","Cogliate","1952","1969","121","107","","","","4149","1645","1999","165","511","","","","4320","8469"
"108021","Concorezzo","3857","3554","247","204","","","","7862","3332","3612","349","912","","","","8205","16067"
"108022","Correzzana","844","676","60","35","","","","1615","740","684","73","121","","","","1618","3233"
"108023","Desio","9957","9358","709","495","29","0","0","20548","8351","9534","960","2253","16","0","0","21114","41662"
"108024","Giussano","6473","5925","436","342","11","0","0","13187","5285","6009","552","1379","3","0","0","13228","26415"
"108025","Lazzate","1808","1752","142","104","","","","3806","1510","1765","188","432","","","","3895","7701"
"108026","Lesmo","1931","1875","153","111","","","","4070","1672","1897","225","433","","","","4227","8297"
"108027","Limbiate","8862","7737","637","462","17","0","0","17715","7189","7723","853","1993","10","1","0","17769","35484"
"108028","Lissone","11624","10052","836","510","26","0","0","23048","10194","10217","1140","2197","25","0","0","23773","46821"
"108029","Macherio","1846","1703","121","96","","","","3766","1496","1720","162","418","","","","3796","7562"
"108030","Meda","5649","5341","332","299","10","0","0","11631","4725","5433","507","1308","4","0","0","11977","23608"
"108031","Mezzago","1123","993","82","38","","","","2236","911","955","138","235","","","","2239","4475"
"108032","Misinto","1377","1369","70","58","","","","2874","1146","1368","96","264","","","","2874","5748"
"108033","Monza","28947","26562","2170","1673","82","2","1","59437","25620","27207","3350","7355","59","3","1","63595","123032"
