"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"017001","Acquafredda","353","359","34","21","","","","767","308","360","30","80","","","","778","1545"
"017002","Adro","1728","1645","114","111","","","","3598","1361","1645","142","400","","","","3548","7146"
"017003","Agnosine","392","392","35","20","","","","839","271","393","34","102","","","","800","1639"
"017004","Alfianello","543","549","23","39","","","","1154","445","522","36","147","","","","1150","2304"
"017005","Anfo","105","104","13","7","","","","229","62","98","11","36","","","","207","436"
"017006","Angolo Terme","590","526","43","38","","","","1197","443","499","34","165","","","","1141","2338"
"017007","Artogne","955","772","64","53","","","","1844","781","760","69","217","","","","1827","3671"
"017008","Azzano Mella","939","784","69","35","","","","1827","734","746","77","123","","","","1680","3507"
"017009","Bagnolo Mella","3039","2856","211","138","","","","6244","2432","2794","252","749","","","","6227","12471"
"017010","Bagolino","893","870","55","65","","","","1883","647","872","58","304","","","","1881","3764"
"017011","Barbariga","582","526","33","25","","","","1166","437","508","39","150","","","","1134","2300"
"017012","Barghe","300","279","19","17","","","","615","193","273","18","58","","","","542","1157"
"017013","Bassano Bresciano","609","537","35","31","","","","1212","468","530","40","117","","","","1155","2367"
"017014","Bedizzole","2896","2737","280","140","","","","6053","2494","2735","313","577","","","","6119","12172"
"017015","Berlingo","709","616","49","35","","","","1409","555","619","45","112","","","","1331","2740"
"017016","Berzo Demo","344","354","26","27","","","","751","232","335","22","119","","","","708","1459"
"017017","Berzo Inferiore","622","574","37","22","","","","1255","469","558","59","132","","","","1218","2473"
"017018","Bienno","887","854","54","59","","","","1854","734","855","69","248","","","","1906","3760"
"017019","Bione","301","303","24","18","","","","646","228","300","23","89","","","","640","1286"
"017020","Borgo San Giacomo","1490","1205","85","59","","","","2839","1190","1194","81","273","","","","2738","5577"
"017021","Borgosatollo","2188","2113","169","109","","","","4579","1777","2069","206","461","","","","4513","9092"
"017022","Borno","587","507","50","43","","","","1187","464","527","51","193","","","","1235","2422"
"017023","Botticino","2496","2459","209","110","","","","5274","2105","2491","282","620","","","","5498","10772"
"017024","Bovegno","468","420","55","42","","","","985","398","410","51","161","","","","1020","2005"
"017025","Bovezzo","1588","1738","151","84","","","","3561","1305","1793","220","430","","","","3748","7309"
"017026","Brandico","460","396","29","19","","","","904","360","392","34","67","","","","853","1757"
"017027","Braone","173","154","11","11","","","","349","122","152","18","45","","","","337","686"
"017028","Breno","1099","1048","67","75","","","","2289","912","1028","98","320","","","","2358","4647"
"017029","Brescia","48643","41106","4086","2527","265","9","3","96639","42849","41635","6657","11941","124","7","1","103214","199853"
"017030","Brione","215","157","27","6","","","","405","147","155","11","36","","","","349","754"
"017031","Caino","554","500","42","26","","","","1122","404","497","55","114","","","","1070","2192"
"017032","Calcinato","3284","2921","281","129","","","","6615","2585","2887","291","650","","","","6413","13028"
"017033","Calvagese della Riviera","914","816","85","36","","","","1851","778","824","83","163","","","","1848","3699"
"017034","Calvisano","2134","1931","128","92","","","","4285","1640","1907","154","449","","","","4150","8435"
"017035","Capo di Ponte","542","501","33","34","","","","1110","478","497","35","167","","","","1177","2287"
"017036","Capovalle","75","75","12","4","","","","166","65","73","7","30","","","","175","341"
"017037","Capriano del Colle","1238","1076","119","59","","","","2492","942","1078","113","219","","","","2352","4844"
"017038","Capriolo","2346","2117","184","90","","","","4737","1812","2129","208","504","","","","4653","9390"
"017039","Carpenedolo","3310","2860","246","148","","","","6564","2538","2870","297","699","","","","6404","12968"
"017040","Castegnato","2046","1917","142","92","","","","4197","1711","1899","187","398","","","","4195","8392"
"017041","Castelcovati","1749","1688","87","60","","","","3584","1409","1663","101","302","","","","3475","7059"
"017042","Castel Mella","2667","2508","220","125","","","","5520","2184","2506","293","450","","","","5433","10953"
"017043","Castenedolo","2829","2669","199","129","","","","5826","2316","2636","293","616","","","","5861","11687"
"017044","Casto","422","380","29","19","","","","850","306","357","16","87","","","","766","1616"
"017045","Castrezzato","1972","1768","118","86","","","","3944","1653","1756","117","366","","","","3892","7836"
"017046","Cazzago San Martino","2505","2523","187","140","","","","5355","2114","2534","189","595","","","","5432","10787"
"017047","Cedegolo","278","240","25","19","","","","562","206","244","15","97","","","","562","1124"
"017048","Cellatica","1096","1120","83","56","","","","2355","988","1150","132","245","","","","2515","4870"
"017049","Cerveno","211","133","10","11","","","","365","142","130","16","41","","","","329","694"
"017050","Ceto","427","402","33","22","","","","884","322","411","40","113","","","","886","1770"
"017051","Cevo","196","167","23","21","","","","407","136","165","14","70","","","","385","792"
"017052","Chiari","4700","4493","309","241","","","","9743","3826","4445","395","1143","","","","9809","19552"
"017053","Cigole","342","362","21","17","","","","742","269","358","18","85","","","","730","1472"
"017054","Cimbergo","147","118","7","6","","","","278","97","107","11","45","","","","260","538"
"017055","Cividate Camuno","623","652","47","40","","","","1362","468","635","46","144","","","","1293","2655"
"017056","Coccaglio","2195","2027","139","108","","","","4469","1719","2030","197","444","","","","4390","8859"
"017057","Collebeato","994","1007","97","59","","","","2157","872","1028","117","285","","","","2302","4459"
"017058","Collio","552","405","37","24","","","","1018","378","393","26","160","","","","957","1975"
"017059","Cologne","1850","1747","134","83","","","","3814","1498","1731","145","423","","","","3797","7611"
"017060","Comezzano-Cizzago","1077","980","52","40","","","","2149","860","978","54","136","","","","2028","4177"
"017061","Concesio","3647","3613","282","196","","","","7738","3026","3657","413","836","","","","7932","15670"
"017062","Corte Franca","1731","1647","150","72","","","","3600","1388","1653","171","367","","","","3579","7179"
"017063","Corteno Golgi","457","446","37","21","","","","961","352","413","21","149","","","","935","1896"
"017064","Corzano","400","335","23","15","","","","773","305","350","31","70","","","","756","1529"
"017065","Darfo Boario Terme","3925","3432","344","199","","","","7900","3210","3416","416","935","","","","7977","15877"
"017066","Dello","1437","1252","106","67","","","","2862","1124","1245","141","303","","","","2813","5675"
"017067","Desenzano del Garda","6902","5982","703","334","47","1","0","13969","6292","6182","1109","1748","13","0","0","15344","29313"
"017068","Edolo","1019","960","97","78","","","","2154","862","965","121","312","","","","2260","4414"
"017069","Erbusco","2253","2023","159","84","","","","4519","1719","2006","180","418","","","","4323","8842"
"017070","Esine","1219","1099","103","78","","","","2499","1009","1085","141","308","","","","2543","5042"
"017071","Fiesse","529","480","19","25","","","","1053","388","469","35","122","","","","1014","2067"
"017072","Flero","2071","2033","169","99","","","","4372","1654","2023","210","475","","","","4362","8734"
"017073","Gambara","1275","1076","62","48","","","","2461","857","1056","80","268","","","","2261","4722"
"017074","Gardone Riviera","597","560","72","44","","","","1273","516","566","92","146","","","","1320","2593"
"017075","Gardone Val Trompia","2816","2537","229","175","","","","5757","2256","2469","246","739","","","","5710","11467"
"017076","Gargnano","563","610","53","50","","","","1276","470","607","83","195","","","","1355","2631"
"017077","Gavardo","3146","2708","287","152","","","","6293","2362","2701","325","635","","","","6023","12316"
"017078","Ghedi","4576","4288","284","195","","","","9343","3625","4236","382","918","","","","9161","18504"
"017079","Gianico","482","477","34","31","","","","1024","406","488","46","112","","","","1052","2076"
"017080","Gottolengo","1206","1135","84","54","","","","2479","1012","1135","82","319","","","","2548","5027"
"017081","Gussago","3894","3778","338","225","","","","8235","3302","3775","478","902","","","","8457","16692"
"017082","Idro","450","412","46","20","","","","928","386","402","42","113","","","","943","1871"
"017083","Incudine","83","71","9","3","","","","166","68","72","6","32","","","","178","344"
"017084","Irma","39","28","2","2","","","","71","25","27","0","8","","","","60","131"
"017085","Iseo","1986","2011","189","138","","","","4324","1830","2034","249","542","","","","4655","8979"
"017086","Isorella","1015","977","64","58","","","","2114","744","959","61","224","","","","1988","4102"
"017087","Lavenone","122","114","8","9","","","","253","96","106","11","40","","","","253","506"
"017088","Leno","3682","3137","238","186","","","","7243","3002","3159","260","746","","","","7167","14410"
"017089","Limone sul Garda","280","234","26","5","","","","545","236","226","27","69","","","","558","1103"
"017090","Lodrino","413","384","38","19","","","","854","291","364","25","96","","","","776","1630"
"017091","Lograto","968","852","51","51","","","","1922","798","845","73","196","","","","1912","3834"
"017092","Lonato del Garda","4302","3611","420","175","","","","8508","3551","3601","556","846","","","","8554","17062"
"017093","Longhena","141","139","10","7","","","","297","90","137","8","31","","","","266","563"
"017094","Losine","154","147","6","9","","","","316","115","143","10","38","","","","306","622"
"017095","Lozio","94","82","6","6","","","","188","61","74","11","28","","","","174","362"
"017096","Lumezzane","5359","4836","401","269","2","0","0","10867","4194","4738","475","1362","1","0","0","10770","21637"
"017097","Maclodio","358","338","19","14","","","","729","316","333","22","62","","","","733","1462"
"017098","Magasa","28","28","2","2","","","","60","5","15","2","20","","","","42","102"
"017099","Mairano","879","795","65","31","","","","1770","706","783","76","149","","","","1714","3484"
"017100","Malegno","454","443","24","34","","","","955","360","435","44","130","","","","969","1924"
"017101","Malonno","666","711","51","42","","","","1470","509","720","45","239","","","","1513","2983"
"017102","Manerba del Garda","1280","1226","139","67","","","","2712","1103","1191","151","255","","","","2700","5412"
"017103","Manerbio","3325","2991","204","157","","","","6677","2631","3062","300","831","","","","6824","13501"
"017104","Marcheno","1054","935","58","61","","","","2108","840","930","72","233","","","","2075","4183"
"017105","Marmentino","179","141","11","12","","","","343","116","135","9","54","","","","314","657"
"017106","Marone","724","670","66","35","","","","1495","631","686","77","208","","","","1602","3097"
"017107","Mazzano","3142","2902","232","134","","","","6410","2525","2874","314","584","","","","6297","12707"
"017108","Milzano","416","410","22","16","","","","864","336","410","25","77","","","","848","1712"
"017109","Moniga del Garda","622","562","98","20","","","","1302","542","559","116","131","","","","1348","2650"
"017110","Monno","107","124","9","5","","","","245","97","124","5","50","","","","276","521"
"017111","Monte Isola","383","366","18","29","","","","796","290","360","27","114","","","","791","1587"
"017112","Monticelli Brusati","1099","1083","95","43","","","","2320","895","1091","109","184","","","","2279","4599"
"017113","Montichiari","6670","5820","517","264","22","0","0","13293","5283","5777","664","1243","11","0","0","12978","26271"
"017114","Montirone","1304","1168","81","44","","","","2597","1054","1149","118","196","","","","2517","5114"
"017115","Mura","194","171","10","10","","","","385","157","167","6","53","","","","383","768"
"017116","Muscoline","670","595","73","34","","","","1372","536","591","84","115","","","","1326","2698"
"017117","Nave","2429","2400","226","153","","","","5208","1979","2427","285","668","","","","5359","10567"
"017118","Niardo","454","440","29","25","","","","948","403","440","35","122","","","","1000","1948"
"017119","Nuvolento","933","891","62","58","","","","1944","793","901","95","214","","","","2003","3947"
"017120","Nuvolera","1110","1081","93","61","","","","2345","994","1087","125","199","","","","2405","4750"
"017121","Odolo","449","445","30","31","","","","955","390","418","33","111","","","","952","1907"
"017122","Offlaga","1075","916","60","48","","","","2099","853","898","67","207","","","","2025","4124"
"017123","Ome","710","748","46","38","","","","1542","611","738","64","173","","","","1586","3128"
"017124","Ono San Pietro","226","224","9","11","","","","470","195","220","9","67","","","","491","961"
"017125","Orzinuovi","3187","2710","174","162","","","","6233","2543","2724","243","706","","","","6216","12449"
"017126","Orzivecchi","623","582","28","39","","","","1272","480","571","30","148","","","","1229","2501"
"017127","Ospitaletto","3736","3411","255","169","","","","7571","2953","3358","294","679","","","","7284","14855"
"017128","Ossimo","361","323","29","19","","","","732","263","307","32","103","","","","705","1437"
"017129","Padenghe sul Garda","1136","1039","123","55","","","","2353","1052","1050","196","245","","","","2543","4896"
"017130","Paderno Franciacorta","855","862","63","49","","","","1829","722","867","85","174","","","","1848","3677"
"017131","Paisco Loveno","46","35","3","4","","","","88","28","36","2","12","","","","78","166"
"017132","Paitone","542","528","44","26","","","","1140","395","519","54","101","","","","1069","2209"
"017133","Palazzolo sull'Oglio","5241","4527","330","223","7","0","0","10328","4128","4413","450","1081","3","0","0","10075","20403"
"017134","Paratico","1259","1097","93","68","","","","2517","988","1100","148","266","","","","2502","5019"
"017135","Paspardo","153","134","3","9","","","","299","101","124","3","52","","","","280","579"
"017136","Passirano","1597","1541","142","88","","","","3368","1345","1569","181","370","","","","3465","6833"
"017137","Pavone del Mella","649","666","34","15","","","","1364","500","653","47","168","","","","1368","2732"
"017138","San Paolo","1099","1021","56","45","","","","2221","911","1033","71","208","","","","2223","4444"
"017139","Pertica Alta","146","122","15","9","","","","292","103","117","12","34","","","","266","558"
"017140","Pertica Bassa","145","112","9","11","","","","277","112","112","3","49","","","","276","553"
"017141","Pezzaze","348","329","32","22","","","","731","226","333","25","104","","","","688","1419"
"017142","Pian Camuno","1196","1056","125","52","","","","2429","970","1030","128","232","","","","2360","4789"
"017143","Pisogne","1863","1709","181","119","","","","3872","1524","1740","211","525","","","","4000","7872"
"017144","Polaveno","575","629","39","39","","","","1282","413","618","37","155","","","","1223","2505"
"017145","Polpenazze del Garda","630","607","91","24","","","","1352","555","597","95","123","","","","1370","2722"
"017146","Pompiano","866","902","65","37","","","","1870","743","873","76","183","","","","1875","3745"
"017147","Poncarale","1232","1203","95","50","","","","2580","1033","1203","119","265","","","","2620","5200"
"017148","Ponte di Legno","433","371","29","14","","","","847","376","355","29","126","","","","886","1733"
"017149","Pontevico","1594","1535","119","82","","","","3330","1547","1526","166","462","","","","3701","7031"
"017150","Pontoglio","1683","1620","101","85","","","","3489","1342","1615","108","413","","","","3478","6967"
"017151","Pozzolengo","884","773","79","51","","","","1787","722","770","101","218","","","","1811","3598"
"017152","Pralboino","755","653","42","28","","","","1478","506","627","41","175","","","","1349","2827"
"017153","Preseglie","344","366","25","23","","","","758","254","353","33","67","","","","707","1465"
"017155","Prevalle","1789","1535","107","59","","","","3490","1431","1525","156","339","","","","3451","6941"
"017156","Provaglio d'Iseo","1675","1566","143","101","","","","3485","1458","1582","189","376","","","","3605","7090"
"017157","Provaglio Val Sabbia","216","201","14","12","","","","443","153","189","10","60","","","","412","855"
"017158","Puegnago del Garda","776","808","78","30","","","","1692","703","815","100","159","","","","1777","3469"
"017159","Quinzano d'Oglio","1564","1419","109","92","","","","3184","1226","1387","125","383","","","","3121","6305"
"017160","Remedello","884","776","37","37","","","","1734","674","798","54","177","","","","1703","3437"
"017161","Rezzato","3224","3048","259","141","","","","6672","2695","3039","375","759","","","","6868","13540"
"017162","Roccafranca","1265","1133","66","47","","","","2511","1009","1097","84","232","","","","2422","4933"
"017163","Rodengo Saiano","2312","2222","199","81","","","","4814","2122","2242","263","456","","","","5083","9897"
"017164","Roè Volciano","1013","923","102","58","","","","2096","863","948","152","259","","","","2222","4318"
"017165","Roncadelle","2267","2042","181","112","","","","4602","1860","2043","256","544","","","","4703","9305"
"017166","Rovato","5343","4210","309","185","","","","10047","4192","4129","365","916","","","","9602","19649"
"017167","Rudiano","1500","1382","65","47","","","","2994","1205","1378","96","257","","","","2936","5930"
"017168","Sabbio Chiese","1039","924","82","36","","","","2081","805","917","78","210","","","","2010","4091"
"017169","Sale Marasino","727","728","68","51","","","","1574","617","724","86","227","","","","1654","3228"
"017170","Salò","2259","2177","268","150","","","","4854","2094","2238","407","733","","","","5472","10326"
"017171","San Felice del Benaco","809","748","89","39","","","","1685","694","744","123","187","","","","1748","3433"
"017172","San Gervasio Bresciano","681","578","43","21","","","","1323","608","555","57","122","","","","1342","2665"
"017173","San Zeno Naviglio","1084","1094","93","54","","","","2325","942","1103","113","238","","","","2396","4721"
"017174","Sarezzo","3154","3042","230","152","","","","6578","2588","3011","341","701","","","","6641","13219"
"017175","Saviore dell'Adamello","183","183","12","12","","","","390","128","171","9","83","","","","391","781"
"017176","Sellero","337","307","18","18","","","","680","262","303","17","105","","","","687","1367"
"017177","Seniga","367","329","21","24","","","","741","262","311","23","101","","","","697","1438"
"017178","Serle","714","704","67","43","","","","1528","579","709","60","207","","","","1555","3083"
"017179","Sirmione","1924","1753","255","73","","","","4005","1818","1779","319","447","","","","4363","8368"
"017180","Soiano del Lago","442","461","70","20","","","","993","384","445","51","68","","","","948","1941"
"017181","Sonico","299","266","18","17","","","","600","225","263","25","80","","","","593","1193"
"017182","Sulzano","478","437","46","26","","","","987","398","413","58","105","","","","974","1961"
"017183","Tavernole sul Mella","313","272","24","18","","","","627","211","270","18","88","","","","587","1214"
"017184","Temù","296","260","22","12","","","","590","251","221","20","66","","","","558","1148"
"017185","Tignale","269","243","21","21","","","","554","230","238","18","105","","","","591","1145"
