"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"013003","Albavilla","1514","1471","72","75","","","","3132","1206","1509","121","379","","","","3215","6347"
"013004","Albese con Cassano","919","984","76","67","","","","2046","831","998","77","230","","","","2136","4182"
"013005","Albiolo","661","625","65","28","","","","1379","510","624","69","137","","","","1340","2719"
"013006","Alserio","334","320","22","7","","","","683","290","317","20","62","","","","689","1372"
"013007","Alzate Brianza","1101","1150","78","59","","","","2388","912","1170","87","269","","","","2438","4826"
"013009","Anzano del Parco","410","412","28","9","","","","859","332","424","24","89","","","","869","1728"
"013010","Appiano Gentile","1778","1748","125","95","","","","3746","1562","1750","165","483","","","","3960","7706"
"013011","Argegno","156","151","26","9","","","","342","133","154","13","47","","","","347","689"
"013012","Arosio","1255","1141","72","61","","","","2529","1036","1183","91","324","","","","2634","5163"
"013013","Asso","820","801","81","42","","","","1744","689","816","103","192","","","","1800","3544"
"013015","Barni","129","145","12","3","","","","289","108","134","16","30","","","","288","577"
"013021","Bene Lario","88","83","7","2","","","","180","73","70","6","22","","","","171","351"
"013022","Beregazzo con Figliaro","655","655","45","23","","","","1378","570","657","55","154","","","","1436","2814"
"013023","Binago","1200","1049","98","58","","","","2405","1035","1049","96","250","","","","2430","4835"
"013024","Bizzarone","419","392","35","27","","","","873","371","383","40","93","","","","887","1760"
"013025","Blessagno","72","67","8","7","","","","154","62","58","6","16","","","","142","296"
"013026","Blevio","259","216","31","11","","","","517","242","211","26","86","","","","565","1082"
"013028","Bregnano","1566","1488","128","63","","","","3245","1268","1459","133","315","","","","3175","6420"
"013029","Brenna","513","542","26","29","","","","1110","405","549","26","91","","","","1071","2181"
"013030","Brienno","65","79","11","2","","","","157","64","76","8","23","","","","171","328"
"013032","Brunate","386","353","27","22","","","","788","318","347","43","93","","","","801","1589"
"013034","Bulgarograsso","1022","916","52","42","","","","2032","802","908","78","189","","","","1977","4009"
"013035","Cabiate","1687","1757","116","98","","","","3658","1435","1737","135","382","","","","3689","7347"
"013036","Cadorago","1967","1784","148","77","","","","3976","1682","1759","185","396","","","","4022","7998"
"013037","Caglio","107","117","8","11","","","","243","106","101","14","29","","","","250","493"
"013040","Campione d'Italia","361","416","51","29","","","","857","355","390","74","99","","","","918","1775"
"013041","Cantù","9475","8915","631","497","8","0","0","19526","7980","9006","823","2414","8","0","0","20231","39757"
"013042","Canzo","1111","1162","101","84","","","","2458","976","1153","133","348","","","","2610","5068"
"013043","Capiago Intimiano","1292","1247","75","57","","","","2671","1134","1258","102","313","","","","2807","5478"
"013044","Carate Urio","235","266","27","15","","","","543","218","265","35","65","","","","583","1126"
"013045","Carbonate","662","721","39","32","","","","1454","522","714","48","171","","","","1455","2909"
"013046","Carimate","1028","1029","60","55","","","","2172","859","1029","86","222","","","","2196","4368"
"013047","Carlazzo","734","708","54","43","","","","1539","675","728","65","182","","","","1650","3189"
"013048","Carugo","1594","1520","101","57","","","","3272","1346","1514","118","330","","","","3308","6580"
"013052","Caslino d'Erba","385","379","23","21","","","","808","345","363","36","103","","","","847","1655"
"013053","Casnate con Bernate","1136","1210","68","52","","","","2466","957","1230","114","248","","","","2549","5015"
"013055","Cassina Rizzardi","774","723","77","36","","","","1610","718","736","79","164","","","","1697","3307"
"013058","Castelmarte","291","319","20","15","","","","645","222","318","15","48","","","","603","1248"
"013059","Castelnuovo Bozzente","218","201","11","11","","","","441","178","205","25","49","","","","457","898"
"013062","Cavargna","51","36","6","3","","","","96","29","32","4","21","","","","86","182"
"013063","Cerano d'Intelvi","127","130","15","11","","","","283","126","125","19","37","","","","307","590"
"013064","Cermenate","2195","2172","147","123","","","","4637","1811","2178","194","564","","","","4747","9384"
"013065","Cernobbio","1370","1461","125","108","","","","3064","1223","1434","208","454","","","","3319","6383"
"013068","Cirimido","522","498","29","19","","","","1068","382","484","43","127","","","","1036","2104"
"013071","Claino con Osteno","139","127","9","11","","","","286","95","120","9","33","","","","257","543"
"013074","Colonno","107","109","7","7","","","","230","84","103","11","25","","","","223","453"
"013075","Como","20268","17598","1489","1125","64","1","0","40545","17423","17835","2436","5431","21","0","0","43146","83691"
"013077","Corrido","217","180","12","13","","","","422","182","174","21","44","","","","421","843"
"013083","Cremia","159","161","12","10","","","","342","133","161","10","43","","","","347","689"
"013084","Cucciago","827","836","34","41","","","","1738","682","828","41","164","","","","1715","3453"
"013085","Cusino","56","52","8","4","","","","120","39","49","6","16","","","","110","230"
"013087","Dizzasco","153","135","13","11","","","","312","124","138","17","43","","","","322","634"
"013089","Domaso","360","312","29","23","","","","724","272","322","32","100","","","","726","1450"
"013090","Dongo","754","703","56","58","","","","1571","588","719","77","249","","","","1633","3204"
"013092","Dosso del Liro","59","44","8","2","","","","113","47","47","4","25","","","","123","236"
"013095","Erba","3612","3684","259","240","","","","7795","3224","3687","388","1078","","","","8377","16172"
"013097","Eupilio","583","599","54","39","","","","1275","506","598","52","133","","","","1289","2564"
"013098","Faggeto Lario","264","272","24","21","","","","581","215","272","17","57","","","","561","1142"
"013099","Faloppio","1196","1070","81","46","","","","2393","1034","1070","100","240","","","","2444","4837"
"013100","Fenegrò","803","744","64","32","","","","1643","672","731","58","141","","","","1602","3245"
"013101","Figino Serenza","1136","1172","58","52","","","","2418","954","1174","88","279","","","","2495","4913"
"013102","Fino Mornasco","2432","2260","165","109","","","","4966","1966","2293","226","506","","","","4991","9957"
"013106","Garzeno","153","140","15","15","","","","323","107","138","12","82","","","","339","662"
"013107","Gera Lario","265","243","27","11","","","","546","216","220","17","65","","","","518","1064"
"013110","Grandate","626","670","42","29","","","","1367","585","667","51","180","","","","1483","2850"
"013111","Grandola ed Uniti","331","270","31","18","","","","650","249","273","39","77","","","","638","1288"
"013113","Griante","139","132","4","11","","","","286","103","134","10","50","","","","297","583"
"013114","Guanzate","1407","1263","97","68","","","","2835","1216","1301","119","281","","","","2917","5752"
"013118","Inverigo","2163","2136","152","125","","","","4576","1828","2148","179","499","","","","4654","9230"
"013119","Laglio","179","203","24","10","","","","416","195","205","22","46","","","","468","884"
"013120","Laino","124","119","21","9","","","","273","94","117","17","40","","","","268","541"
"013121","Lambrugo","609","567","30","31","","","","1237","527","576","44","131","","","","1278","2515"
"013123","Lasnigo","111","108","4","5","","","","228","92","104","5","32","","","","233","461"
"013126","Lezzeno","460","439","27","25","","","","951","368","432","33","151","","","","984","1935"
"013128","Limido Comasco","979","866","52","42","","","","1939","832","865","68","159","","","","1924","3863"
"013129","Lipomo","1337","1349","110","96","","","","2892","1197","1344","146","351","","","","3038","5930"
"013130","Livo","46","41","6","5","","","","98","22","38","4","11","","","","75","173"
"013131","Locate Varesino","1009","1030","69","50","","","","2158","832","1019","83","221","","","","2155","4313"
"013133","Lomazzo","2397","2194","154","122","","","","4867","2097","2210","221","549","","","","5077","9944"
"013134","Longone al Segrino","434","474","28","17","","","","953","391","475","32","92","","","","990","1943"
"013135","Luisago","676","602","51","41","","","","1370","577","602","59","159","","","","1397","2767"
"013136","Lurago d'Erba","1293","1244","104","56","","","","2697","1071","1284","102","282","","","","2739","5436"
"013137","Lurago Marinone","629","607","30","30","","","","1296","508","609","39","131","","","","1287","2583"
"013138","Lurate Caccivio","2299","2173","150","101","","","","4723","1909","2177","251","643","","","","4980","9703"
"013139","Magreglio","151","170","20","8","","","","349","127","157","21","32","","","","337","686"
"013143","Mariano Comense","5965","5813","388","305","8","0","1","12480","5091","5826","523","1386","6","0","0","12832","25312"
"013144","Maslianico","749","712","50","36","","","","1547","605","706","80","221","","","","1612","3159"
"013145","Menaggio","756","657","61","47","","","","1521","595","660","66","206","","","","1527","3048"
"013147","Merone","953","959","68","62","","","","2042","810","950","83","201","","","","2044","4086"
"013152","Moltrasio","321","333","28","28","","","","710","305","342","45","110","","","","802","1512"
"013153","Monguzzo","563","551","50","22","","","","1186","459","548","39","133","","","","1179","2365"
"013154","Montano Lucino","1301","1215","82","75","","","","2673","1127","1231","121","250","","","","2729","5402"
"013155","Montemezzo","54","45","8","4","","","","111","35","44","4","17","","","","100","211"
"013157","Montorfano","521","607","39","34","","","","1201","485","629","54","145","","","","1313","2514"
"013159","Mozzate","2076","2007","154","92","","","","4329","1791","1999","198","452","","","","4440","8769"
"013160","Musso","214","230","17","17","","","","478","168","219","18","60","","","","465","943"
"013161","Nesso","244","282","20","23","","","","569","206","278","16","85","","","","585","1154"
"013163","Novedrate","689","722","35","31","","","","1477","517","714","41","155","","","","1427","2904"
"013165","Olgiate Comasco","2841","2649","178","149","","","","5817","2389","2659","297","708","","","","6053","11870"
"013169","Oltrona di San Mamette","558","559","22","26","","","","1165","465","538","51","118","","","","1172","2337"
"013170","Orsenigo","585","670","42","26","","","","1323","482","667","56","120","","","","1325","2648"
"013178","Peglio","55","31","2","2","","","","90","40","34","4","18","","","","96","186"
"013183","Pianello del Lario","236","234","31","19","","","","520","200","231","22","88","","","","541","1061"
"013184","Pigra","54","54","6","6","","","","120","33","51","6","28","","","","118","238"
"013185","Plesio","210","184","18","16","","","","428","142","180","17","51","","","","390","818"
"013186","Pognana Lario","152","151","16","11","","","","330","111","153","12","61","","","","337","667"
"013187","Ponna","52","58","8","4","","","","122","34","51","3","24","","","","112","234"
"013188","Ponte Lambro","1021","971","60","46","","","","2098","830","963","89","255","","","","2137","4235"
"013189","Porlezza","1185","1063","84","63","","","","2395","986","1054","140","313","","","","2493","4888"
"013192","Proserpio","222","230","12","12","","","","476","186","228","11","50","","","","475","951"
"013193","Pusiano","304","294","29","13","","","","640","284","301","28","64","","","","677","1317"
"013195","Rezzago","78","73","6","7","","","","164","54","66","5","14","","","","139","303"
"013197","Rodero","323","280","23","9","","","","635","276","276","27","56","","","","635","1270"
"013199","Ronago","403","384","30","13","","","","830","327","392","37","65","","","","821","1651"
"013201","Rovellasca","1902","1805","160","84","","","","3951","1573","1823","195","440","","","","4031","7982"
"013202","Rovello Porro","1520","1410","93","70","","","","3093","1281","1405","130","358","","","","3174","6267"
"013203","Sala Comacina","104","114","11","7","","","","236","87","102","12","48","","","","249","485"
"013204","San Bartolomeo Val Cavargna","213","225","12","14","","","","464","195","221","10","73","","","","499","963"
"013206","San Fermo della Battaglia","1797","1766","121","106","","","","3790","1583","1794","215","424","","","","4016","7806"
"013207","San Nazzaro Val Cavargna","71","64","8","4","","","","147","42","63","2","22","","","","129","276"
"013211","Schignano","224","198","24","14","","","","460","139","189","19","63","","","","410","870"
"013212","Senna Comasco","729","761","46","40","","","","1576","614","765","66","119","","","","1564","3140"
"013216","Sorico","305","274","35","13","","","","627","257","260","11","90","","","","618","1245"
"013217","Sormano","159","151","31","10","","","","351","112","126","19","42","","","","299","650"
"013218","Stazzona","151","142","5","9","","","","307","105","143","6","37","","","","291","598"
"013222","Tavernerio","1258","1358","79","72","","","","2767","1096","1340","119","317","","","","2872","5639"
"013223","Torno","254","240","22","15","","","","531","198","233","29","99","","","","559","1090"
"013226","Trezzone","60","61","3","2","","","","126","39","62","2","9","","","","112","238"
"013227","Turate","2351","2211","177","100","","","","4839","1994","2173","200","503","","","","4870","9709"
"013228","Uggiate-Trevano","1239","1133","96","57","","","","2525","1078","1143","120","279","","","","2620","5145"
"013229","Valbrona","628","583","53","39","","","","1303","496","571","59","177","","","","1303","2606"
"013232","Valmorea","637","572","49","31","","","","1289","515","572","77","157","","","","1321","2610"
"013233","Val Rezzo","45","37","0","2","","","","84","34","38","2","10","","","","84","168"
"013234","Valsolda","340","295","31","27","","","","693","280","289","39","108","","","","716","1409"
"013236","Veleso","47","46","7","3","","","","103","36","44","5","20","","","","105","208"
"013238","Veniano","740","677","61","32","","","","1510","649","692","69","164","","","","1574","3084"
"013239","Vercana","208","153","10","9","","","","380","140","158","13","54","","","","365","745"
"013242","Vertemate con Minoprio","974","949","80","38","","","","2041","799","962","84","255","","","","2100","4141"
"013245","Villa Guardia","1842","1766","120","110","","","","3838","1615","1831","156","420","","","","4022","7860"
