"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"014001","Albaredo per San Marco","68","72","6","8","","","","154","57","61","4","20","","","","142","296"
"014002","Albosaggia","697","703","59","47","","","","1506","552","681","60","195","","","","1488","2994"
"014003","Andalo Valtellino","151","137","9","9","","","","306","111","131","12","29","","","","283","589"
"014004","Aprica","365","322","17","25","","","","729","287","322","28","103","","","","740","1469"
"014005","Ardenno","781","761","54","37","","","","1633","575","775","44","193","","","","1587","3220"
"014006","Bema","30","23","4","1","","","","58","23","23","2","10","","","","58","116"
"014007","Berbenno di Valtellina","977","942","59","49","","","","2027","740","941","83","262","","","","2026","4053"
"014008","Bianzone","299","285","37","20","","","","641","230","285","35","65","","","","615","1256"
"014009","Bormio","939","899","53","46","","","","1937","784","900","79","266","","","","2029","3966"
"014010","Buglio in Monte","487","461","19","28","","","","995","367","462","24","135","","","","988","1983"
"014011","Caiolo","258","229","27","23","","","","537","212","220","19","61","","","","512","1049"
"014012","Campodolcino","241","203","12","13","","","","469","179","198","19","71","","","","467","936"
"014013","Caspoggio","307","327","16","7","","","","657","257","316","8","107","","","","688","1345"
"014014","Castello dell'Acqua","144","128","21","7","","","","300","96","129","13","59","","","","297","597"
"014015","Castione Andevenno","387","346","25","22","","","","780","288","338","33","99","","","","758","1538"
"014016","Cedrasco","94","93","10","7","","","","204","80","89","11","37","","","","217","421"
"014017","Cercino","207","182","7","12","","","","408","166","177","8","42","","","","393","801"
"014018","Chiavenna","1643","1529","138","115","","","","3425","1484","1548","202","582","","","","3816","7241"
"014019","Chiesa in Valmalenco","543","526","38","32","","","","1139","447","504","30","200","","","","1181","2320"
"014020","Chiuro","534","542","48","40","","","","1164","487","545","48","189","","","","1269","2433"
"014021","Cino","84","85","6","5","","","","180","61","81","3","18","","","","163","343"
"014022","Civo","260","277","20","15","","","","572","190","263","13","70","","","","536","1108"
"014023","Colorina","384","288","22","20","","","","714","233","295","29","108","","","","665","1379"
"014024","Cosio Valtellino","1384","1241","95","66","","","","2786","1023","1237","126","354","","","","2740","5526"
"014025","Dazio","103","107","21","4","","","","235","110","112","13","32","","","","267","502"
"014026","Delebio","859","742","44","42","","","","1687","608","730","60","233","","","","1631","3318"
"014027","Dubino","937","866","65","42","","","","1910","762","849","64","208","","","","1883","3793"
"014028","Faedo Valtellino","136","112","10","8","","","","266","76","109","12","50","","","","247","513"
"014029","Forcola","186","167","17","12","","","","382","135","173","5","62","","","","375","757"
"014030","Fusine","135","116","13","7","","","","271","103","116","10","47","","","","276","547"
"014031","Gerola Alta","49","47","1","1","","","","98","21","41","0","5","","","","67","165"
"014032","Gordona","470","458","23","18","","","","969","380","460","35","104","","","","979","1948"
"014033","Grosio","960","1022","49","58","","","","2089","826","1024","50","353","","","","2253","4342"
