PROVINCIA,Comune,Totale
Brescia,Angolo Terme,2324
Brescia,Artogne,3714
Brescia,Berzo Demo,1444
Brescia,Berzo Inferiore,2522
Brescia,Bienno,3756
Brescia,Borno,2403
Brescia,Braone,681
Brescia,Breno,4674
Brescia,Capo di Ponte,2293
Brescia,Cedegolo,1129
Brescia,Cerveno,707
Brescia,Ceto,1775
Brescia,Cevo,771
Brescia,Cimbergo,526
Brescia,Cividate Camuno,2687
Brescia,Corteno Golgi,1909
Brescia,Darfo Boario Terme,15974
Brescia,Edolo,4447
Brescia,Esine,5055
Brescia,Gianico,2078
Brescia,Incudine,345
Brescia,Losine,647
Brescia,Lozio,365
Brescia,Malegno,1925
Brescia,Malonno,2997
Brescia,Monno,515
Brescia,Niardo,1949
Brescia,Ono San Pietro,973
Brescia,Ossimo,1439
Brescia,Paisco Loveno,164
Brescia,Paspardo,576
Brescia,Pian Camuno,4826
Brescia,Pisogne,7901
Brescia,Ponte di Legno,1756
Brescia,Saviore dell'Adamello,787
Brescia,Sellero,1380
Brescia,Sonico,1186
Brescia,Temù,1154
Brescia,Vezza d'Oglio,1461
Brescia,Vione,621
Brescia,Piancogno,4787
Como,Cremia,674
Como,Domaso,1392
Como,Dongo,3158
Como,Dosso del Liro,235
Como,Garzeno,656
Como,Gera Lario,1065
Como,Livo,158
Como,Montemezzo,203
Como,Musso,935
Como,Peglio,193
Como,Pianello del Lario,1074
Como,Sorico,1243
Como,Stazzona,593
Como,Trezzone,231
Como,Vercana,732
Como,Gravedona ed Uniti,4032
Sondrio,Albaredo per San Marco,278
Sondrio,Albosaggia,3006
Sondrio,Andalo Valtellino,601
Sondrio,Aprica,1433
Sondrio,Ardenno,3228
Sondrio,Bema,117
Sondrio,Berbenno di Valtellina,4066
Sondrio,Bianzone,1263
Sondrio,Bormio,3908
Sondrio,Buglio in Monte,2057
Sondrio,Caiolo,1034
Sondrio,Campodolcino,914
Sondrio,Caspoggio,1316
Sondrio,Castello dell'Acqua,607
Sondrio,Castione Andevenno,1572
Sondrio,Cedrasco,423
Sondrio,Cercino,806
Sondrio,Chiavenna,7294
Sondrio,Chiesa in Valmalenco,2219
Sondrio,Chiuro,2434
Sondrio,Cino,338
Sondrio,Civo,1139
Sondrio,Colorina,1357
Sondrio,Cosio Valtellino,5586
Sondrio,Dazio,521
Sondrio,Delebio,3353
Sondrio,Dubino,3847
Sondrio,Faedo Valtellino,508
Sondrio,Forcola,753
Sondrio,Fusine,545
Sondrio,Gerola Alta,158
Sondrio,Gordona,1956
Sondrio,Grosio,4230
Sondrio,Grosotto,1641
Sondrio,Madesimo,505
Sondrio,Lanzada,1227
Sondrio,Livigno,6663
Sondrio,Lovero,608
Sondrio,Mantello,747
Sondrio,Mazzo di Valtellina,1009
Sondrio,Mello,950
Sondrio,Mese,1889
Sondrio,Montagna in Valtellina,2945
Sondrio,Morbegno,12421
Sondrio,Novate Mezzola,1923
Sondrio,Pedesina,40
Sondrio,Piantedo,1425
Sondrio,Piateda,2059
Sondrio,Piuro,1917
Sondrio,Poggiridenti,1825
Sondrio,Ponte in Valtellina,2217
Sondrio,Postalesio,647
Sondrio,Prata Camportaccio,2942
Sondrio,Rasura,277
Sondrio,Rogolo,575
Sondrio,Samolaco,2871
Sondrio,San Giacomo Filippo,371
Sondrio,Sernio,500
Sondrio,Sondalo,3859
Sondrio,Sondrio,21495
Sondrio,Spriana,85
Sondrio,Talamona,4582
Sondrio,Tartano,198
Sondrio,Teglio,4683
Sondrio,Tirano,8849
Sondrio,Torre di Santa Maria,712
Sondrio,Tovo di Sant'Agata,611
Sondrio,Traona,2903
Sondrio,Tresivio,2038
Sondrio,Valdidentro,4107
Sondrio,Valdisotto,3529
Sondrio,Valfurva,2431
Sondrio,Val Masino,825
Sondrio,Verceia,1091
Sondrio,Vervio,204
Sondrio,Villa di Chiavenna,992
Sondrio,Villa di Tirano,3013
