STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
22-23,50,3,4.9720132936854995,6.365000000000001,92.84400000000002,25.49,29.875,43.410000000000004,7.315472038731382
22-23,51,4,5.180678466076697,4.795000000000001,91.834,29.570000000000004,37.0,46.912,4.9720132936854995
22-23,52,5,5.9451843098041,3.41,89.71,43.52333333333333,54.6075,47.708000000000006,5.180678466076697
22-23,1,6,5.043869317931308,7.343333333333334,94.476,42.95333333333334,48.9275,37.388,5.9451843098041
22-23,2,7,3.6569708239252665,8.674999999999999,96.446,22.52333333333333,26.6425,33.934000000000005,5.043869317931308
22-23,3,8,3.6027568922305764,9.000000000000002,70.614,32.43,42.107499999999995,60.612,3.6569708239252665
22-23,4,9,3.644616214272874,7.1483333333333325,81.116,23.713333333333335,29.5,49.8,3.6027568922305764
22-23,5,10,4.26026009120081,3.798333333333334,69.144,29.02333333333333,37.6425,52.922000000000004,3.644616214272874
22-23,6,11,4.1827569748774245,5.386666666666667,59.906000000000006,27.906666666666666,39.1425,50.05,4.26026009120081
22-23,7,12,4.362512873326468,8.403333333333332,51.498000000000005,31.49666666666667,41.42,55.116,4.1827569748774245
22-23,8,13,4.504985024412259,4.058333333333333,66.286,39.19333333333333,52.6075,65.128,4.362512873326468
22-23,9,14,4.287541781867701,9.573333333333336,81.646,43.23666666666667,59.4975,45.684000000000005,4.504985024412259
22-23,10,15,4.260552205649,10.26,70.024,25.333333333333332,34.355000000000004,46.872,4.287541781867701
22-23,11,16,3.783273085770621,7.933333333333333,60.912,16.86,26.822499999999998,38.00000000000001,4.260552205649
22-23,12,17,3.6941896024464835,12.838333333333333,51.263999999999996,19.046666666666667,26.785,39.51199999999999,3.783273085770621
22-23,13,18,4.0770284425106755,11.743333333333334,62.403999999999996,22.856666666666666,33.1425,40.35799999999999,3.6941896024464835
22-23,14,19,3.470857891290111,14.408333333333333,49.308,8.093333333333334,18.355,31.415999999999997,4.0770284425106755
22-23,15,20,3.744641506262083,13.578333333333333,49.577999999999996,14.616666666666667,26.3575,30.912,3.470857891290111
23-24,50,3,6.251985737988491,6.096666666666667,87.416,28.810000000000002,37.035,47.773999999999994,6.7754895218791855
23-24,51,4,7.553214209439737,3.9599999999999995,90.902,33.71666666666667,45.82,45.604,6.251985737988491
23-24,52,5,8.758994087055639,6.300000000000001,69.272,34.38,47.427499999999995,56.215999999999994,7.553214209439737
23-24,1,6,6.218954897675342,8.848333333333334,84.264,31.03,40.85,44.33,8.758994087055639
23-24,2,7,3.831496976224008,9.276666666666667,92.374,23.429999999999996,29.32,40.674,6.218954897675342
23-24,3,8,3.5238095238095237,6.448333333333333,76.862,27.62,36.464999999999996,47.868,3.831496976224008
23-24,4,9,3.450763496453048,4.6450000000000005,84.268,33.86000000000001,43.2525,50.86,3.5238095238095237
23-24,5,10,3.486793623705543,3.9266666666666663,77.174,54.76333333333333,72.105,66.758,3.450763496453048
23-24,6,11,3.492016116997463,5.146666666666666,81.686,50.906666666666666,68.68,65.53,3.486793623705543
23-24,7,12,3.4301394923393547,6.47,87.162,30.76,42.2825,39.766,3.492016116997463
23-24,8,13,3.642838594799125,10.465000000000002,76.994,54.526666666666664,72.28500000000001,59.974000000000004,3.4301394923393547
23-24,9,14,3.448144333829195,10.145,81.61800000000001,40.61666666666667,53.25,42.078,3.642838594799125
23-24,10,15,3.6959605764205183,10.215,93.864,10.906666666666666,14.365,37.215999999999994,3.448144333829195
23-24,11,16,3.7600398038240104,9.97,86.28,11.476666666666667,16.305,28.66,3.6959605764205183
23-24,12,17,3.814912524298806,9.58,68.888,16.146666666666665,24.68,31.942,3.7600398038240104
23-24,13,18,3.918706058626916,13.17,66.482,25.573333333333334,35.322500000000005,28.060000000000002,3.814912524298806
23-24,14,19,3.733189887036041,14.589999999999998,80.558,12.57,25.392500000000002,31.75,3.918706058626916
23-24,15,20,3.5480233951095763,10.963333333333333,68.23,8.93,19.1625,30.732,3.733189887036041
24-25,50,3,4.435756710021803,7.5566666666666675,85.482,36.0,53.5375,55.536,3.950431843785205
24-25,51,4,4.585754731038593,5.329999999999999,89.504,31.666666666666668,43.93,45.315999999999995,4.435756710021803
24-25,52,5,7.05089594940521,5.276666666666666,73.81199999999998,30.12,42.1775,52.428,4.585754731038593
24-25,1,6,6.7369436917709065,6.260000000000001,54.017999999999994,28.236666666666668,41.3225,56.152,7.05089594940521
24-25,2,7,6.032769674927825,5.756666666666667,80.666,66.0,88.85499999999999,52.65,6.7369436917709065
24-25,3,8,6.018536031776055,5.598333333333334,86.576,21.713333333333335,29.3925,40.456,6.032769674927825
24-25,4,9,6.599581328730397,5.2316666666666665,70.906,31.763333333333332,48.07,59.019999999999996,6.018536031776055
24-25,5,10,6.373432385715862,3.768333333333333,96.25800000000001,18.57,24.6075,41.114,6.599581328730397
24-25,6,11,5.545383206905571,6.875,93.31,18.856666666666666,26.324999999999996,43.524,6.373432385715862
24-25,7,12,5.402886013647041,7.558333333333333,83.64,32.096666666666664,43.8575,47.2,5.545383206905571
24-25,8,13,4.687558083342626,5.698,88.10000000000001,23.810000000000002,31.107499999999998,38.862,5.402886013647041
24-25,9,14,4.542326221610462,7.081666666666666,70.452,44.663333333333334,60.28750000000001,40.275999999999996,4.687558083342626
24-25,10,15,4.0047463660634826,6.439999999999999,80.224,36.0,48.0,36.634,4.542326221610462
24-25,11,16,3.4875524060401437,10.17,54.898,35.42666666666667,54.035,59.827999999999996,4.0047463660634826
24-25,12,17,3.3510985008243552,11.265,86.25,12.563333333333333,16.18,27.639999999999997,3.4875524060401437
24-25,13,18,3.441235429504789,10.843333333333334,70.97200000000001,20.523333333333333,31.142500000000002,33.86,3.3510985008243552
24-25,14,19,3.194224335270294,9.7,66.576,13.143333333333333,20.2025,34.142,3.441235429504789
24-25,15,20,3.136098877681489,14.266666666666666,49.152,15.093333333333334,23.402500000000003,31.206,3.194224335270294
25-26,50,3,6.969540526587506,5.963333333333334,93.228,31.713333333333335,37.135,42.29600000000001,6.481732070365359
25-26,51,4,5.9225269448297935,8.205,83.89,38.76,48.894999999999996,51.761999999999986,6.969540526587506
25-26,52,5,6.815493226483496,8.094999999999999,93.254,31.856666666666666,37.7525,42.690000000000005,5.9225269448297935
25-26,1,6,4.869900165081361,8.805,86.966,16.76,19.355,35.239999999999995,6.815493226483496
25-26,2,7,3.607153682934223,7.148333333333333,86.72999999999999,51.330000000000005,61.965,42.300000000000004,4.869900165081361
25-26,3,8,3.3962833126013043,3.293333333333333,71.41,34.52,41.6425,51.324,3.607153682934223
25-26,4,9,3.144062052865427,2.0183333333333335,84.81800000000001,41.38,48.2825,48.072,3.3962833126013043
25-26,5,10,3.261927945472249,6.4316666666666675,82.20599999999999,33.71666666666667,41.0,44.768,3.144062052865427
25-26,6,11,3.0564465582715776,4.3549999999999995,92.48400000000001,28.570000000000004,34.75,43.172000000000004,3.261927945472249
25-26,7,12,3.277562967513461,5.653333333333332,93.292,24.143333333333334,27.5575,42.019999999999996,3.0564465582715776
25-26,8,13,3.266747599602693,7.1066666666666665,86.36000000000001,19.523333333333333,24.964999999999996,40.386,3.277562967513461
25-26,9,14,3.281451728589872,9.38,69.302,17.666666666666668,23.6725,41.907999999999994,3.266747599602693
25-26,10,15,2.8481698072341346,9.1,81.256,37.23666666666667,49.357499999999995,41.976,3.281451728589872
25-26,11,16,3.041783935916865,11.601666666666667,79.58800000000001,39.95333333333333,52.57,37.88,2.8481698072341346
25-26,12,17,2.901029972557825,11.56,80.67999999999999,34.093333333333334,41.427499999999995,35.082,3.041783935916865
25-26,13,18,2.8131487889273354,12.056666666666665,48.690000000000005,14.43,20.177500000000002,30.564,2.901029972557825
25-26,14,19,2.9941648431801604,12.473333333333331,38.297999999999995,12.42,19.36,34.480000000000004,2.8131487889273354
25-26,15,20,2.967074382430534,12.548333333333334,31.208,10.556666666666667,19.75,32.854,2.9941648431801604
