STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
22-23,50,3,5.40788267644363,6.365000000000001,92.84400000000002,25.49,29.875,43.410000000000004,7.994976977814986
22-23,51,4,4.9412915851272015,4.795000000000001,91.834,29.570000000000004,37.0,46.912,5.40788267644363
22-23,52,5,6.087275394206087,3.41,89.71,43.52333333333333,54.6075,47.708000000000006,4.9412915851272015
22-23,1,6,4.937361827560796,7.343333333333334,94.476,42.95333333333334,48.9275,37.388,6.087275394206087
22-23,2,7,3.8985439173320806,8.674999999999999,96.446,22.52333333333333,26.6425,33.934000000000005,4.937361827560796
22-23,3,8,3.9289055191768005,9.000000000000002,70.614,32.43,42.107499999999995,60.612,3.8985439173320806
22-23,4,9,3.832281334535618,7.1483333333333325,81.116,23.713333333333335,29.5,49.8,3.9289055191768005
22-23,5,10,3.564814814814815,3.798333333333334,69.144,29.02333333333333,37.6425,52.922000000000004,3.832281334535618
22-23,6,11,3.7964458804523424,5.386666666666667,59.906000000000006,27.906666666666666,39.1425,50.05,3.564814814814815
22-23,7,12,4.012588512981904,8.403333333333332,51.498000000000005,31.49666666666667,41.42,55.116,3.7964458804523424
22-23,8,13,4.236610711430855,4.058333333333333,66.286,39.19333333333333,52.6075,65.128,4.012588512981904
22-23,9,14,4.20540061974325,9.573333333333336,81.646,43.23666666666667,59.4975,45.684000000000005,4.236610711430855
22-23,10,15,3.7483843171046964,10.26,70.024,25.333333333333332,34.355000000000004,46.872,4.20540061974325
22-23,11,16,3.179442508710802,7.933333333333333,60.912,16.86,26.822499999999998,38.00000000000001,3.7483843171046964
22-23,12,17,2.4955436720142603,12.838333333333333,51.263999999999996,19.046666666666667,26.785,39.51199999999999,3.179442508710802
22-23,13,18,2.7680140597539546,11.743333333333334,62.403999999999996,22.856666666666666,33.1425,40.35799999999999,2.4955436720142603
22-23,14,19,3.58883473637572,14.408333333333333,49.308,8.093333333333334,18.355,31.415999999999997,2.7680140597539546
22-23,15,20,3.9859833552343407,13.578333333333333,49.577999999999996,14.616666666666667,26.3575,30.912,3.58883473637572
23-24,50,3,7.347597900686314,6.096666666666667,87.416,28.810000000000002,37.035,47.773999999999994,6.548323471400394
