WEEK,2022,2023,2024,2025,2026
48,5800,3340,2963,3840,
49,5895,4961,2977,5542,
50,3949,5282,3236,6150,
51,3881,6655,3656,5397,
52,4404,8571,5596,6135,
1,2698,3877,4967,5295,4165
2,1995,2682,2879,4573,3114
3,1796,2605,2670,4472,2645
4,1563,2749,2650,5279,2672
5,1516,3129,2767,5121,2799
6,1417,3109,2906,4688,2627
7,1458,3360,2767,4453,2734
8,1684,3401,2809,3889,2520
9,1835,3201,2696,3647,2515
10,2141,3297,2853,3294,2379
11,2514,2953,3066,2835,2449
12,3067,2993,3136,2628,2423
13,3086,3045,2938,2683,2392
14,2970,2833,3140,2742,2417
15,2753,2922,3020,2589,2575
