WEEK,2022,2023,2024,2025,2026
48,25418,27033,26091,28045,
49,24373,27629,26630,29560,
50,22868,28327,26602,29055,
51,21696,28094,26844,28113,
52,22001,28074,26564,26205,
1,19501,22681,25165,26941,25442
2,18286,22587,24142,26671,26392
3,18632,22344,24150,26435,26529
4,18565,22252,24951,27229,26558
5,20074,23684,25783,27191,26702
6,20794,23047,26804,26761,27123
7,20996,24275,26238,26819,27673
8,21789,24373,26957,26901,27183
9,21458,24233,26217,27607,27884
10,21867,25208,26786,26968,27702
11,23275,24344,28138,26953,27714
12,24426,24525,28808,26081,28059
13,24482,24822,26029,26938,28900
14,23935,22905,27885,28395,27420
15,22253,23794,28382,28156,29187
