WEEK,2022,2023,2024,2025,2026
48,70135,69350,69570,74148,
49,67703,71933,69857,78611,
50,63092,73881,70369,78352,
51,61245,76057,70946,75914,
52,63397,77834,73327,73658,
1,54929,65074,68742,74214,72512
2,51000,62449,63644,71977,70663
3,51499,61739,64609,70241,70324
4,52309,63222,66957,73229,71194
5,56315,66040,69035,73893,72138
6,58052,65127,71266,72790,72766
7,59178,68265,70476,72753,73833
8,61394,67576,71475,73508,72801
9,60035,67025,70190,73701,73854
10,61205,69336,70693,72359,73690
11,64265,67927,74807,72027,73675
12,67194,68460,75785,70453,74897
13,68298,68929,69320,72509,76110
14,66995,65367,74128,76232,74939
15,64929,67227,75747,75236,79073
