WEEK,2022,2023,2024,2025,2026
48,1692,1252,988,1353,
49,1783,1872,1052,1916,
50,1137,1771,1180,2025,
51,1124,2122,1231,1665,
52,1308,2459,1873,1786,
1,958,1144,1565,1815,1239
2,607,826,925,1609,952
3,617,805,851,1591,901
4,560,811,861,1797,835
5,562,1009,899,1733,871
6,479,964,936,1484,829
7,494,1059,900,1449,907
8,570,1098,982,1261,888
9,609,1039,904,1254,915
10,747,1074,990,1080,789
11,916,921,1058,940,843
12,1108,906,1099,874,814
13,1062,1012,1020,927,813
14,970,795,1041,907,821
15,867,891,1007,883,866
