AGE GROUP,WEEK,2022,2023,2024,2025,2026
Age group 0-9,48,10020,14130,7170,15250,
Age group 0-9,49,10210,17060,6450,12090,
Age group 0-9,50,4080,17210,10110,16450,
Age group 0-9,51,3360,15060,14450,7310,
Age group 0-9,52,9120,14530,15310,15110,
Age group 0-9,1,3480,15280,5050,4250,8040
Age group 0-9,2,766,3430,2250,12580,902
Age group 0-9,3,795,5380,4080,15520,989
Age group 0-9,4,650,9010,6300,7080,3200
Age group 0-9,5,632,11500,7090,5270,5100
Age group 0-9,6,636,11400,7400,17200,4180
Age group 0-9,7,693,14360,7050,15580,4420
Age group 0-9,8,851,13410,6440,11140,2590
Age group 0-9,9,875,13120,6160,8250,2000
Age group 0-9,10,960,12310,7530,6120,974
Age group 0-9,11,4140,11210,9480,2190,1020
Age group 0-9,12,10160,11470,10120,1360,994
Age group 0-9,13,10030,12040,8160,2470,1090
Age group 0-9,14,10190,10550,9110,2300,1010
Age group 0-9,15,8210,10080,6100,963,993
Age group 10-19,48,628,226,274,461,
Age group 10-19,49,505,309,328,710,
Age group 10-19,50,285,349,309,686,
Age group 10-19,51,284,433,302,515,
Age group 10-19,52,301,441,481,432,
Age group 10-19,1,204,246,249,399,208
Age group 10-19,2,178,182,168,416,203
Age group 10-19,3,152,170,199,437,178
Age group 10-19,4,128,183,192,548,173
Age group 10-19,5,107,238,181,556,183
Age group 10-19,6,121,236,263,509,193
Age group 10-19,7,108,264,231,451,190
Age group 10-19,8,139,283,269,383,180
Age group 10-19,9,152,232,266,342,182
Age group 10-19,10,214,281,264,314,209
Age group 10-19,11,279,252,330,256,198
Age group 10-19,12,319,223,313,233,214
Age group 10-19,13,301,232,260,205,220
Age group 10-19,14,248,227,324,217,176
Age group 10-19,15,196,216,320,257,220
Age group 20-49,48,904,547,597,666,
Age group 20-49,49,908,788,567,982,
Age group 20-49,50,695,945,605,4470,
Age group 20-49,51,646,3550,680,2410,
Age group 20-49,52,659,9050,2390,3100,
Age group 20-49,1,647,642,2130,5490,946
Age group 20-49,2,466,551,727,3560,779
Age group 20-49,3,411,465,524,2570,555
Age group 20-49,4,295,475,485,4220,461
Age group 20-49,5,304,560,535,5020,474
Age group 20-49,6,285,550,510,3430,470
Age group 20-49,7,243,645,498,2000,488
Age group 20-49,8,296,650,533,914,453
Age group 20-49,9,346,618,487,915,397
Age group 20-49,10,481,595,502,740,412
Age group 20-49,11,495,548,533,629,433
Age group 20-49,12,611,528,492,536,437
Age group 20-49,13,619,517,555,555,434
Age group 20-49,14,562,439,575,555,447
Age group 20-49,15,523,470,594,548,507
Age group 50-70,48,371,316,274,351,
Age group 50-70,49,469,425,303,536,
Age group 50-70,50,334,527,355,647,
Age group 50-70,51,349,680,376,615,
Age group 50-70,52,438,2150,556,761,
Age group 50-70,1,372,475,721,681,715
Age group 50-70,2,272,321,428,599,476
Age group 50-70,3,194,302,337,475,371
Age group 50-70,4,200,261,284,555,366
Age group 50-70,5,196,292,325,506,350
Age group 50-70,6,137,284,309,489,327
Age group 50-70,7,160,271,289,433,340
Age group 50-70,8,155,285,292,439,317
Age group 50-70,9,193,274,254,421,354
Age group 50-70,10,227,309,297,402,326
Age group 50-70,11,223,220,305,386,353
Age group 50-70,12,258,243,322,361,328
Age group 50-70,13,261,265,295,321,329
Age group 50-70,14,260,244,316,381,316
Age group 50-70,15,242,283,330,323,361
Age group 70+,48,471,442,424,458,
Age group 70+,49,572,504,424,667,
Age group 70+,50,507,506,400,769,
Age group 70+,51,505,613,459,879,
Age group 70+,52,574,882,620,2130,
Age group 70+,1,307,646,728,754,948
Age group 70+,2,312,465,469,640,742
Age group 70+,3,243,389,410,525,544
Age group 70+,4,290,348,351,611,520
Age group 70+,5,277,389,353,569,520
Age group 70+,6,238,399,412,516,422
Age group 70+,7,254,363,374,584,483
Age group 70+,8,243,421,365,509,440
Age group 70+,9,269,345,365,498,461
Age group 70+,10,258,421,372,508,446
Age group 70+,11,322,311,349,471,457
Age group 70+,12,323,352,420,439,454
Age group 70+,13,362,367,378,479,403
Age group 70+,14,341,328,411,486,500
Age group 70+,15,351,405,448,469,498
