STAGIONE,WEEK,ORDINE,ACCESSI_TOTALI_ER_BERGAMO
21-22,1,6,5768
21-22,2,7,5325
21-22,3,8,5221
21-22,4,9,5506
21-22,5,10,5896
21-22,6,11,6111
21-22,7,12,6303
21-22,8,13,6555
21-22,9,14,6293
21-22,10,15,6407
21-22,11,16,6790
21-22,12,17,7161
21-22,13,18,7176
21-22,14,19,7259
21-22,15,20,7037
22-23,48,1,7505
22-23,49,2,7174
22-23,50,3,6726
22-23,51,4,6454
22-23,52,5,6858
22-23,1,6,6738
22-23,2,7,6127
22-23,3,8,6328
22-23,4,9,6667
22-23,5,10,6864
22-23,6,11,7015
22-23,7,12,7152
22-23,8,13,6706
22-23,9,14,6504
22-23,10,15,6571
22-23,11,16,6716
22-23,12,17,6684
22-23,13,18,6789
22-23,14,19,6552
22-23,15,20,6608
23-24,48,1,6673
23-24,49,2,6924
23-24,50,3,7366
23-24,51,4,7921
23-24,52,5,8117
23-24,1,6,7109
23-24,2,7,6444
23-24,3,8,6503
23-24,4,9,6696
23-24,5,10,6960
23-24,6,11,6993
23-24,7,12,6934
23-24,8,13,7043
23-24,9,14,7162
23-24,10,15,6904
23-24,11,16,7469
23-24,12,17,7493
23-24,13,18,6855
23-24,14,19,7271
23-24,15,20,7470
24-25,48,1,6940
24-25,49,2,7054
24-25,50,3,6922
24-25,51,4,7073
24-25,52,5,7599
24-25,1,6,7592
24-25,2,7,7288
24-25,3,8,7009
24-25,4,9,7437
24-25,5,10,7572
24-25,6,11,7328
24-25,7,12,7364
24-25,8,13,7419
24-25,9,14,7295
24-25,10,15,7111
24-25,11,16,7073
24-25,12,17,7063
24-25,13,18,7314
24-25,14,19,7600
24-25,15,20,7297
25-26,48,1,7493
25-26,49,2,7897
25-26,50,3,8150
25-26,51,4,7605
25-26,52,5,7893
25-26,1,6,7843
25-26,2,7,7400
25-26,3,8,6998
25-26,4,9,7119
25-26,5,10,7440
25-26,6,11,7334
25-26,7,12,7371
25-26,8,13,7287
25-26,9,14,7492
25-26,10,15,7442
25-26,11,16,7405
25-26,12,17,7540
25-26,13,18,7692
25-26,14,19,7754
25-26,15,20,8100
