STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ATS_BERGAMO
21-22,42.0,1.0,306
21-22,43.0,2.0,293
21-22,44.0,3.0,353
21-22,45.0,4.0,373
21-22,46.0,5.0,344
21-22,47.0,6.0,333
21-22,48.0,7.0,287
21-22,49.0,8.0,278
21-22,50.0,9.0,235
21-22,51.0,10.0,294
21-22,52.0,11.0,377
21-22,1.0,12.0,288
21-22,2.0,13.0,216
21-22,3.0,14.0,141
21-22,4.0,15.0,156
21-22,5.0,16.0,142
21-22,6.0,17.0,140
21-22,7.0,18.0,147
21-22,8.0,19.0,164
21-22,9.0,20.0,186
21-22,10.0,21.0,225
21-22,11.0,22.0,208
21-22,12.0,23.0,279
21-22,13.0,24.0,321
21-22,14.0,25.0,329
21-22,15.0,26.0,310
21-22,16.0,27.0,292
22-23,42.0,1.0,325
22-23,43.0,2.0,334
22-23,44.0,3.0,378
22-23,45.0,4.0,373
22-23,46.0,5.0,529
22-23,47.0,6.0,637
22-23,48.0,7.0,690
22-23,49.0,8.0,679
22-23,50.0,9.0,482
22-23,51.0,10.0,480
22-23,52.0,11.0,530
22-23,1.0,12.0,452
22-23,2.0,13.0,277
22-23,3.0,14.0,291
22-23,4.0,15.0,263
22-23,5.0,16.0,335
22-23,6.0,17.0,299
22-23,7.0,18.0,341
22-23,8.0,19.0,324
22-23,9.0,20.0,305
22-23,10.0,21.0,314
22-23,11.0,22.0,309
22-23,12.0,23.0,323
22-23,13.0,24.0,296
22-23,14.0,25.0,308
22-23,15.0,26.0,285
22-23,16.0,27.0,269
23-24,42.0,1.0,178
23-24,43.0,2.0,218
23-24,44.0,3.0,209
23-24,45.0,4.0,230
23-24,46.0,5.0,228
23-24,47.0,6.0,283
23-24,48.0,7.0,288
23-24,49.0,8.0,509
23-24,50.0,9.0,555
23-24,51.0,10.0,658
23-24,52.0,11.0,860
23-24,1.0,12.0,523
23-24,2.0,13.0,280
23-24,3.0,14.0,267
23-24,4.0,15.0,278
23-24,5.0,16.0,290
23-24,6.0,17.0,280
23-24,7.0,18.0,282
23-24,8.0,19.0,253
23-24,9.0,20.0,301
23-24,10.0,21.0,243
23-24,11.0,22.0,288
23-24,12.0,23.0,276
23-24,13.0,24.0,285
23-24,14.0,25.0,272
23-24,15.0,26.0,299
23-24,16.0,27.0,288
24-25,42.0,1.0,202
24-25,43.0,2.0,231
24-25,44.0,3.0,281
24-25,45.0,4.0,212
24-25,46.0,5.0,221
24-25,47.0,6.0,258
24-25,48.0,7.0,265
24-25,49.0,8.0,257
24-25,50.0,9.0,261
24-25,51.0,10.0,349
24-25,52.0,11.0,573
24-25,1.0,12.0,515
24-25,2.0,13.0,449
24-25,3.0,14.0,363
24-25,4.0,15.0,480
24-25,5.0,16.0,516
24-25,6.0,17.0,486
24-25,7.0,18.0,479
24-25,8.0,19.0,377
24-25,9.0,20.0,344
24-25,10.0,21.0,290
24-25,11.0,22.0,273
24-25,12.0,23.0,232
24-25,13.0,24.0,262
24-25,14.0,25.0,254
24-25,15.0,26.0,251
24-25,16.0,27.0,257
25-26,42.0,1.0,252
25-26,43.0,2.0,227
25-26,44.0,3.0,225
25-26,45.0,4.0,281
25-26,46.0,5.0,289
25-26,47.0,6.0,325
25-26,48.0,7.0,384
25-26,49.0,8.0,578
25-26,50.0,9.0,635
25-26,51.0,10.0,610
25-26,52.0,11.0,725
25-26,1.0,12.0,535
25-26,2.0,13.0,346
25-26,3.0,14.0,288
25-26,4.0,15.0,295
25-26,5.0,16.0,321
25-26,6.0,17.0,251
25-26,7.0,18.0,287
25-26,8.0,19.0,237
25-26,9.0,20.0,273
25-26,10.0,21.0,290
25-26,11.0,22.0,267
25-26,12.0,23.0,272
25-26,13.0,24.0,265
25-26,14.0,25.0,263
25-26,15.0,26.0,279
25-26,16.0,27.0,243
