STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ATS_BRIANZA
21-22,42.0,1.0,300
21-22,43.0,2.0,322
21-22,44.0,3.0,399
21-22,45.0,4.0,371
21-22,46.0,5.0,402
21-22,47.0,6.0,329
21-22,48.0,7.0,304
21-22,49.0,8.0,316
21-22,50.0,9.0,240
21-22,51.0,10.0,298
21-22,52.0,11.0,335
21-22,1.0,12.0,283
21-22,2.0,13.0,218
21-22,3.0,14.0,178
21-22,4.0,15.0,151
21-22,5.0,16.0,127
21-22,6.0,17.0,137
21-22,7.0,18.0,140
21-22,8.0,19.0,191
21-22,9.0,20.0,174
21-22,10.0,21.0,200
21-22,11.0,22.0,275
21-22,12.0,23.0,274
21-22,13.0,24.0,326
21-22,14.0,25.0,326
21-22,15.0,26.0,273
21-22,16.0,27.0,255
22-23,42.0,1.0,270
22-23,43.0,2.0,253
22-23,44.0,3.0,305
22-23,45.0,4.0,299
22-23,46.0,5.0,457
22-23,47.0,6.0,466
22-23,48.0,7.0,488
22-23,49.0,8.0,506
22-23,50.0,9.0,404
22-23,51.0,10.0,341
22-23,52.0,11.0,413
22-23,1.0,12.0,429
22-23,2.0,13.0,280
22-23,3.0,14.0,235
22-23,4.0,15.0,308
22-23,5.0,16.0,318
22-23,6.0,17.0,303
22-23,7.0,18.0,390
22-23,8.0,19.0,315
22-23,9.0,20.0,313
22-23,10.0,21.0,327
22-23,11.0,22.0,276
22-23,12.0,23.0,313
22-23,13.0,24.0,286
22-23,14.0,25.0,324
22-23,15.0,26.0,282
22-23,16.0,27.0,247
23-24,42.0,1.0,231
23-24,43.0,2.0,231
23-24,44.0,3.0,252
23-24,45.0,4.0,244
23-24,46.0,5.0,257
23-24,47.0,6.0,309
23-24,48.0,7.0,364
23-24,49.0,8.0,600
23-24,50.0,9.0,613
23-24,51.0,10.0,701
23-24,52.0,11.0,955
23-24,1.0,12.0,499
23-24,2.0,13.0,302
23-24,3.0,14.0,262
23-24,4.0,15.0,273
23-24,5.0,16.0,280
23-24,6.0,17.0,334
23-24,7.0,18.0,283
23-24,8.0,19.0,295
23-24,9.0,20.0,286
23-24,10.0,21.0,314
23-24,11.0,22.0,332
23-24,12.0,23.0,340
23-24,13.0,24.0,308
23-24,14.0,25.0,363
23-24,15.0,26.0,323
23-24,16.0,27.0,286
24-25,42.0,1.0,302
24-25,43.0,2.0,290
24-25,44.0,3.0,341
24-25,45.0,4.0,255
24-25,46.0,5.0,276
24-25,47.0,6.0,270
24-25,48.0,7.0,320
24-25,49.0,8.0,306
24-25,50.0,9.0,357
24-25,51.0,10.0,345
24-25,52.0,11.0,566
24-25,1.0,12.0,541
24-25,2.0,13.0,445
24-25,3.0,14.0,433
24-25,4.0,15.0,520
24-25,5.0,16.0,511
24-25,6.0,17.0,484
24-25,7.0,18.0,410
24-25,8.0,19.0,387
24-25,9.0,20.0,366
24-25,10.0,21.0,321
24-25,11.0,22.0,302
24-25,12.0,23.0,294
24-25,13.0,24.0,292
24-25,14.0,25.0,316
24-25,15.0,26.0,274
24-25,16.0,27.0,261
25-26,42.0,1.0,247
25-26,43.0,2.0,304
25-26,44.0,3.0,236
25-26,45.0,4.0,314
25-26,46.0,5.0,295
25-26,47.0,6.0,339
25-26,48.0,7.0,400
25-26,49.0,8.0,600
25-26,50.0,9.0,661
25-26,51.0,10.0,530
25-26,52.0,11.0,642
25-26,1.0,12.0,429
25-26,2.0,13.0,339
25-26,3.0,14.0,258
25-26,4.0,15.0,268
25-26,5.0,16.0,325
25-26,6.0,17.0,330
25-26,7.0,18.0,286
25-26,8.0,19.0,281
25-26,9.0,20.0,258
25-26,10.0,21.0,255
25-26,11.0,22.0,270
25-26,12.0,23.0,282
25-26,13.0,24.0,259
25-26,14.0,25.0,248
25-26,15.0,26.0,280
25-26,16.0,27.0,231
