STAGIONE,WEEK,ORDINE,ACCESSI_TOTALI_ER_MILANO
21-22,1,6,19501
21-22,2,7,18286
21-22,3,8,18632
21-22,4,9,18565
21-22,5,10,20074
21-22,6,11,20794
21-22,7,12,20996
21-22,8,13,21789
21-22,9,14,21458
21-22,10,15,21867
21-22,11,16,23275
21-22,12,17,24426
21-22,13,18,24482
21-22,14,19,23935
21-22,15,20,22253
22-23,48,1,25418
22-23,49,2,24373
22-23,50,3,22868
22-23,51,4,21696
22-23,52,5,22001
22-23,1,6,22681
22-23,2,7,22587
22-23,3,8,22344
22-23,4,9,22252
22-23,5,10,23684
22-23,6,11,23047
22-23,7,12,24275
22-23,8,13,24373
22-23,9,14,24233
22-23,10,15,25208
22-23,11,16,24344
22-23,12,17,24525
22-23,13,18,24822
22-23,14,19,22905
22-23,15,20,23794
23-24,48,1,27033
23-24,49,2,27629
23-24,50,3,28327
23-24,51,4,28094
23-24,52,5,28074
23-24,1,6,25165
23-24,2,7,24142
23-24,3,8,24150
23-24,4,9,24951
23-24,5,10,25783
23-24,6,11,26804
23-24,7,12,26238
23-24,8,13,26957
23-24,9,14,26217
23-24,10,15,26786
23-24,11,16,28138
23-24,12,17,28808
23-24,13,18,26029
23-24,14,19,27885
23-24,15,20,28382
24-25,48,1,26091
24-25,49,2,26630
24-25,50,3,26602
24-25,51,4,26844
24-25,52,5,26564
24-25,1,6,26941
24-25,2,7,26671
24-25,3,8,26435
24-25,4,9,27229
24-25,5,10,27191
24-25,6,11,26761
24-25,7,12,26819
24-25,8,13,26901
24-25,9,14,27607
24-25,10,15,26968
24-25,11,16,26953
24-25,12,17,26081
24-25,13,18,26938
24-25,14,19,28395
24-25,15,20,28156
25-26,48,1,28045
25-26,49,2,29560
25-26,50,3,29055
25-26,51,4,28113
25-26,52,5,26205
25-26,1,6,25442
25-26,2,7,26392
25-26,3,8,26529
25-26,4,9,26558
25-26,5,10,26702
25-26,6,11,27123
25-26,7,12,27673
25-26,8,13,27183
25-26,9,14,27884
25-26,10,15,27702
25-26,11,16,27714
25-26,12,17,28059
25-26,13,18,28900
25-26,14,19,27420
25-26,15,20,29187
