STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ER
21-22,42.0,1.0,2639
21-22,43.0,2.0,3119
21-22,44.0,3.0,3535
21-22,45.0,4.0,3534
21-22,46.0,5.0,3543
21-22,47.0,6.0,3279
21-22,48.0,7.0,2936
21-22,49.0,8.0,2860
21-22,50.0,9.0,2440
21-22,51.0,10.0,3100
21-22,52.0,11.0,3293
21-22,1.0,12.0,2698
21-22,2.0,13.0,1995
21-22,3.0,14.0,1796
21-22,4.0,15.0,1563
21-22,5.0,16.0,1516
21-22,6.0,17.0,1417
21-22,7.0,18.0,1458
21-22,8.0,19.0,1684
21-22,9.0,20.0,1835
21-22,10.0,21.0,2141
21-22,11.0,22.0,2514
21-22,12.0,23.0,3067
21-22,13.0,24.0,3086
21-22,14.0,25.0,2970
21-22,15.0,26.0,2753
21-22,16.0,27.0,2524
22-23,42.0,1.0,2857
22-23,43.0,2.0,2803
22-23,44.0,3.0,3330
22-23,45.0,4.0,3567
22-23,46.0,5.0,4695
22-23,47.0,6.0,5626
22-23,48.0,7.0,5800
22-23,49.0,8.0,5895
22-23,50.0,9.0,3949
22-23,51.0,10.0,3881
22-23,52.0,11.0,4404
22-23,1.0,12.0,3877
22-23,2.0,13.0,2682
22-23,3.0,14.0,2605
22-23,4.0,15.0,2749
22-23,5.0,16.0,3129
22-23,6.0,17.0,3109
22-23,7.0,18.0,3360
22-23,8.0,19.0,3401
22-23,9.0,20.0,3201
22-23,10.0,21.0,3297
22-23,11.0,22.0,2953
22-23,12.0,23.0,2993
22-23,13.0,24.0,3045
22-23,14.0,25.0,2833
22-23,15.0,26.0,2922
22-23,16.0,27.0,2466
23-24,42.0,1.0,1885
23-24,43.0,2.0,2057
23-24,44.0,3.0,2262
23-24,45.0,4.0,2114
23-24,46.0,5.0,2487
23-24,47.0,6.0,2841
23-24,48.0,7.0,3340
23-24,49.0,8.0,4961
23-24,50.0,9.0,5282
23-24,51.0,10.0,6655
23-24,52.0,11.0,8571
23-24,1.0,12.0,4967
23-24,2.0,13.0,2879
23-24,3.0,14.0,2670
23-24,4.0,15.0,2650
23-24,5.0,16.0,2767
23-24,6.0,17.0,2906
23-24,7.0,18.0,2767
23-24,8.0,19.0,2809
23-24,9.0,20.0,2696
23-24,10.0,21.0,2853
23-24,11.0,22.0,3066
23-24,12.0,23.0,3136
23-24,13.0,24.0,2938
23-24,14.0,25.0,3140
23-24,15.0,26.0,3020
23-24,16.0,27.0,2853
24-25,42.0,1.0,2622
24-25,43.0,2.0,2663
24-25,44.0,3.0,2965
24-25,45.0,4.0,2464
24-25,46.0,5.0,2656
24-25,47.0,6.0,2788
24-25,48.0,7.0,2963
24-25,49.0,8.0,2977
24-25,50.0,9.0,3236
24-25,51.0,10.0,3656
24-25,52.0,11.0,5596
24-25,1.0,12.0,5295
24-25,2.0,13.0,4573
24-25,3.0,14.0,4472
24-25,4.0,15.0,5279
24-25,5.0,16.0,5121
24-25,6.0,17.0,4688
24-25,7.0,18.0,4453
24-25,8.0,19.0,3889
24-25,9.0,20.0,3647
24-25,10.0,21.0,3294
24-25,11.0,22.0,2835
24-25,12.0,23.0,2628
24-25,13.0,24.0,2683
24-25,14.0,25.0,2742
24-25,15.0,26.0,2575
24-25,16.0,27.0,2477
25-26,42.0,1.0,2322
25-26,43.0,2.0,2382
25-26,44.0,3.0,2401
25-26,45.0,4.0,2696
25-26,46.0,5.0,2838
25-26,47.0,6.0,3170
25-26,48.0,7.0,3840
25-26,49.0,8.0,5509
25-26,50.0,9.0,6104
25-26,51.0,10.0,5336
25-26,52.0,11.0,6018
25-26,1.0,12.0,4288
25-26,2.0,13.0,3171
25-26,3.0,14.0,2710
25-26,4.0,15.0,2671
25-26,5.0,16.0,2794
25-26,6.0,17.0,2585
25-26,7.0,18.0,2752
25-26,8.0,19.0,2544
25-26,9.0,20.0,2515
25-26,10.0,21.0,2378
25-26,11.0,22.0,2458
25-26,12.0,23.0,2436
25-26,13.0,24.0,2411
25-26,14.0,25.0,2447
25-26,15.0,26.0,2589
25-26,16.0,27.0,2230
