STAGIONE,WEEK,ORDINE,ACCESSI_TOTALI_ER
21-22,1,6,54929
21-22,2,7,51
21-22,3,8,51499
21-22,4,9,52309
21-22,5,10,56315
21-22,6,11,58052
21-22,7,12,59178
21-22,8,13,61394
21-22,9,14,60035
21-22,10,15,61205
21-22,11,16,64265
21-22,12,17,67194
21-22,13,18,68298
21-22,14,19,66995
21-22,15,20,64929
22-23,48,1,70135
22-23,49,2,67703
22-23,50,3,63092
22-23,51,4,61245
22-23,52,5,63397
22-23,1,6,65074
22-23,2,7,62449
22-23,3,8,61739
22-23,4,9,63222
22-23,5,10,66040
22-23,6,11,65127
22-23,7,12,68265
22-23,8,13,67576
22-23,9,14,67025
22-23,10,15,69336
22-23,11,16,67927
22-23,12,17,68460
22-23,13,18,68929
22-23,14,19,65367
22-23,15,20,67227
23-24,48,1,69350
23-24,49,2,71933
23-24,50,3,73881
23-24,51,4,76057
23-24,52,5,77834
23-24,1,6,68742
23-24,2,7,63644
23-24,3,8,64609
23-24,4,9,66957
23-24,5,10,69035
23-24,6,11,71266
23-24,7,12,70476
23-24,8,13,71475
23-24,9,14,70190
23-24,10,15,70693
23-24,11,16,74807
23-24,12,17,75785
23-24,13,18,69320
23-24,14,19,74128
23-24,15,20,75747
24-25,48,1,69570
24-25,49,2,69857
24-25,50,3,70369
24-25,51,4,70946
24-25,52,5,73327
24-25,1,6,74214
24-25,2,7,71977
24-25,3,8,70241
24-25,4,9,73229
24-25,5,10,73893
24-25,6,11,72790
24-25,7,12,72753
24-25,8,13,73508
24-25,9,14,73701
24-25,10,15,72359
24-25,11,16,72027
24-25,12,17,70453
24-25,13,18,72509
24-25,14,19,76232
24-25,15,20,75236
25-26,48,1,74148
25-26,49,2,78611
25-26,50,3,78352
25-26,51,4,75914
25-26,52,5,73658
25-26,1,6,72512
25-26,2,7,70663
25-26,3,8,70324
25-26,4,9,71194
25-26,5,10,72138
25-26,6,11,72766
25-26,7,12,73833
25-26,8,13,72801
25-26,9,14,73854
25-26,10,15,73690
25-26,11,16,73675
25-26,12,17,74897
25-26,13,18,76110
25-26,14,19,74939
25-26,15,20,79073
