AGE GROUP,STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ER
Age group 0-9,21-22,1,6,3480
Age group 0-9,21-22,2,7,766
Age group 0-9,21-22,3,8,795
Age group 0-9,21-22,4,9,650
Age group 0-9,21-22,5,10,632
Age group 0-9,21-22,6,11,636
Age group 0-9,21-22,7,12,693
Age group 0-9,21-22,8,13,851
Age group 0-9,21-22,9,14,875
Age group 0-9,21-22,10,15,960
Age group 0-9,21-22,11,16,4140
Age group 0-9,21-22,12,17,10160
Age group 0-9,21-22,13,18,10030
Age group 0-9,21-22,14,19,10190
Age group 0-9,21-22,15,20,8210
Age group 0-9,22-23,48,1,10020
Age group 0-9,22-23,49,2,10210
Age group 0-9,22-23,50,3,4080
Age group 0-9,22-23,51,4,3360
Age group 0-9,22-23,52,5,9120
Age group 0-9,22-23,1,6,15280
Age group 0-9,22-23,2,7,3430
Age group 0-9,22-23,3,8,5380
Age group 0-9,22-23,4,9,9010
Age group 0-9,22-23,5,10,11500
Age group 0-9,22-23,6,11,11400
Age group 0-9,22-23,7,12,14360
Age group 0-9,22-23,8,13,13410
Age group 0-9,22-23,9,14,13120
Age group 0-9,22-23,10,15,12310
Age group 0-9,22-23,11,16,11210
Age group 0-9,22-23,12,17,11470
Age group 0-9,22-23,13,18,12040
Age group 0-9,22-23,14,19,10550
Age group 0-9,22-23,15,20,10080
Age group 0-9,23-24,48,1,14130
Age group 0-9,23-24,49,2,17060
Age group 0-9,23-24,50,3,17210
Age group 0-9,23-24,51,4,15060
Age group 0-9,23-24,52,5,14530
Age group 0-9,23-24,1,6,5050
Age group 0-9,23-24,2,7,2250
Age group 0-9,23-24,3,8,4080
Age group 0-9,23-24,4,9,6300
Age group 0-9,23-24,5,10,7090
Age group 0-9,23-24,6,11,7400
Age group 0-9,23-24,7,12,7050
Age group 0-9,23-24,8,13,6440
Age group 0-9,23-24,9,14,6160
Age group 0-9,23-24,10,15,7530
Age group 0-9,23-24,11,16,9480
Age group 0-9,23-24,12,17,10120
Age group 0-9,23-24,13,18,8160
Age group 0-9,23-24,14,19,9110
Age group 0-9,23-24,15,20,6100
Age group 0-9,24-25,48,1,7170
Age group 0-9,24-25,49,2,6450
Age group 0-9,24-25,50,3,10110
Age group 0-9,24-25,51,4,14450
Age group 0-9,24-25,52,5,15310
Age group 0-9,24-25,1,6,4250
Age group 0-9,24-25,2,7,12580
Age group 0-9,24-25,3,8,15520
Age group 0-9,24-25,4,9,7080
Age group 0-9,24-25,5,10,5270
Age group 0-9,24-25,6,11,17200
Age group 0-9,24-25,7,12,15580
Age group 0-9,24-25,8,13,11140
Age group 0-9,24-25,9,14,8250
Age group 0-9,24-25,10,15,6120
Age group 0-9,24-25,11,16,2190
Age group 0-9,24-25,12,17,1360
Age group 0-9,24-25,13,18,2470
Age group 0-9,24-25,14,19,2300
